left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7420027256011963,0.7216743230819702,-6.67917774990201e-05,0.6755608916282654,0.6997652053833008,-0.041527338325977325,0.6242282390594482,0.6408951878547668,-0.07670822739601135,0.6093903183937073,0.5778836011886597,-0.1062822937965393,0.6219136118888855,0.5233244299888611,-0.13118359446525574,0.6447592973709106,0.5572198033332825,-0.06071916222572327,0.6367540955543518,0.48726868629455566,-0.12077028304338455,0.6463079452514648,0.5428312420845032,-0.15889030694961548,0.6529666185379028,0.5904482007026672,-0.17073696851730347,0.6875783801078796,0.5494866371154785,-0.06471847742795944,0.6815980672836304,0.4784848392009735,-0.13202281296253204,0.6824107766151428,0.549394965171814,-0.15730974078178406,0.6852626204490662,0.6001219153404236,-0.15917684137821198,0.7304601669311523,0.5534644722938538,-0.07435406744480133,0.7239937782287598,0.48921462893486023,-0.13151434063911438,0.7176212668418884,0.5621376037597656,-0.14653268456459045,0.7163556814193726,0.6169698238372803,-0.14300578832626343,0.7746806144714355,0.5653599500656128,-0.08586786687374115,0.7655884623527527,0.5227148532867432,-0.1267790049314499,0.7555198073387146,0.5766324400901794,-0.13845622539520264,0.750519335269928,0.6169874668121338,-0.13654102385044098
Right,0.45820534229278564,0.8023360371589661,-4.282056397642009e-05,0.41491416096687317,0.7859154939651489,-0.005638758186250925,0.38147851824760437,0.749618411064148,-0.009687621146440506,0.36961209774017334,0.7161197066307068,-0.015941303223371506,0.374891996383667,0.6929749250411987,-0.021089665591716766,0.4007502794265747,0.7020813822746277,-0.007032785098999739,0.38743239641189575,0.6632225513458252,-0.03333896026015282,0.39242586493492126,0.6950209140777588,-0.04696217551827431,0.3983200490474701,0.7218034267425537,-0.049377813935279846,0.4234163463115692,0.6983967423439026,-0.014292005449533463,0.4095519483089447,0.6642436981201172,-0.04369678348302841,0.41220328211784363,0.7044288516044617,-0.054391343146562576,0.41770440340042114,0.7314116954803467,-0.05350121110677719,0.4479977488517761,0.6999574303627014,-0.024928148835897446,0.4325910210609436,0.6666845679283142,-0.05003054067492485,0.4316597282886505,0.7068990468978882,-0.05466032028198242,0.43651705980300903,0.736668586730957,-0.05106336995959282,0.4747215509414673,0.7067021131515503,-0.03626485541462898,0.456508070230484,0.680068850517273,-0.05325046926736832,0.4510175883769989,0.708922803401947,-0.06031787022948265,0.4544021487236023,0.7331187725067139,-0.06140090897679329
Left,0.2079218029975891,0.8211429715156555,-6.635013414779678e-05,0.2549908757209778,0.8085181713104248,0.0011066842125728726,0.2890262007713318,0.7696157097816467,0.0008823131211102009,0.3023548722267151,0.7249248027801514,-0.005600504111498594,0.3079156279563904,0.695995569229126,-0.010117331519722939,0.28196677565574646,0.7182281017303467,0.009176353923976421,0.3021601438522339,0.674435555934906,-0.017014162614941597,0.2935957610607147,0.7129199504852295,-0.023997338488698006,0.27995628118515015,0.7372463345527649,-0.01944253034889698,0.2599848806858063,0.7095574140548706,-0.004542884882539511,0.27674421668052673,0.6715508699417114,-0.04526732116937637,0.2676679790019989,0.7207428216934204,-0.055141814053058624,0.2560258209705353,0.7377032041549683,-0.05071825906634331,0.23570360243320465,0.7066508531570435,-0.02149302326142788,0.25223085284233093,0.6763657927513123,-0.05773971974849701,0.24694111943244934,0.7248197197914124,-0.058910954743623734,0.2356201857328415,0.741323709487915,-0.05139685794711113,0.20793530344963074,0.7079078555107117,-0.03809325397014618,0.22855103015899658,0.6865167617797852,-0.0587257482111454,0.2290162444114685,0.7210850715637207,-0.05951458588242531,0.2198103964328766,0.7338106632232666,-0.055038437247276306
Left,0.1622498333454132,0.419999361038208,9.034045433509164e-06,0.20262902975082397,0.41185638308525085,-0.0378263033926487,0.23965227603912354,0.37279197573661804,-0.06457598507404327,0.2451995611190796,0.3215918242931366,-0.08656767755746841,0.22648069262504578,0.29482221603393555,-0.09797385334968567,0.22791433334350586,0.2982161045074463,-0.04095592349767685,0.22568322718143463,0.2760888338088989,-0.08273201435804367,0.21648485958576202,0.311355322599411,-0.07879336923360825,0.217961385846138,0.3223024904727936,-0.06090901419520378,0.19900503754615784,0.28781992197036743,-0.03999626263976097,0.1931368112564087,0.27110499143600464,-0.09500517696142197,0.1870703250169754,0.31897833943367004,-0.09634439647197723,0.19324056804180145,0.31885528564453125,-0.0821787565946579,0.170103058218956,0.2888517379760742,-0.04620782285928726,0.16396304965019226,0.27877137064933777,-0.09460791200399399,0.16426120698451996,0.32355672121047974,-0.08918191492557526,0.1702149212360382,0.3220159411430359,-0.07327236980199814,0.1411491185426712,0.29911738634109497,-0.056271251291036606,0.13695189356803894,0.29074546694755554,-0.07928813248872757,0.14219701290130615,0.32302364706993103,-0.07830016314983368,0.1475859433412552,0.3263002336025238,-0.06654909998178482
Right,0.6508082151412964,0.7282194495201111,-3.2481071684742346e-05,0.5485028624534607,0.7101026773452759,-0.0662613958120346,0.45958688855171204,0.6123310327529907,-0.11268511414527893,0.4200644791126251,0.517176628112793,-0.15628588199615479,0.4005175232887268,0.42056289315223694,-0.1833367794752121,0.4899106025695801,0.47154030203819275,-0.08534549921751022,0.46491071581840515,0.36999958753585815,-0.20581462979316711,0.48568814992904663,0.4855653941631317,-0.25615933537483215,0.4983687698841095,0.5647169947624207,-0.26053544878959656,0.5592919588088989,0.4594835638999939,-0.09278220683336258,0.5402306914329529,0.3653382658958435,-0.2334916889667511,0.5543492436408997,0.5051140785217285,-0.2575951814651489,0.5669533610343933,0.5761382579803467,-0.23372872173786163,0.629581093788147,0.45936068892478943,-0.1150079295039177,0.610314667224884,0.3736571967601776,-0.2367587387561798,0.6111032366752625,0.5075720548629761,-0.23549474775791168,0.6173129081726074,0.5867934226989746,-0.1954738199710846,0.7008761167526245,0.4692532420158386,-0.14071793854236603,0.6809494495391846,0.39603182673454285,-0.21924179792404175,0.6695302724838257,0.49008914828300476,-0.22297576069831848,0.6677717566490173,0.5553982257843018,-0.19317257404327393
Right,0.8668840527534485,0.37567630410194397,-4.558017826639116e-05,0.7991947531700134,0.3342430591583252,-0.030561815947294235,0.7551846504211426,0.27078306674957275,-0.05472828447818756,0.7482686042785645,0.19727875292301178,-0.0754091739654541,0.76790452003479,0.13636445999145508,-0.08784683793783188,0.7846671342849731,0.19899369776248932,-0.024328740313649178,0.7824928760528564,0.1168118566274643,-0.07278960198163986,0.7871979475021362,0.17182326316833496,-0.09647044539451599,0.7912421226501465,0.21875084936618805,-0.09463362395763397,0.8270193338394165,0.19730913639068604,-0.02454192563891411,0.8277254104614258,0.12246879190206528,-0.08496677130460739,0.8250185251235962,0.19644974172115326,-0.10107788443565369,0.826984703540802,0.24573302268981934,-0.08858876675367355,0.8672214150428772,0.20459625124931335,-0.030931830406188965,0.8682358860969543,0.1408616453409195,-0.08247333765029907,0.859932005405426,0.2120995670557022,-0.09100990742444992,0.858333945274353,0.2631124258041382,-0.07662849873304367,0.9067361354827881,0.21701283752918243,-0.03817840665578842,0.9031450152397156,0.1642395406961441,-0.06790615618228912,0.892960786819458,0.21395187079906464,-0.07382144778966904,0.8897605538368225,0.2547130286693573,-0.06267068535089493
Right,0.5779521465301514,0.7145729660987854,-4.070999420946464e-05,0.544683039188385,0.7056812644004822,-0.01588824950158596,0.5176175236701965,0.6773813962936401,-0.031781792640686035,0.5130395889282227,0.6442359089851379,-0.046165354549884796,0.5249364376068115,0.6256341338157654,-0.059734195470809937,0.5222905278205872,0.6267549991607666,-0.03354841098189354,0.5199834704399109,0.6054815649986267,-0.05772465467453003,0.5251627564430237,0.631150484085083,-0.06825640052556992,0.5273158550262451,0.6473702788352966,-0.06841389834880829,0.5431921482086182,0.6201192140579224,-0.03640596196055412,0.5429327487945557,0.6135688424110413,-0.06220351159572601,0.5457839965820312,0.6446950435638428,-0.06751886010169983,0.5469690561294556,0.6577757596969604,-0.06407726556062698,0.5648760795593262,0.6214234828948975,-0.041291143745183945,0.5625356435775757,0.6180829405784607,-0.06383398920297623,0.5623275637626648,0.649856686592102,-0.06492064148187637,0.5635753870010376,0.6652767062187195,-0.061594679951667786,0.5866385698318481,0.6276752352714539,-0.04882845655083656,0.5818990468978882,0.6272484660148621,-0.06365876644849777,0.5790348052978516,0.6529700756072998,-0.06874095648527145,0.5792504549026489,0.6653038263320923,-0.06748606264591217
Left,0.27687719464302063,0.7545673251152039,-4.9572932766750455e-05,0.3120158910751343,0.7343997955322266,-0.0035462072119116783,0.33644312620162964,0.6982321739196777,-0.01089393999427557,0.3427721858024597,0.6641207933425903,-0.022991908714175224,0.34043726325035095,0.6424834132194519,-0.03350914269685745,0.3234705924987793,0.6552756428718567,-0.007604390848428011,0.3405015468597412,0.6243218779563904,-0.03256566822528839,0.33903834223747253,0.6562549471855164,-0.037424515932798386,0.3315638303756714,0.6755262613296509,-0.03388694301247597,0.30333849787712097,0.6518030166625977,-0.018385082483291626,0.31880438327789307,0.6296887993812561,-0.06045842543244362,0.3175294101238251,0.6698334813117981,-0.06916844099760056,0.30981898307800293,0.6851049661636353,-0.06368604302406311,0.28298625349998474,0.6533640623092651,-0.032012127339839935,0.29924482107162476,0.6358185410499573,-0.06581135839223862,0.3010954260826111,0.6734086275100708,-0.06447836011648178,0.29457634687423706,0.6888996958732605,-0.057005833834409714,0.26173824071884155,0.6600722074508667,-0.0463576465845108,0.2797970473766327,0.6457424163818359,-0.06548663973808289,0.28511226177215576,0.6736676692962646,-0.06515801697969437,0.28087109327316284,0.6880945563316345,-0.061391595751047134
Left,0.18293654918670654,0.589474081993103,-8.259829337475821e-05,0.2591855823993683,0.5757371187210083,-0.03175347298383713,0.3190864324569702,0.5246219635009766,-0.06847089529037476,0.34587258100509644,0.44670936465263367,-0.11091230064630508,0.34287193417549133,0.38323554396629333,-0.14259646832942963,0.31003808975219727,0.4304444193840027,-0.006838872563093901,0.3303741216659546,0.36539018154144287,-0.07687809318304062,0.31083109974861145,0.4337984621524811,-0.08461157232522964,0.3005359470844269,0.46437713503837585,-0.05920331925153732,0.26776596903800964,0.41465896368026733,-0.016059434041380882,0.28320038318634033,0.35117200016975403,-0.10687343031167984,0.26445871591567993,0.4442729353904724,-0.10956267267465591,0.26053059101104736,0.46574291586875916,-0.07475313544273376,0.2237371951341629,0.4113908112049103,-0.036249104887247086,0.23768077790737152,0.34913378953933716,-0.11296307295560837,0.22986847162246704,0.4412637948989868,-0.10293015092611313,0.22654984891414642,0.46723851561546326,-0.07082677632570267,0.1766427755355835,0.41849255561828613,-0.05790790915489197,0.19292068481445312,0.36697104573249817,-0.09978611022233963,0.19401296973228455,0.4349139928817749,-0.10074026882648468,0.19103895127773285,0.4668826162815094,-0.08295021206140518
Right,0.5943583846092224,0.7447830438613892,-0.00013370286615099758,0.41344618797302246,0.7042790651321411,-0.055737897753715515,0.2737124562263489,0.5346029996871948,-0.10904671251773834,0.22896641492843628,0.3686023950576782,-0.17110034823417664,0.24391970038414001,0.22100070118904114,-0.21025221049785614,0.33319997787475586,0.3035963475704193,-0.06008634716272354,0.28527945280075073,0.16649065911769867,-0.236960768699646,0.3097948729991913,0.3469727337360382,-0.3180782198905945,0.3295937776565552,0.46548306941986084,-0.3231484889984131,0.4404723346233368,0.2884811758995056,-0.0936322808265686,0.3969654142856598,0.15936824679374695,-0.28224557638168335,0.4040081799030304,0.3765692114830017,-0.3193138837814331,0.42274555563926697,0.48185136914253235,-0.2834201753139496,0.5514702200889587,0.30230772495269775,-0.14954906702041626,0.5066986083984375,0.17529068887233734,-0.31826189160346985,0.49515724182128906,0.38922104239463806,-0.3160998225212097,0.5078468322753906,0.5060955882072449,-0.26304858922958374,0.6685447096824646,0.34040042757987976,-0.2119463086128235,0.614948034286499,0.2465619295835495,-0.32379481196403503,0.5855057239532471,0.3983587622642517,-0.33244046568870544,0.5846035480499268,0.4892948269844055,-0.2984529137611389
