left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Left,0.3130238950252533,0.8173732757568359,-7.833645213395357e-05,0.3595724105834961,0.7831947803497314,-0.021499700844287872,0.3811952471733093,0.7135660648345947,-0.02379324845969677,0.35925114154815674,0.6536328196525574,-0.027549736201763153,0.3305191993713379,0.638018786907196,-0.026940617710351944,0.3684391677379608,0.6478271484375,0.014899209141731262,0.3698403835296631,0.584586501121521,0.007978088222444057,0.3707052767276764,0.5450524687767029,0.0011740620248019695,0.3708382248878479,0.5100702047348022,-0.005221663974225521,0.3404950201511383,0.6390638947486877,0.011189998127520084,0.3415795564651489,0.5677379965782166,0.01269776001572609,0.3434600830078125,0.5203434228897095,0.0035846501123160124,0.3451077938079834,0.4805942475795746,-0.00962678249925375,0.31520041823387146,0.6446853280067444,0.0011309223482385278,0.31364205479621887,0.5791648626327515,-0.008710280060768127,0.3147119879722595,0.5351654887199402,-0.028346233069896698,0.3165510296821594,0.49579712748527527,-0.04622464254498482,0.29108211398124695,0.6630980372428894,-0.01287914253771305,0.29446545243263245,0.6147089600563049,-0.02916005626320839,0.2987006902694702,0.5856274366378784,-0.04514870047569275,0.3034283220767975,0.5552319884300232,-0.060406558215618134
Right,0.8040088415145874,0.7352766990661621,-9.266177221434191e-05,0.7461661696434021,0.7100158929824829,-0.02877780981361866,0.7124212980270386,0.6504896879196167,-0.03783552721142769,0.7278113961219788,0.5825805068016052,-0.04584841802716255,0.7605101466178894,0.5502869486808777,-0.047985777258872986,0.7245560884475708,0.5614269375801086,0.020674435421824455,0.7173110246658325,0.4843685030937195,0.01661972515285015,0.7174057960510254,0.4390539526939392,0.0076339105144143105,0.7169396281242371,0.40109679102897644,0.0002698006865102798,0.756939172744751,0.5456744432449341,0.021221183240413666,0.7482427954673767,0.4658077359199524,0.028325600549578667,0.7448108792304993,0.41414228081703186,0.01630660705268383,0.7432065606117249,0.3734321594238281,0.004542434588074684,0.7866604924201965,0.5469030141830444,0.016298893839120865,0.779509425163269,0.47470539808273315,0.019178759306669235,0.7736997008323669,0.42747363448143005,0.005090319085866213,0.7698535323143005,0.3900579810142517,-0.006033412646502256,0.8195618391036987,0.5620584487915039,0.004749254789203405,0.8116618990898132,0.5059237480163574,-1.712272387521807e-05,0.80548495054245,0.4683578610420227,-0.010782934725284576,0.7978863716125488,0.4341941475868225,-0.017950590699911118
Left,0.1831098049879074,0.9443251490592957,-0.00011571130744414404,0.2758723199367523,0.8998533487319946,-0.07254446297883987,0.3272668123245239,0.764717161655426,-0.09639529883861542,0.27615049481391907,0.6498409509658813,-0.11084983497858047,0.20887167751789093,0.6239420771598816,-0.11013667285442352,0.300661563873291,0.6194372773170471,-0.011187588796019554,0.3071941137313843,0.4873557984828949,-0.02874084934592247,0.3092876076698303,0.40583938360214233,-0.04190370440483093,0.3109772503376007,0.3319549262523651,-0.06113668158650398,0.2422102391719818,0.6000644564628601,-0.006285018753260374,0.25432920455932617,0.4590604305267334,-0.006489273626357317,0.26478758454322815,0.3608321249485016,-0.025754544883966446,0.2732943892478943,0.27645328640937805,-0.04990743473172188,0.1885988414287567,0.6087015271186829,-0.017411332577466965,0.20080608129501343,0.4775933623313904,-0.03589475527405739,0.21392269432544708,0.38902556896209717,-0.07126950472593307,0.2234814614057541,0.30930572748184204,-0.10305707901716232,0.1330433040857315,0.6467682719230652,-0.03873424232006073,0.1396077275276184,0.5414014458656311,-0.07211577147245407,0.1494138240814209,0.48015671968460083,-0.10769160091876984,0.15798696875572205,0.41771399974823,-0.1369667649269104
Right,0.7366711497306824,0.7215351462364197,-5.1148366765119135e-05,0.709314227104187,0.7145441770553589,-0.06230847164988518,0.6984513401985168,0.6758003234863281,-0.09279948472976685,0.7211920619010925,0.6371839642524719,-0.1113731786608696,0.7444202303886414,0.6107193827629089,-0.12069238722324371,0.6914175748825073,0.6105341911315918,-0.05704566836357117,0.695351243019104,0.5582807064056396,-0.08503605425357819,0.7015443444252014,0.5237523317337036,-0.10511694103479385,0.7075167894363403,0.4931451380252838,-0.12061116099357605,0.7142754197120667,0.5994640588760376,-0.04174540191888809,0.7120872139930725,0.5445922613143921,-0.062343426048755646,0.7124650478363037,0.5039088129997253,-0.08078688383102417,0.7139532566070557,0.4679086208343506,-0.09510164707899094,0.7361624836921692,0.5992792248725891,-0.031560979783535004,0.7344658970832825,0.5482435822486877,-0.050794124603271484,0.7320238947868347,0.5113697052001953,-0.06897454708814621,0.7308254837989807,0.4790043830871582,-0.0807337537407875,0.758526623249054,0.6097912788391113,-0.027844242751598358,0.7544089555740356,0.5685962438583374,-0.04528508335351944,0.7530680298805237,0.5398937463760376,-0.05710861459374428,0.7512673735618591,0.5122467875480652,-0.06431127339601517
Right,0.5080152153968811,0.9577172994613647,-0.00013490427227225155,0.4269401729106903,0.9178250432014465,-0.04053227975964546,0.37971195578575134,0.8284090161323547,-0.07326314598321915,0.39623287320137024,0.7387396693229675,-0.1093515008687973,0.4387724697589874,0.6857176423072815,-0.1403467208147049,0.42222896218299866,0.6749210357666016,0.01281065121293068,0.42293623089790344,0.5684545636177063,-0.001108802855014801,0.428627073764801,0.5017025470733643,-0.01601482555270195,0.43311598896980286,0.4461691081523895,-0.028607670217752457,0.4707568287849426,0.6634965538978577,0.004113983362913132,0.4689600169658661,0.5461975336074829,0.001872359891422093,0.4707888066768646,0.4721095860004425,-0.012749182060360909,0.473846971988678,0.41054821014404297,-0.025212813168764114,0.5130549073219299,0.6757793426513672,-0.011672437191009521,0.5112127661705017,0.5641617774963379,-0.015506904572248459,0.5115252137184143,0.493177205324173,-0.03561512380838394,0.5109013319015503,0.4328823685646057,-0.05271598696708679,0.5564283132553101,0.7107336521148682,-0.035747990012168884,0.5544918179512024,0.6208900213241577,-0.044088542461395264,0.5522209405899048,0.5643736124038696,-0.055804088711738586,0.547093391418457,0.510867178440094,-0.06877391040325165
Left,0.1938541680574417,0.7944831848144531,-9.494964615441859e-05,0.2420835793018341,0.7546091079711914,-0.019095903262495995,0.2610943019390106,0.68230140209198,-0.01468809973448515,0.22773511707782745,0.6277298331260681,-0.008050061762332916,0.19366298615932465,0.6289828419685364,0.0007547790301032364,0.25471511483192444,0.6236655712127686,0.019960245117545128,0.2620435953140259,0.5651744604110718,0.012810229323804379,0.26759618520736694,0.5261253714561462,0.006110669579356909,0.2737870514392853,0.49390047788619995,-0.0006806260789744556,0.22497279942035675,0.6096181869506836,0.020714078098535538,0.23368915915489197,0.546544075012207,0.025947613641619682,0.2417997270822525,0.5004896521568298,0.018639344722032547,0.2510678768157959,0.4644032120704651,0.006799513474106789,0.19679288566112518,0.6128142476081848,0.01463767234236002,0.2036091685295105,0.5526161193847656,0.0097264489158988,0.2121472805738449,0.5113533735275269,-0.007557893171906471,0.22048501670360565,0.4776175618171692,-0.023186203092336655,0.16786815226078033,0.6315376162528992,0.004844038747251034,0.17313174903392792,0.5866684913635254,-0.006026884075254202,0.180881530046463,0.5567246675491333,-0.021572930738329887,0.18887615203857422,0.5234966278076172,-0.036840178072452545
Right,0.5955648422241211,0.9148234724998474,-9.025363397086039e-05,0.5561529397964478,0.874735951423645,0.009020168334245682,0.5435170531272888,0.8075569868087769,0.013046297244727612,0.5677511096000671,0.7586815357208252,0.010577652603387833,0.5963265895843506,0.75216144323349,0.007889611646533012,0.5647116899490356,0.7409509420394897,0.04691983014345169,0.5710944533348083,0.6793931126594543,0.047171398997306824,0.5759065747261047,0.640234112739563,0.04215846583247185,0.5814540982246399,0.6114875674247742,0.03664417192339897,0.5870593786239624,0.7378917336463928,0.0302974134683609,0.5912643074989319,0.6712820529937744,0.03676624223589897,0.5927442908287048,0.6236633062362671,0.02846723236143589,0.595895528793335,0.5873576402664185,0.02112434431910515,0.6076527237892151,0.7462825179100037,0.009801695123314857,0.6120680570602417,0.6822511553764343,0.01639731414616108,0.6117646098136902,0.6383117437362671,0.010316162370145321,0.6142473220825195,0.6057969927787781,0.004070366732776165,0.6291711330413818,0.7666601538658142,-0.013347896747291088,0.6308920979499817,0.7132579684257507,-0.009618781507015228,0.6304541230201721,0.6768239736557007,-0.01056762970983982,0.6315490007400513,0.643418550491333,-0.011410349979996681
Left,0.2852357029914856,0.9752830266952515,-9.36351134441793e-05,0.3376163840293884,0.9360327124595642,-0.028385279700160027,0.3598133325576782,0.84971022605896,-0.032677385956048965,0.323326975107193,0.7971292734146118,-0.03797066956758499,0.2818011939525604,0.8083836436271667,-0.03710419684648514,0.3352537155151367,0.78412926197052,0.013036618009209633,0.3387896716594696,0.7164826989173889,0.003811983624473214,0.3421667814254761,0.6737796664237976,-0.004514234606176615,0.34653130173683167,0.6310092210769653,-0.010551383718848228,0.30382829904556274,0.7756608128547668,0.0110905347391963,0.3064965009689331,0.7023136615753174,0.007669724524021149,0.3135928213596344,0.6507055759429932,-0.0030249529518187046,0.32165011763572693,0.6049572229385376,-0.016797710210084915,0.2742762565612793,0.7868378162384033,0.00037156566395424306,0.275982141494751,0.7220009565353394,-0.0186705831438303,0.2868983745574951,0.6827178001403809,-0.0415077731013298,0.2937895655632019,0.6477668881416321,-0.06283185631036758,0.24673916399478912,0.8148603439331055,-0.013297723606228828,0.2560823857784271,0.7706136703491211,-0.04351157695055008,0.2736932635307312,0.7581191658973694,-0.0683407187461853,0.28782913088798523,0.7489492297172546,-0.08978788554668427
Right,0.8294199109077454,0.8009807467460632,-7.92686187196523e-05,0.7729163765907288,0.7725538611412048,-0.031603533774614334,0.7383865118026733,0.7011011242866516,-0.033978018909692764,0.7588105201721191,0.629546582698822,-0.03665003180503845,0.794594407081604,0.6008642911911011,-0.03255988657474518,0.7449862957000732,0.6210547685623169,0.029614651575684547,0.7365175485610962,0.5434474945068359,0.01732485555112362,0.7367556691169739,0.4937143325805664,0.0014859008369967341,0.7375447154045105,0.4547964930534363,-0.009670231491327286,0.7777621150016785,0.6030358076095581,0.030767772346735,0.7662875652313232,0.5234994292259216,0.029998015612363815,0.7613067626953125,0.46892333030700684,0.006839011795818806,0.7588267922401428,0.4251929223537445,-0.009438833221793175,0.8086923956871033,0.6021391153335571,0.026208149269223213,0.8013978004455566,0.5255789160728455,0.024171752855181694,0.7943056225776672,0.47554200887680054,0.004148224368691444,0.7885535359382629,0.43347182869911194,-0.007660999428480864,0.8433840274810791,0.6168749928474426,0.014842393808066845,0.8369898200035095,0.5583164095878601,0.011575305834412575,0.832955002784729,0.5163392424583435,0.002540508285164833,0.826168954372406,0.47556447982788086,-0.0022750685457140207
Left,0.13362735509872437,0.923427939414978,-0.00011048360465792939,0.22113679349422455,0.8609644174575806,-0.033930473029613495,0.26952987909317017,0.7337709665298462,-0.03945537656545639,0.22708988189697266,0.6383143067359924,-0.04926129803061485,0.16380856931209564,0.6450713872909546,-0.053438346832990646,0.23403742909431458,0.6241262555122375,0.03961803764104843,0.24047790467739105,0.5054327249526978,0.03762727603316307,0.24472735822200775,0.4312378764152527,0.03050873428583145,0.2492230236530304,0.3629705607891083,0.01820586621761322,0.18274563550949097,0.6059180498123169,0.03282793611288071,0.194614976644516,0.47726142406463623,0.04743999242782593,0.20343728363513947,0.38756856322288513,0.039924584329128265,0.2114447057247162,0.3117477297782898,0.0238241795450449,0.1343587338924408,0.6115843057632446,0.013456552289426327,0.15063045918941498,0.48758020997047424,0.008999462239444256,0.16386935114860535,0.4048596918582916,-0.013536142185330391,0.1715112030506134,0.335212379693985,-0.03531148284673691,0.08220735937356949,0.64114910364151,-0.01359658595174551,0.10009221732616425,0.5409897565841675,-0.02715781331062317,0.11481241881847382,0.4812272787094116,-0.04954136162996292,0.12539882957935333,0.42033469676971436,-0.07313868403434753
