left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.734352171421051,0.715934157371521,-9.668838174548e-06,0.6641548275947571,0.7006211280822754,0.013020566664636135,0.5976650714874268,0.669112503528595,0.003401994239538908,0.5473878383636475,0.6561409831047058,-0.021630320698022842,0.5211808681488037,0.6289435029029846,-0.04977947846055031,0.6263319253921509,0.5156983733177185,0.03675482049584389,0.5921748280525208,0.4507415294647217,0.0033849577885121107,0.5525282025337219,0.44603168964385986,-0.03215722739696503,0.5177301168441772,0.46740615367889404,-0.05820878967642784,0.6495442986488342,0.5048658847808838,-1.7502544551462051e-06,0.6111363768577576,0.4295060634613037,-0.03965609148144722,0.5645648241043091,0.43528810143470764,-0.08209481090307236,0.530455470085144,0.4658726751804352,-0.10723450779914856,0.6775147914886475,0.5108290314674377,-0.04139797016978264,0.6389302015304565,0.4314259886741638,-0.07710898667573929,0.5896731615066528,0.42902788519859314,-0.10888931155204773,0.5546133518218994,0.4540806710720062,-0.12471066415309906,0.7081228494644165,0.5309872031211853,-0.08390022069215775,0.668156623840332,0.4695727825164795,-0.1146082654595375,0.6237706542015076,0.4550444185733795,-0.13988108932971954,0.5838766694068909,0.4565761685371399,-0.15668098628520966
Left,0.11592314392328262,0.8100049495697021,-8.874769264366478e-05,0.19041384756565094,0.788429319858551,0.030617553740739822,0.25062572956085205,0.7356342673301697,0.033849380910396576,0.2951216697692871,0.6962224245071411,0.019926706328988075,0.33597713708877563,0.6558477282524109,0.002306639449670911,0.22111594676971436,0.6054959893226624,0.0499095618724823,0.24656465649604797,0.5225263833999634,0.028498461470007896,0.28354620933532715,0.5064435005187988,0.0025540997739881277,0.31521743535995483,0.5224570035934448,-0.015261941589415073,0.1926908642053604,0.5939168930053711,0.007366577163338661,0.2187003195285797,0.49426698684692383,-0.023140285164117813,0.2678481936454773,0.49194955825805664,-0.05634620040655136,0.3025889992713928,0.5289053320884705,-0.07672606408596039,0.16472727060317993,0.599994421005249,-0.0372871495783329,0.18885333836078644,0.4997078776359558,-0.07092379778623581,0.23957544565200806,0.5016946196556091,-0.10177426785230637,0.27565017342567444,0.5368040800094604,-0.11975231766700745,0.13654474914073944,0.6198082566261292,-0.0805995911359787,0.16640305519104004,0.5465420484542847,-0.1119513288140297,0.20625168085098267,0.5332071781158447,-0.13520486652851105,0.24163614213466644,0.541121244430542,-0.1527203619480133
Right,0.7819017171859741,0.4522775411605835,-3.4865952329710126e-05,0.7391771078109741,0.4412405788898468,0.01638478972017765,0.701871931552887,0.41976505517959595,0.020383503288030624,0.6691261529922485,0.403854101896286,0.015287898480892181,0.6428728699684143,0.3887353241443634,0.007402024697512388,0.7157725095748901,0.34645265340805054,0.050172846764326096,0.6975815296173096,0.3034815788269043,0.04815308377146721,0.6786333918571472,0.2869410514831543,0.03434956818819046,0.6600682735443115,0.28431397676467896,0.023729607462882996,0.7295323610305786,0.3349502682685852,0.0307442806661129,0.7054780125617981,0.28852134943008423,0.024073446169495583,0.6823357939720154,0.2790459096431732,0.0025278630200773478,0.6617382764816284,0.2865734100341797,-0.016004765406250954,0.7451308965682983,0.32927682995796204,0.009350128471851349,0.72122722864151,0.2820916175842285,0.0031638608779758215,0.6966274976730347,0.27575284242630005,-0.012439298443496227,0.6756017804145813,0.2847987413406372,-0.023147348314523697,0.7628966569900513,0.3281191289424896,-0.012247065082192421,0.740464985370636,0.28947713971138,-0.01982290670275688,0.7178098559379578,0.2775724232196808,-0.029825478792190552,0.6940360069274902,0.2774440050125122,-0.03892282769083977
Right,0.6286899447441101,0.7446383833885193,-1.0180779099755455e-05,0.6008297204971313,0.7365956902503967,0.019778717309236526,0.5788685083389282,0.7253357768058777,0.02394741401076317,0.5598980188369751,0.7202692627906799,0.01973453164100647,0.5465413928031921,0.7151854634284973,0.013609809800982475,0.5828163027763367,0.670175313949585,0.03945358470082283,0.5690062642097473,0.6417932510375977,0.038057371973991394,0.553254246711731,0.6391386389732361,0.03126056119799614,0.5417171716690063,0.6476801633834839,0.025416823104023933,0.589773952960968,0.6651745438575745,0.02049093507230282,0.5734918713569641,0.6314026117324829,0.016180370002985,0.5555524826049805,0.6333955526351929,0.003825872205197811,0.5446291565895081,0.646722137928009,-0.0051172031089663506,0.5977744460105896,0.6655182242393494,0.0007633889908902347,0.5819206833839417,0.6312813758850098,-0.004055655095726252,0.5632127523422241,0.6338486671447754,-0.010970463044941425,0.5512444972991943,0.6473854780197144,-0.01441595796495676,0.6062947511672974,0.670689046382904,-0.018653862178325653,0.5903046727180481,0.6432620286941528,-0.02414677105844021,0.574255108833313,0.6385884284973145,-0.02949269488453865,0.5599803924560547,0.642654299736023,-0.0323684997856617
Left,0.3350834846496582,0.7044544219970703,-7.524863576691132e-06,0.35634130239486694,0.7104921936988831,-0.009759457781910896,0.37705308198928833,0.7057398557662964,-0.019002700224518776,0.3894045650959015,0.6962467432022095,-0.02888895757496357,0.3937811255455017,0.6862671971321106,-0.0395677275955677,0.37394803762435913,0.6677981615066528,-0.019294532015919685,0.3833851218223572,0.6454044580459595,-0.03265100345015526,0.3912234306335449,0.6393907070159912,-0.044728804379701614,0.39675015211105347,0.6430901885032654,-0.05288559943437576,0.3640855550765991,0.6591108441352844,-0.02362251654267311,0.37294864654541016,0.6358708143234253,-0.04031482711434364,0.38219180703163147,0.6305250525474548,-0.05363170802593231,0.38764381408691406,0.6372925043106079,-0.0641171932220459,0.3529099225997925,0.6556481719017029,-0.028563756495714188,0.3617689311504364,0.6333855390548706,-0.0436897836625576,0.3712952136993408,0.6293198466300964,-0.05680755898356438,0.3774808645248413,0.635621190071106,-0.0647318884730339,0.3402850925922394,0.6559160947799683,-0.03417152166366577,0.3480818569660187,0.638335645198822,-0.050395604223012924,0.3561159670352936,0.6348653435707092,-0.06117532029747963,0.3633829653263092,0.6393601298332214,-0.06934936344623566
Left,0.0781467854976654,0.871371328830719,2.1077639758004807e-05,0.1883997619152069,0.9255691766738892,-0.0034516265150159597,0.2908788025379181,0.9121426343917847,-0.029609331861138344,0.3790726661682129,0.8956610560417175,-0.07342318445444107,0.4704357385635376,0.8865389823913574,-0.12781187891960144,0.272750586271286,0.6830373406410217,-0.0033329317811876535,0.33495381474494934,0.5788296461105347,-0.04184034839272499,0.39669784903526306,0.5396484136581421,-0.08308510482311249,0.4575232267379761,0.5224441885948181,-0.116697758436203,0.2362673133611679,0.6401180028915405,-0.04252680018544197,0.3090067505836487,0.5447967052459717,-0.09489299356937408,0.3888606131076813,0.5163893699645996,-0.14553390443325043,0.46038395166397095,0.5108209252357483,-0.1839473843574524,0.1909870207309723,0.6178223490715027,-0.0849466323852539,0.26688501238822937,0.5091195106506348,-0.142979696393013,0.35010984539985657,0.4957231283187866,-0.20395269989967346,0.42349040508270264,0.49720755219459534,-0.24009336531162262,0.13889940083026886,0.6079908609390259,-0.12662874162197113,0.20672889053821564,0.5173948407173157,-0.18895944952964783,0.2719939649105072,0.49457037448883057,-0.23815211653709412,0.3385043442249298,0.48144179582595825,-0.2732495367527008
Right,0.7459777593612671,0.7169358730316162,-1.9064458683715202e-05,0.666048526763916,0.7143807411193848,0.044129688292741776,0.5989612340927124,0.6803357601165771,0.04557696357369423,0.5455895066261292,0.6744340658187866,0.02978673204779625,0.49164894223213196,0.6700513362884521,0.0002652632538229227,0.6198114156723022,0.5148717761039734,0.04337388277053833,0.5612229704856873,0.47142013907432556,0.018228255212306976,0.5143057107925415,0.47621166706085205,-0.012655787169933319,0.4744715094566345,0.49732717871665955,-0.03335250914096832,0.6421220302581787,0.4971711337566376,-0.006138807628303766,0.567277193069458,0.452593594789505,-0.03003164567053318,0.5143988132476807,0.46670281887054443,-0.05885156989097595,0.4736812710762024,0.49280089139938354,-0.0772521123290062,0.6658622026443481,0.500506579875946,-0.05834304541349411,0.5906568765640259,0.44624555110931396,-0.0834522694349289,0.5352623462677002,0.4592690169811249,-0.10621348023414612,0.4941106140613556,0.48714643716812134,-0.12081263959407806,0.6864312291145325,0.5248970985412598,-0.1090025082230568,0.6249926090240479,0.4800345301628113,-0.12815244495868683,0.5770082473754883,0.4750298857688904,-0.1409672647714615,0.5339911580085754,0.47728872299194336,-0.1528044044971466
Right,0.7447588443756104,0.8346503376960754,-0.00011029023153241724,0.5934927463531494,0.859126091003418,0.04399540275335312,0.45395442843437195,0.8249742388725281,0.0515843890607357,0.34585079550743103,0.8162290453910828,0.02454848401248455,0.25154557824134827,0.7817896604537964,-0.014613071456551552,0.45910903811454773,0.5343367457389832,0.18123598396778107,0.3624151945114136,0.45656251907348633,0.14808204770088196,0.2847910225391388,0.4550135135650635,0.07479876279830933,0.2200852334499359,0.4912983179092407,0.011642040684819221,0.4980951249599457,0.484698086977005,0.11095040291547775,0.38129922747612,0.39829617738723755,0.06301895529031754,0.2959783673286438,0.4184176027774811,-0.04083773493766785,0.23546943068504333,0.4732316732406616,-0.11846118420362473,0.550614058971405,0.4533160328865051,0.02689960040152073,0.4321800768375397,0.35003191232681274,-0.01958460360765457,0.34153443574905396,0.3739909827709198,-0.09523393958806992,0.28061339259147644,0.43455958366394043,-0.1448918879032135,0.6193038821220398,0.4338226318359375,-0.058240462094545364,0.5108991861343384,0.3481024503707886,-0.10884448885917664,0.41755300760269165,0.3478673994541168,-0.16739581525325775,0.3312651515007019,0.3786868751049042,-0.21464043855667114
Left,0.37112319469451904,0.6792744398117065,-3.9865928556537256e-05,0.39900514483451843,0.680583655834198,0.014938261359930038,0.4251737892627716,0.6688436269760132,0.011514376848936081,0.4471670687198639,0.6621914505958557,0.0011473153717815876,0.4657599627971649,0.6516673564910889,-0.011443398892879486,0.40914493799209595,0.6006316542625427,0.013785237446427345,0.4313046336174011,0.5794467329978943,0.0021130552049726248,0.4520069658756256,0.5820445418357849,-0.008973979391157627,0.46666762232780457,0.5945537090301514,-0.01650416851043701,0.4019550085067749,0.5958538055419922,-0.0045771230943500996,0.4314473271369934,0.5730903744697571,-0.018986297771334648,0.4559890627861023,0.5797256827354431,-0.029665514826774597,0.4719361364841461,0.5962427258491516,-0.03347990661859512,0.3952040672302246,0.598845899105072,-0.02425234392285347,0.4246886968612671,0.5731147527694702,-0.0398402214050293,0.45020127296447754,0.5782755017280579,-0.04980882629752159,0.46731430292129517,0.5925598740577698,-0.05458562448620796,0.39159873127937317,0.6085125803947449,-0.042958661913871765,0.4181572496891022,0.5868842005729675,-0.05339061841368675,0.43743765354156494,0.5858688950538635,-0.05836893245577812,0.452737420797348,0.5916028022766113,-0.06144397705793381
Right,0.7014483213424683,0.7257424592971802,-1.7856256818049587e-05,0.6619263887405396,0.7222489714622498,-0.032568883150815964,0.6240766048431396,0.6947211623191833,-0.06433822959661484,0.5951245427131653,0.6744772791862488,-0.09274990111589432,0.5615954399108887,0.6620530486106873,-0.128243550658226,0.6592630743980408,0.604019045829773,-0.08776447176933289,0.6268004179000854,0.5690170526504517,-0.13330842554569244,0.5947254300117493,0.5604124665260315,-0.16189472377300262,0.5626608729362488,0.5586777925491333,-0.17779766023159027,0.6772960424423218,0.5901055932044983,-0.0905456393957138,0.6353369355201721,0.5559786558151245,-0.13456261157989502,0.597920298576355,0.553338348865509,-0.15529358386993408,0.563934326171875,0.5529446601867676,-0.16706080734729767,0.6914414167404175,0.5945072174072266,-0.09754633903503418,0.6498650908470154,0.5602849721908569,-0.13548637926578522,0.6113659143447876,0.5552327036857605,-0.15323619544506073,0.577781081199646,0.5546163320541382,-0.1640135496854782,0.7001423239707947,0.6101028323173523,-0.10464423894882202,0.6658172607421875,0.5826548933982849,-0.13401325047016144,0.6365382075309753,0.5719045996665955,-0.14272265136241913,0.6092145442962646,0.5634500980377197,-0.14752838015556335
