left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.650524377822876,0.824130117893219,-6.742994173691841e-06,0.5888915061950684,0.7868306636810303,0.03720134124159813,0.5552488565444946,0.7229052782058716,0.03753333538770676,0.5275781154632568,0.6818498373031616,0.02235986664891243,0.5052980780601501,0.6330499649047852,0.0034230281598865986,0.6277835965156555,0.6176407933235168,0.07229752838611603,0.6215144991874695,0.5330737829208374,0.07513171434402466,0.6138192415237427,0.47739177942276,0.07471954822540283,0.6095561981201172,0.4276266098022461,0.06680887192487717,0.6493757963180542,0.6186286807060242,0.030177224427461624,0.5985630750656128,0.5408827662467957,0.008992167189717293,0.5487083196640015,0.5648409128189087,-0.019091542810201645,0.523655891418457,0.6031007766723633,-0.02678770013153553,0.6646726131439209,0.6312693357467651,-0.014175652526319027,0.6044650077819824,0.5577114224433899,-0.04014870896935463,0.5506301522254944,0.588861346244812,-0.06141657754778862,0.524501621723175,0.633591890335083,-0.06677556782960892,0.6692559719085693,0.6538201570510864,-0.05703050270676613,0.6189988851547241,0.5894656181335449,-0.07889918237924576,0.5733799338340759,0.5947957038879395,-0.0862518921494484,0.5440608263015747,0.6221976280212402,-0.08701936155557632
Left,0.17379401624202728,0.8696669340133667,-9.823255095398054e-05,0.23161035776138306,0.8530812859535217,0.036213118582963943,0.27932292222976685,0.8046280741691589,0.03381427749991417,0.3126668930053711,0.7694827914237976,0.009885165840387344,0.32583194971084595,0.7227184772491455,-0.012298963963985443,0.23563812673091888,0.6879391670227051,0.05451938137412071,0.24765518307685852,0.6011976003646851,0.06000877544283867,0.25351712107658386,0.5410033464431763,0.06631014496088028,0.2534652054309845,0.4896870255470276,0.06629785895347595,0.2149650901556015,0.6892682313919067,0.007461987901479006,0.2573988437652588,0.6143931746482849,-0.017844434827566147,0.3016664385795593,0.633493959903717,-0.033853694796562195,0.323453426361084,0.6665679812431335,-0.03388431668281555,0.197041854262352,0.6963942050933838,-0.03846488893032074,0.23683319985866547,0.620899498462677,-0.06985092908143997,0.28335434198379517,0.6462422013282776,-0.08545088768005371,0.30530184507369995,0.6864668726921082,-0.0881422683596611,0.18445023894309998,0.7140437364578247,-0.08459310978651047,0.21479704976081848,0.6500787734985352,-0.10347289592027664,0.25229454040527344,0.6527454257011414,-0.11048007756471634,0.2800198495388031,0.6758649945259094,-0.11436203867197037
Right,0.720890462398529,0.7898184061050415,-9.192379366140813e-05,0.6542376279830933,0.7415717840194702,0.03911880403757095,0.6219236850738525,0.6786066889762878,0.03418593481183052,0.6018186211585999,0.636234700679779,0.01638135500252247,0.5838682651519775,0.5939685106277466,-0.009552208706736565,0.6704462170600891,0.5805298686027527,-0.0015674729365855455,0.6676653027534485,0.5041366219520569,-0.026854010298848152,0.665709376335144,0.4454039931297302,-0.04333440586924553,0.6629343628883362,0.39520299434661865,-0.05827672407031059,0.6923706531524658,0.5947799682617188,-0.04735056683421135,0.6479702591896057,0.5289865732192993,-0.08677143603563309,0.6207285523414612,0.5585771799087524,-0.09506461769342422,0.6083966493606567,0.6014853715896606,-0.09019681811332703,0.7062639594078064,0.625241756439209,-0.09439684450626373,0.6519396901130676,0.567941427230835,-0.14044518768787384,0.6227087378501892,0.5928420424461365,-0.1442537009716034,0.6112912893295288,0.6342260241508484,-0.13326047360897064,0.7093210816383362,0.6680968999862671,-0.1372200846672058,0.6519148945808411,0.6282986998558044,-0.1719355434179306,0.6142562031745911,0.6239618062973022,-0.1782558709383011,0.5889458060264587,0.6381742358207703,-0.17418476939201355
Left,0.16834668815135956,0.9562565684318542,-0.00011064264253946021,0.2337106615304947,0.9270438551902771,-0.0008986217435449362,0.2845631539821625,0.8582471609115601,-0.017963966354727745,0.30910003185272217,0.7977241277694702,-0.04974338412284851,0.31141820549964905,0.7352213859558105,-0.07647331058979034,0.23737221956253052,0.7438758015632629,0.022873621433973312,0.24524779617786407,0.6460177302360535,0.027184130623936653,0.2484181672334671,0.5781016945838928,0.03125553950667381,0.24861355125904083,0.5174139738082886,0.02910574898123741,0.20936843752861023,0.7471684217453003,-0.012739082798361778,0.23214659094810486,0.6536508202552795,-0.054337840527296066,0.2786436676979065,0.6529265642166138,-0.09181075543165207,0.31332314014434814,0.6833533048629761,-0.10982626676559448,0.1823534369468689,0.7607719898223877,-0.05024508386850357,0.19921496510505676,0.668887734413147,-0.09378746896982193,0.2462041825056076,0.6641168594360352,-0.13874709606170654,0.2788946330547333,0.695845365524292,-0.16337266564369202,0.15426714718341827,0.7871256470680237,-0.09009730815887451,0.170182466506958,0.715498149394989,-0.126447394490242,0.20563264191150665,0.6961029767990112,-0.15547305345535278,0.2376386970281601,0.7040498852729797,-0.18041127920150757
Right,0.6176450252532959,0.8389695286750793,-4.938718848279677e-05,0.5711029171943665,0.7838735580444336,0.03878782317042351,0.5545752644538879,0.7427958846092224,0.04341381415724754,0.5438966751098633,0.7157710790634155,0.0341067761182785,0.5358757972717285,0.6920121312141418,0.021705755963921547,0.5876902937889099,0.6876450181007385,0.03643817827105522,0.5819951295852661,0.6362777352333069,0.03254121169447899,0.5801578164100647,0.6036116480827332,0.030779531225562096,0.5780211687088013,0.5728217959403992,0.02879198268055916,0.6039168834686279,0.6942420601844788,0.004321415908634663,0.5653634071350098,0.6583930253982544,-0.011752644553780556,0.5364564657211304,0.6736026406288147,-0.02175198122859001,0.5174741744995117,0.6958873867988586,-0.02118554525077343,0.6123214364051819,0.7096785306930542,-0.02716614492237568,0.570428192615509,0.6767531037330627,-0.039306048303842545,0.5410876870155334,0.6923462152481079,-0.046075817197561264,0.5223168134689331,0.7172210216522217,-0.04621254652738571,0.614884078502655,0.7295786738395691,-0.056262630969285965,0.5793554782867432,0.6990983486175537,-0.06371757388114929,0.5533537864685059,0.7040068507194519,-0.06381648778915405,0.5339828133583069,0.7198498249053955,-0.0614963136613369
Left,0.10170429944992065,0.9182504415512085,-2.844267692125868e-05,0.21576020121574402,0.9207260608673096,0.0047758352011442184,0.2971663177013397,0.8679341077804565,-0.012906970456242561,0.34892451763153076,0.8133056163787842,-0.055514369159936905,0.3873898386955261,0.7344613671302795,-0.10333014279603958,0.23928679525852203,0.6727396249771118,0.062487684190273285,0.24758920073509216,0.5470007061958313,0.05999426916241646,0.25195398926734924,0.4504977762699127,0.05642743036150932,0.2505142092704773,0.3653041124343872,0.05151674523949623,0.2000427544116974,0.664141058921814,0.01667826622724533,0.26219093799591064,0.5629000067710876,-0.044714491814374924,0.3339688777923584,0.6064049005508423,-0.09495392441749573,0.37239545583724976,0.675835132598877,-0.11286064982414246,0.15715983510017395,0.6669611930847168,-0.03414539247751236,0.22178298234939575,0.5689271688461304,-0.09952797740697861,0.2901512384414673,0.625588059425354,-0.17205779254436493,0.3207247257232666,0.6995422840118408,-0.2069251537322998,0.11131532490253448,0.6890659928321838,-0.08729764819145203,0.16992101073265076,0.6175087094306946,-0.14507709443569183,0.2255682796239853,0.6388278007507324,-0.19654963910579681,0.26409032940864563,0.6801750659942627,-0.23581674695014954
Right,0.6435328722000122,0.8282986879348755,-1.803637860575691e-05,0.5780660510063171,0.7780892252922058,0.09959641844034195,0.5508206486701965,0.6910467147827148,0.11516766250133514,0.5124009847640991,0.640007734298706,0.10696594417095184,0.4796430170536041,0.5913622975349426,0.09209448099136353,0.6758197546005249,0.5628960728645325,0.08633005619049072,0.6495425701141357,0.43906909227371216,0.09853044152259827,0.6448155641555786,0.35803383588790894,0.1033274382352829,0.6447973251342773,0.29369309544563293,0.09695938229560852,0.6850227117538452,0.5717204213142395,0.020338473841547966,0.5803827047348022,0.4507068395614624,0.028404545038938522,0.5173120498657227,0.47083044052124023,0.03571075573563576,0.49187517166137695,0.5127787590026855,0.03723346069455147,0.6694257259368896,0.5920328497886658,-0.03954319283366203,0.5686741471290588,0.47198307514190674,-0.024692315608263016,0.5043204426765442,0.49891000986099243,-0.011769562028348446,0.4747670888900757,0.5489341616630554,-0.006243812385946512,0.6357879638671875,0.6174062490463257,-0.09478642046451569,0.5610705614089966,0.5200448036193848,-0.08072999864816666,0.5134994387626648,0.5180248618125916,-0.06556999683380127,0.4880622923374176,0.5450108051300049,-0.0631137266755104
Left,0.20952129364013672,0.8517496585845947,-0.00011437883222242817,0.259708046913147,0.7955858111381531,0.08903225511312485,0.29157307744026184,0.7215712070465088,0.10750012844800949,0.3229776918888092,0.6755384802818298,0.10421280562877655,0.3493753969669342,0.630121648311615,0.09824931621551514,0.19302970170974731,0.6278609037399292,0.04978807643055916,0.212564617395401,0.5289492607116699,0.05289595201611519,0.2227025181055069,0.46192431449890137,0.057347506284713745,0.22432875633239746,0.4129035472869873,0.052915047854185104,0.1933959424495697,0.6373895406723022,-0.008852554485201836,0.263963520526886,0.5361026525497437,-0.014481372199952602,0.31546682119369507,0.5383621454238892,-0.0012985705398023129,0.33416175842285156,0.5638186931610107,0.01130213588476181,0.21118468046188354,0.655210554599762,-0.06027083471417427,0.2809235751628876,0.5560407638549805,-0.06642641872167587,0.33052632212638855,0.5671089291572571,-0.04402540996670723,0.3455926477909088,0.5983344316482544,-0.025695305317640305,0.24194960296154022,0.679358720779419,-0.10575871914625168,0.28901058435440063,0.5979619026184082,-0.10888798534870148,0.3227705657482147,0.5905325412750244,-0.09371794015169144,0.335679292678833,0.604695200920105,-0.07905559241771698
Right,0.8119824528694153,0.8690817356109619,-4.0071441617328674e-05,0.7533966898918152,0.8350452184677124,0.004754797555506229,0.7078312635421753,0.7678500413894653,-0.008487201295793056,0.6836543679237366,0.7189660668373108,-0.032306235283613205,0.669671356678009,0.6572865843772888,-0.054538123309612274,0.7483787536621094,0.6662516593933105,0.041853610426187515,0.7483925223350525,0.5752276182174683,0.04094720631837845,0.7456669211387634,0.5136399269104004,0.03579259291291237,0.7426940202713013,0.46079012751579285,0.019013473764061928,0.7734629511833191,0.6667424440383911,0.007751331198960543,0.7455189824104309,0.5807108283042908,-0.03298741951584816,0.7023556232452393,0.5957667827606201,-0.07569226622581482,0.678584098815918,0.6347552537918091,-0.09969162940979004,0.8010315895080566,0.6779391169548035,-0.02953808754682541,0.7741062045097351,0.5890250205993652,-0.06594138592481613,0.7286206483840942,0.6082362532615662,-0.10285066813230515,0.702357292175293,0.6517492532730103,-0.12412494421005249,0.8325990438461304,0.6980320811271667,-0.06698106229305267,0.8114945888519287,0.6224734783172607,-0.09723243862390518,0.7759485840797424,0.6139695644378662,-0.11770924925804138,0.7483871579170227,0.6320023536682129,-0.13181111216545105
Right,0.4865884780883789,0.8459599614143372,-5.377502748160623e-05,0.45248281955718994,0.8026653528213501,0.034691691398620605,0.43691325187683105,0.7693428993225098,0.03794623166322708,0.4231947958469391,0.7477571964263916,0.02802465856075287,0.4122234880924225,0.726710855960846,0.014366349205374718,0.47040867805480957,0.7150324583053589,0.0483003631234169,0.4727468490600586,0.6719063520431519,0.04863632470369339,0.4745599329471588,0.6417132019996643,0.04583112150430679,0.4751276969909668,0.6165839433670044,0.03976887837052345,0.4817982316017151,0.7212066054344177,0.01792115345597267,0.44997695088386536,0.6928001642227173,0.0057334513403475285,0.4248572289943695,0.7048981785774231,-0.014479338191449642,0.4108930826187134,0.7254438400268555,-0.02431078441441059,0.4880369305610657,0.732323408126831,-0.011516143567860126,0.4540274143218994,0.7051632404327393,-0.018032317981123924,0.42877721786499023,0.7174468040466309,-0.029613908380270004,0.4130409359931946,0.7382487058639526,-0.03592345491051674,0.4895578622817993,0.7464877963066101,-0.03931419923901558,0.46312570571899414,0.719645619392395,-0.04461556673049927,0.44121649861335754,0.7207732796669006,-0.046099692583084106,0.4238259792327881,0.7327200174331665,-0.04554971680045128
