left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.6450638175010681,0.806421160697937,-2.575474718469195e-05,0.5930719375610352,0.754408597946167,-0.015270885080099106,0.5607407093048096,0.6729766726493835,-0.026935026049613953,0.5346146821975708,0.613492488861084,-0.05006828159093857,0.5085408091545105,0.5664087533950806,-0.08257409185171127,0.6020455956459045,0.6182429790496826,-9.627554391045123e-06,0.5669136047363281,0.5924301147460938,-0.045190341770648956,0.5511279702186584,0.6302605271339417,-0.07589346915483475,0.5459895133972168,0.6694377064704895,-0.08618870377540588,0.6343892812728882,0.5974079966545105,-0.01793546788394451,0.620613694190979,0.5155600309371948,-0.021856792271137238,0.6103537082672119,0.45068037509918213,-0.03856559097766876,0.6034566760063171,0.3916574716567993,-0.05167154222726822,0.6728056073188782,0.6028633117675781,-0.04467727243900299,0.679826021194458,0.5149385333061218,-0.04730009287595749,0.681093156337738,0.4570085108280182,-0.05041692778468132,0.6821081042289734,0.4102324843406677,-0.05807308480143547,0.711777925491333,0.6292048692703247,-0.07624252140522003,0.7415139675140381,0.5660995244979858,-0.08196115493774414,0.756956934928894,0.5282557606697083,-0.07306664437055588,0.7706702351570129,0.4938032925128937,-0.06796662509441376
Left,0.22273217141628265,0.8868729472160339,1.4356940482684877e-05,0.27604761719703674,0.8261758685112,-0.029408251866698265,0.30839550495147705,0.736086368560791,-0.06129687651991844,0.33935585618019104,0.6842195391654968,-0.09863535314798355,0.37108370661735535,0.6527171730995178,-0.14339745044708252,0.25182104110717773,0.6580421328544617,-0.06231875717639923,0.29262733459472656,0.6359996795654297,-0.1421639323234558,0.3222304582595825,0.6903446316719055,-0.16606204211711884,0.3350162208080292,0.7428389191627502,-0.1584170013666153,0.21059776842594147,0.6510359644889832,-0.08598922938108444,0.21117034554481506,0.5511242747306824,-0.14231546223163605,0.22070950269699097,0.4730122685432434,-0.17568930983543396,0.23667025566101074,0.40060287714004517,-0.19789375364780426,0.16959890723228455,0.6775770783424377,-0.11513411998748779,0.15238818526268005,0.5755010843276978,-0.16627644002437592,0.14882943034172058,0.4967188835144043,-0.19073805212974548,0.15167462825775146,0.42853522300720215,-0.20650656521320343,0.13330069184303284,0.7343246340751648,-0.14640812575817108,0.09749909490346909,0.6614213585853577,-0.19045600295066833,0.0749405026435852,0.6108670234680176,-0.21541821956634521,0.05945141613483429,0.5551573038101196,-0.233779639005661
Right,0.6222349405288696,0.8280114531517029,-1.1983926015091129e-05,0.5973162055015564,0.799227237701416,-0.007881797850131989,0.5792502760887146,0.7481093406677246,-0.011470573022961617,0.5652912855148315,0.7091146111488342,-0.019780535250902176,0.5511505007743835,0.6858422756195068,-0.036227088421583176,0.5957458019256592,0.7116126418113708,-0.011403261683881283,0.5830406546592712,0.6869522929191589,-0.03333535045385361,0.5808389782905579,0.7128806710243225,-0.049667347222566605,0.5828003287315369,0.7333287596702576,-0.05848831683397293,0.6150285601615906,0.7036564946174622,-0.020505599677562714,0.6055762767791748,0.6558448076248169,-0.028980808332562447,0.6006600260734558,0.6276509761810303,-0.041507795453071594,0.5994000434875488,0.599695086479187,-0.05148882791399956,0.6366689205169678,0.7067443132400513,-0.033131539821624756,0.6388601660728455,0.6518210172653198,-0.0410580150783062,0.6371354460716248,0.6170579195022583,-0.05007271468639374,0.6353865265846252,0.5858142971992493,-0.05966562777757645,0.6582425832748413,0.722747802734375,-0.046761803328990936,0.6704051494598389,0.682373046875,-0.05755762755870819,0.676409125328064,0.6546803712844849,-0.058598440140485764,0.6816864013671875,0.6262321472167969,-0.05989538133144379
Left,0.25058549642562866,0.8685988783836365,-8.11131758382544e-06,0.27629324793815613,0.825312614440918,0.004293589852750301,0.29263225197792053,0.775116503238678,-0.0006611050921492279,0.3108730912208557,0.7419503331184387,-0.013886152766644955,0.3224382698535919,0.7140640616416931,-0.03181038424372673,0.251948744058609,0.7433592677116394,0.0072754062712192535,0.2740795314311981,0.7192339897155762,-0.03043353743851185,0.2983197569847107,0.7435083389282227,-0.04848980903625488,0.31204599142074585,0.768566370010376,-0.045238468796014786,0.235261470079422,0.740873396396637,-0.012853246182203293,0.23840345442295074,0.6858322620391846,-0.035281043499708176,0.2455798089504242,0.6452438831329346,-0.05169731006026268,0.25338637828826904,0.6075870394706726,-0.06086427718400955,0.21890568733215332,0.7516641616821289,-0.037256307899951935,0.2122536152601242,0.6988251805305481,-0.05777480825781822,0.21082521975040436,0.6564573645591736,-0.06904090940952301,0.21018196642398834,0.6218316555023193,-0.07587065547704697,0.20516133308410645,0.7734334468841553,-0.06210523471236229,0.19053447246551514,0.7302954196929932,-0.07524193078279495,0.1816772222518921,0.6988792419433594,-0.07991188019514084,0.17421866953372955,0.6681361794471741,-0.0821363627910614
Right,0.7528778910636902,0.9303851127624512,-2.961358222819399e-05,0.6404443383216858,0.8497123122215271,-0.04893681779503822,0.5671813488006592,0.6841177344322205,-0.09428390860557556,0.5133646130561829,0.570618212223053,-0.15225324034690857,0.4620480239391327,0.485697478055954,-0.22813034057617188,0.650368332862854,0.5498546361923218,-0.07192603498697281,0.5908678770065308,0.49118101596832275,-0.17271815240383148,0.5516346096992493,0.573882520198822,-0.2426874339580536,0.535521388053894,0.6562791466712952,-0.26973944902420044,0.7181558012962341,0.5103789567947388,-0.10034957528114319,0.6872594356536865,0.35213303565979004,-0.14273960888385773,0.652382493019104,0.22939658164978027,-0.19980256259441376,0.6278379559516907,0.11369127035140991,-0.2500108480453491,0.7974435091018677,0.5297425985336304,-0.13853606581687927,0.8048203587532043,0.35423538088798523,-0.17629572749137878,0.8018891215324402,0.23093655705451965,-0.21863389015197754,0.7993791699409485,0.1267489194869995,-0.25583937764167786,0.8785560131072998,0.5949239730834961,-0.18305566906929016,0.9189517498016357,0.4527357816696167,-0.2197747826576233,0.9432302713394165,0.3548354506492615,-0.22985558211803436,0.9662623405456543,0.25694045424461365,-0.24068449437618256
Left,0.2241421639919281,0.9029011726379395,-2.9162486043787794e-06,0.33483171463012695,0.8347690105438232,-0.0007219944964163005,0.4207912087440491,0.6991896629333496,-0.0071874517016112804,0.4949570894241333,0.619788408279419,-0.03586640954017639,0.5560121536254883,0.5705901980400085,-0.08309774845838547,0.32543453574180603,0.5411425828933716,0.056249625980854034,0.4028448164463043,0.504499077796936,-0.04167339205741882,0.4387114346027374,0.585202693939209,-0.10123427957296371,0.44851428270339966,0.6673678159713745,-0.10762155055999756,0.2713686227798462,0.49354320764541626,0.006609720643609762,0.3260073959827423,0.34658366441726685,-0.03348672017455101,0.38281264901161194,0.23046785593032837,-0.07954497635364532,0.4423793852329254,0.13372352719306946,-0.11334368586540222,0.20124652981758118,0.4985858201980591,-0.05583265423774719,0.22283414006233215,0.33003702759742737,-0.10842230916023254,0.2543533742427826,0.20477670431137085,-0.14141342043876648,0.28983521461486816,0.10536551475524902,-0.16351404786109924,0.12391667068004608,0.5490832328796387,-0.12418948113918304,0.10693545639514923,0.4041203558444977,-0.17055262625217438,0.10851442813873291,0.30032044649124146,-0.1938677579164505,0.12394627928733826,0.19668430089950562,-0.21290019154548645
Left,0.6346063613891602,0.5920963287353516,-3.3841828553704545e-05,0.6998988389968872,0.5176147818565369,-0.023341557011008263,0.746558427810669,0.39975860714912415,-0.04595993831753731,0.7709577083587646,0.323323518037796,-0.07729100435972214,0.7650044560432434,0.2786049246788025,-0.1186290755867958,0.6816397309303284,0.318326473236084,-0.023768417537212372,0.7438383102416992,0.2628578543663025,-0.11414428800344467,0.7797988057136536,0.31315144896507263,-0.1521199345588684,0.7921890020370483,0.3728794455528259,-0.1452159732580185,0.636194109916687,0.3031443655490875,-0.056109458208084106,0.665033757686615,0.16717542707920074,-0.10953774303197861,0.6879031658172607,0.06320708990097046,-0.16267746686935425,0.7068179845809937,-0.028916597366333008,-0.20842111110687256,0.5863285064697266,0.3252754211425781,-0.09934411197900772,0.5836620926856995,0.19327686727046967,-0.15024995803833008,0.5811334252357483,0.09569992125034332,-0.19515454769134521,0.5792209506034851,0.014937639236450195,-0.23364348709583282,0.5347972512245178,0.37728700041770935,-0.1428462266921997,0.49616751074790955,0.2878158390522003,-0.17531025409698486,0.465141236782074,0.2278168797492981,-0.19569604098796844,0.43839436769485474,0.1642644852399826,-0.21426565945148468
Right,0.6231259703636169,0.9683783650398254,-8.100002742139623e-05,0.5782759785652161,0.9135081171989441,-0.02779196947813034,0.562261164188385,0.8249086141586304,-0.04316215217113495,0.5541552901268005,0.7652166485786438,-0.06636365503072739,0.5440579652786255,0.7368686199188232,-0.09783218055963516,0.6119356155395508,0.7680209279060364,-0.013742540962994099,0.5835090279579163,0.7302125096321106,-0.05257514864206314,0.5600489974021912,0.7639773488044739,-0.0808541551232338,0.5465348958969116,0.8010241389274597,-0.08691368252038956,0.6457515358924866,0.7584816217422485,-0.023378491401672363,0.6423348188400269,0.6636677980422974,-0.031737927347421646,0.6372075080871582,0.5940262079238892,-0.053163718432188034,0.6350879669189453,0.5341137647628784,-0.07744920253753662,0.6807668805122375,0.7749930620193481,-0.0431060753762722,0.7009248733520508,0.6846190094947815,-0.05525042489171028,0.7124302387237549,0.6195926666259766,-0.07625630497932434,0.7199024558067322,0.5668613910675049,-0.09851131588220596,0.7118836045265198,0.8116945624351501,-0.06560751050710678,0.7475834488868713,0.750140368938446,-0.08211974799633026,0.7696308493614197,0.7100431323051453,-0.09042451530694962,0.7902100086212158,0.6697079539299011,-0.09986964613199234
Left,0.17430539429187775,0.914983868598938,3.8409769331337884e-05,0.23629097640514374,0.8575703501701355,-0.016098901629447937,0.2848880887031555,0.7751190662384033,-0.042945120483636856,0.3278692960739136,0.7286083102226257,-0.08045539259910583,0.3577367961406708,0.6847923994064331,-0.13036775588989258,0.2303534746170044,0.6911897659301758,-0.0493038073182106,0.27919021248817444,0.6708863377571106,-0.1222778856754303,0.29976361989974976,0.736967146396637,-0.13984857499599457,0.3017303943634033,0.7989780306816101,-0.12648943066596985,0.19102130830287933,0.6747437119483948,-0.07883235812187195,0.20902955532073975,0.5748523473739624,-0.13057665526866913,0.22695882618427277,0.5000545978546143,-0.1559211015701294,0.25143808126449585,0.43422839045524597,-0.16654852032661438,0.14956268668174744,0.6935445666313171,-0.11435674130916595,0.1408170461654663,0.590320348739624,-0.16664132475852966,0.1408335268497467,0.506904125213623,-0.19596034288406372,0.15097451210021973,0.4359740614891052,-0.21370339393615723,0.11023955047130585,0.744744598865509,-0.15055625140666962,0.08720424026250839,0.6665249466896057,-0.1978955715894699,0.0754566490650177,0.6086617708206177,-0.2277490347623825,0.07275998592376709,0.5484801530838013,-0.2475249022245407
Right,0.5111218690872192,0.9411721229553223,-2.8291768103372306e-05,0.43695953488349915,0.8728726506233215,0.010194039903581142,0.3910748064517975,0.7863355278968811,0.010658523999154568,0.35278385877609253,0.7201833724975586,-0.008620604872703552,0.3270606994628906,0.6528671979904175,-0.04032334312796593,0.45629096031188965,0.7076699733734131,0.04998806118965149,0.41130465269088745,0.6683838367462158,0.004156891256570816,0.37964048981666565,0.7166537046432495,-0.04305456206202507,0.3654840588569641,0.7686781287193298,-0.06009618937969208,0.48715445399284363,0.6823813319206238,0.01908470317721367,0.467041939496994,0.5739692449569702,0.018427489325404167,0.4454071819782257,0.49074310064315796,-0.002553187543526292,0.42590004205703735,0.42199406027793884,-0.01934255287051201,0.523959755897522,0.6840367317199707,-0.02383405715227127,0.522285521030426,0.5689286589622498,-0.017772411927580833,0.5155956745147705,0.4962383508682251,-0.02042965590953827,0.5069836378097534,0.43995246291160583,-0.020220723003149033,0.5617108941078186,0.7075895071029663,-0.06912403553724289,0.5758876204490662,0.6101968288421631,-0.07427351176738739,0.5818132162094116,0.5488097667694092,-0.07188985496759415,0.5860058665275574,0.49584972858428955,-0.06463892012834549
