left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7057790756225586,0.8893157839775085,-3.951478356611915e-05,0.6498003005981445,0.8464078903198242,-0.017763229086995125,0.6208433508872986,0.7612370252609253,-0.01741623878479004,0.6441041231155396,0.6946853995323181,-0.01935415342450142,0.6731647253036499,0.6488955020904541,-0.012155629694461823,0.6372097730636597,0.7061728239059448,0.0014742513885721564,0.6085795164108276,0.6190648078918457,-0.01999381184577942,0.5965739488601685,0.5700714588165283,-0.03349233791232109,0.5908432006835938,0.5233416557312012,-0.04349420219659805,0.6783170700073242,0.6990056037902832,-0.012586875818669796,0.6785688400268555,0.595572292804718,-0.044461190700531006,0.6840898394584656,0.5295693278312683,-0.07164563238620758,0.6930921077728271,0.4766259789466858,-0.09167691320180893,0.7150158286094666,0.7173452377319336,-0.03225688263773918,0.7021519541740417,0.6566643118858337,-0.09311401844024658,0.6839673519134521,0.7206792235374451,-0.10818115621805191,0.6778769493103027,0.7739574313163757,-0.0995655357837677,0.7501012086868286,0.7477890253067017,-0.05238954722881317,0.7296165823936462,0.7131918668746948,-0.10977787524461746,0.7092304825782776,0.7633874416351318,-0.12498901039361954,0.698276162147522,0.8037717938423157,-0.12091377377510071
Right,0.5398945808410645,0.9205866456031799,-3.90836939914152e-05,0.4866665303707123,0.8600849509239197,0.013799615204334259,0.4809400737285614,0.7701128721237183,-0.004932908341288567,0.49693670868873596,0.7159518599510193,-0.03793550655245781,0.5172576308250427,0.6723219752311707,-0.06388087570667267,0.5491302013397217,0.6997067928314209,-0.009762143716216087,0.5399949550628662,0.6185763478279114,-0.04250779002904892,0.5383574366569519,0.5616350173950195,-0.05493393912911415,0.5382398366928101,0.510765552520752,-0.06423010677099228,0.5774411559104919,0.7152560353279114,-0.04634084925055504,0.5302436351776123,0.6425753235816956,-0.08908134698867798,0.494550496339798,0.6021341681480408,-0.10242848098278046,0.4683287739753723,0.5665690898895264,-0.10710588097572327,0.5917274951934814,0.7482478618621826,-0.08524803072214127,0.5223565697669983,0.7084362506866455,-0.1321844905614853,0.4985280930995941,0.7548826932907104,-0.11525916308164597,0.49871155619621277,0.7903372645378113,-0.09386888891458511,0.5914207696914673,0.7891334295272827,-0.1229991465806961,0.525775134563446,0.7615184783935547,-0.15301507711410522,0.5031114816665649,0.7903123497962952,-0.14046265184879303,0.5056760311126709,0.8152895569801331,-0.12427359074354172
Right,0.6008341908454895,0.9511423110961914,-3.3104272006312385e-05,0.6153470873832703,0.8520218729972839,0.061622608453035355,0.6065057516098022,0.7552887201309204,0.03692500665783882,0.5793933272361755,0.6845648288726807,-0.0006267549470067024,0.5526975393295288,0.6340165138244629,-0.03529519960284233,0.6495612859725952,0.7293992638587952,-0.049644820392131805,0.6403626799583435,0.6164981722831726,-0.077098548412323,0.6338804364204407,0.5562187433242798,-0.08820798993110657,0.6288436651229858,0.5022709965705872,-0.09557273983955383,0.6284762024879456,0.7613276839256287,-0.09164140373468399,0.5593125224113464,0.6458122134208679,-0.10974947363138199,0.5150896310806274,0.5978971719741821,-0.10095321387052536,0.482336163520813,0.5580594539642334,-0.10175391286611557,0.5958783626556396,0.7950208783149719,-0.1251867115497589,0.5206654667854309,0.7138733267784119,-0.09213051199913025,0.5232703685760498,0.7583696842193604,-0.035222653299570084,0.5390600562095642,0.7853816747665405,-0.00839810911566019,0.5583011507987976,0.828036367893219,-0.15894441306591034,0.499153733253479,0.7653618454933167,-0.11035516113042831,0.503217875957489,0.796539306640625,-0.06693432480096817,0.5192287564277649,0.8190599679946899,-0.04820597171783447
Left,0.1746606081724167,0.8202971816062927,-0.00014737952733412385,0.20289351046085358,0.7416110634803772,0.05737454816699028,0.22038666903972626,0.6530399918556213,0.03881816565990448,0.24252194166183472,0.5866195559501648,0.0022523156367242336,0.25772032141685486,0.5311394929885864,-0.03094233013689518,0.1555415689945221,0.5726402997970581,-4.9366797611583024e-05,0.2203792780637741,0.48827534914016724,-0.014187988825142384,0.25349855422973633,0.4403272271156311,-0.01576368696987629,0.2739494740962982,0.39705395698547363,-0.02096477709710598,0.15740209817886353,0.5984148383140564,-0.048103246837854385,0.25905534625053406,0.5301695466041565,-0.05582551658153534,0.3152710497379303,0.5023229718208313,-0.0492694228887558,0.35743850469589233,0.4766762852668762,-0.046118833124637604,0.17474666237831116,0.6332842707633972,-0.09336826950311661,0.2764929234981537,0.6078787446022034,-0.08289530128240585,0.2695510983467102,0.6557909846305847,-0.036675650626420975,0.24826817214488983,0.678209125995636,-0.014504010789096355,0.20393693447113037,0.6707592606544495,-0.13665013015270233,0.2861284613609314,0.6521463394165039,-0.10685852915048599,0.2788398265838623,0.6913190484046936,-0.07075735926628113,0.2578665316104889,0.7137428522109985,-0.05039989948272705
Left,0.13818658888339996,0.7352069616317749,-0.00014842017844785005,0.1208866685628891,0.6287815570831299,0.08453812450170517,0.14083950221538544,0.5208251476287842,0.09812677651643753,0.18263301253318787,0.4503253102302551,0.09617763757705688,0.22253715991973877,0.4019254148006439,0.08294372260570526,0.12846916913986206,0.44894149899482727,-0.0020081133116036654,0.18412458896636963,0.33865195512771606,0.02205418236553669,0.22520913183689117,0.2832369804382324,0.04772904887795448,0.25569236278533936,0.24485960602760315,0.05910945683717728,0.16556215286254883,0.4740614891052246,-0.04069025069475174,0.2532179057598114,0.4123382568359375,0.023225197568535805,0.28366369009017944,0.4145020842552185,0.06302500516176224,0.2969490885734558,0.4145857095718384,0.07430213689804077,0.20447178184986115,0.5113965272903442,-0.06726812571287155,0.27025842666625977,0.4849606156349182,0.012416473589837551,0.2599998116493225,0.5217941403388977,0.04525690898299217,0.24073299765586853,0.5444108247756958,0.0405762754380703,0.23914456367492676,0.5523899793624878,-0.09146077930927277,0.2774769961833954,0.5383804440498352,-0.019490135833621025,0.26468685269355774,0.5697500705718994,0.00423064362257719,0.24819499254226685,0.5890038013458252,0.0024004150182008743
Right,0.7919686436653137,0.6609623432159424,-7.973689935170114e-05,0.7183904647827148,0.5935754776000977,-0.0010474587325006723,0.6749672889709473,0.4887433648109436,0.009381239302456379,0.6925202012062073,0.40110135078430176,0.01091325655579567,0.7199065685272217,0.3431423306465149,0.021551404148340225,0.7037891149520874,0.43654656410217285,0.04619019851088524,0.67172771692276,0.3343403935432434,0.022261105477809906,0.6582573652267456,0.2696104049682617,0.01190018281340599,0.6510704755783081,0.21344409883022308,0.007366485893726349,0.7528596520423889,0.4315284192562103,0.025151878595352173,0.7482521533966064,0.32339686155319214,-0.013217786327004433,0.7499580383300781,0.24867500364780426,-0.04791191592812538,0.7557905912399292,0.18854469060897827,-0.06545186042785645,0.7994719743728638,0.4473583400249481,-0.0037639602087438107,0.7820520401000977,0.3948153853416443,-0.06411661207675934,0.7639634609222412,0.46850550174713135,-0.07864575833082199,0.7601054310798645,0.5305357575416565,-0.06998275220394135,0.8491025567054749,0.47074225544929504,-0.03137264773249626,0.8257576823234558,0.42380714416503906,-0.07598752528429031,0.8037129640579224,0.4779890477657318,-0.08887220919132233,0.7940129041671753,0.5278044939041138,-0.08369194716215134
Right,0.521530270576477,0.9143553972244263,1.8633955960467574e-06,0.5295870304107666,0.8611272573471069,0.03549118712544441,0.5287579894065857,0.805648148059845,0.019560707733035088,0.5221622586250305,0.7626531720161438,-0.007718151435256004,0.5119695663452148,0.7284565567970276,-0.03294938802719116,0.5590111613273621,0.7852612137794495,-0.030993904918432236,0.5410792827606201,0.7194600701332092,-0.04959716647863388,0.5254164934158325,0.6828194856643677,-0.05219344422221184,0.5123440623283386,0.6540015935897827,-0.05281340703368187,0.5520471334457397,0.8074252605438232,-0.060465727001428604,0.5054746866226196,0.7402629852294922,-0.07915117591619492,0.47537949681282043,0.7138234376907349,-0.076490119099617,0.4549354016780853,0.6940233707427979,-0.07857857644557953,0.533626914024353,0.8305102586746216,-0.08506134897470474,0.4784638583660126,0.7844129800796509,-0.07580878585577011,0.47355905175209045,0.8123489022254944,-0.03785710409283638,0.48154714703559875,0.8284037113189697,-0.019240597262978554,0.510405957698822,0.852114200592041,-0.10914885997772217,0.4666211009025574,0.8121969103813171,-0.08457180857658386,0.46625322103500366,0.828852653503418,-0.05586647242307663,0.47669893503189087,0.8411680459976196,-0.04124961793422699
Left,0.23406536877155304,0.9161040782928467,-9.001208672998473e-05,0.21710406243801117,0.8441428542137146,0.03473798558115959,0.22734202444553375,0.7791610360145569,0.02843109890818596,0.251878947019577,0.7317012548446655,0.015864012762904167,0.2741679549217224,0.6997246742248535,-0.0018460655119270086,0.22093987464904785,0.752369225025177,-0.03235216438770294,0.24496187269687653,0.676374077796936,-0.03527450934052467,0.25959834456443787,0.6357663869857788,-0.03028007224202156,0.2710333466529846,0.6027356386184692,-0.02632013149559498,0.2481536567211151,0.7751829624176025,-0.04678858071565628,0.294423907995224,0.7111535668373108,-0.032879538834095,0.3248802721500397,0.6791476011276245,-0.01685517653822899,0.34674373269081116,0.6578234434127808,-0.009808164089918137,0.27391695976257324,0.80097895860672,-0.05476929247379303,0.31011146306991577,0.7619203925132751,-0.009743208065629005,0.29802533984184265,0.7823948264122009,0.02053581364452839,0.2833193242549896,0.8006476163864136,0.027817321941256523,0.29658377170562744,0.8254585862159729,-0.06307590007781982,0.3177346885204315,0.7919924259185791,-0.017509305849671364,0.3065796196460724,0.8078128695487976,0.005313275847584009,0.29490241408348083,0.8236681222915649,0.01334631722420454
Right,0.5183771252632141,0.9280321002006531,-1.3737567314819898e-05,0.5143537521362305,0.802651584148407,0.06670468300580978,0.5383321642875671,0.7055975198745728,0.0433543436229229,0.5505011081695557,0.6343081593513489,-0.007290560752153397,0.5520983934402466,0.5756235122680664,-0.061670273542404175,0.6323559880256653,0.6903310418128967,0.035387467592954636,0.6109579205513,0.5943701267242432,0.0047097899951040745,0.5922404527664185,0.5291436314582825,-0.014376794919371605,0.5737208724021912,0.48039156198501587,-0.025322481989860535,0.6382147073745728,0.7186838984489441,-0.026205549016594887,0.5603098273277283,0.6074552536010742,-0.05077410489320755,0.5150391459465027,0.5600245594978333,-0.06421705335378647,0.4928606152534485,0.5262252688407898,-0.07867218554019928,0.6212873458862305,0.7480158805847168,-0.08476104587316513,0.5300920605659485,0.6721372604370117,-0.0874321237206459,0.517274022102356,0.7282377481460571,-0.07108858227729797,0.5410288572311401,0.7558401226997375,-0.07004209607839584,0.5924347043037415,0.7736049890518188,-0.14097563922405243,0.5143787264823914,0.7122242450714111,-0.1149292066693306,0.5076049566268921,0.7621369361877441,-0.08729498833417892,0.5354126691818237,0.7961083054542542,-0.07807902246713638
Left,0.31777554750442505,0.8375575542449951,-0.00015379491378553212,0.38659390807151794,0.6248677372932434,0.12344353646039963,0.38899415731430054,0.4417007863521576,0.0985344648361206,0.4039962887763977,0.3050714135169983,0.04151762276887894,0.4058029055595398,0.1943804919719696,-0.02052733302116394,0.1743215173482895,0.3571135997772217,0.0771046057343483,0.2891283333301544,0.20375387370586395,0.0524413138628006,0.36833226680755615,0.12685734033584595,0.04490009322762489,0.43369024991989136,0.07038247585296631,0.026813596487045288,0.15993715822696686,0.3955196142196655,-0.023950641974806786,0.3715825378894806,0.24662569165229797,-0.05144868046045303,0.48308342695236206,0.22040806710720062,-0.065434530377388,0.560717761516571,0.2028522789478302,-0.0728137195110321,0.1896219551563263,0.44248074293136597,-0.12206671386957169,0.4096640348434448,0.3569411039352417,-0.11553582549095154,0.4446341097354889,0.47053781151771545,-0.050195787101984024,0.4335404634475708,0.5431788563728333,-0.020730312913656235,0.2453615665435791,0.48709678649902344,-0.21797992289066315,0.4181753396987915,0.43359917402267456,-0.18495291471481323,0.4373675584793091,0.5356166958808899,-0.11917006969451904,0.40841296315193176,0.6032365560531616,-0.09222587943077087
