left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7095373868942261,0.802747368812561,-6.28885391051881e-05,0.6380515098571777,0.8049078583717346,-0.07312290370464325,0.5660614967346191,0.7443095445632935,-0.1153123527765274,0.5742713212966919,0.6818516254425049,-0.15607097744941711,0.6366884708404541,0.675714373588562,-0.16476021707057953,0.597966730594635,0.617316484451294,-0.043219007551670074,0.5805286169052124,0.5667216181755066,-0.10839378833770752,0.5955541133880615,0.6348577737808228,-0.10573364794254303,0.6000116467475891,0.6593104004859924,-0.06622426211833954,0.6407173871994019,0.5969046950340271,-0.028697960078716278,0.6300331354141235,0.5683989524841309,-0.11644179373979568,0.6393877267837524,0.6561140418052673,-0.10967836529016495,0.642674446105957,0.6801931858062744,-0.06735978275537491,0.6829685568809509,0.5886752009391785,-0.030010247603058815,0.6777634024620056,0.5592060089111328,-0.12133073061704636,0.6778799295425415,0.6522852182388306,-0.10776635259389877,0.67747563123703,0.6979891061782837,-0.06604564934968948,0.7230122089385986,0.5846139192581177,-0.039561718702316284,0.7182952165603638,0.4949703812599182,-0.07010271400213242,0.7206506133079529,0.4358144998550415,-0.07629550248384476,0.7257760763168335,0.36766430735588074,-0.06176920235157013
Left,0.2046428918838501,0.7558172941207886,-6.027608105796389e-05,0.27085453271865845,0.746935248374939,-0.047743070870637894,0.3463013470172882,0.6876596808433533,-0.07719016075134277,0.35727405548095703,0.6084488034248352,-0.10932978242635727,0.29924696683883667,0.5743228793144226,-0.13187502324581146,0.3177306056022644,0.5709800124168396,-0.013912847265601158,0.3379169702529907,0.5135031342506409,-0.08424616605043411,0.32621029019355774,0.5741161704063416,-0.09364038705825806,0.3201809227466583,0.6096153855323792,-0.0619465596973896,0.2756330072879791,0.5495038032531738,-0.009361574426293373,0.2936972677707672,0.5013289451599121,-0.08495424687862396,0.2856103479862213,0.5830174684524536,-0.08925005048513412,0.27886533737182617,0.6286197304725647,-0.06109084188938141,0.23471929132938385,0.540839672088623,-0.017888370901346207,0.24760866165161133,0.5139309763908386,-0.08929730951786041,0.2458644062280655,0.5981040000915527,-0.08164194971323013,0.2393035888671875,0.6517510414123535,-0.04987628385424614,0.19593015313148499,0.5395312309265137,-0.033069416880607605,0.205711230635643,0.45387208461761475,-0.057662032544612885,0.2136860191822052,0.39887315034866333,-0.062030427157878876,0.22168229520320892,0.3471454977989197,-0.05191466957330704
Right,0.8370384573936462,0.7674168348312378,-0.00014115971862338483,0.7635015249252319,0.7456362247467041,-0.07083563506603241,0.70013028383255,0.6771988272666931,-0.12206976115703583,0.7348296642303467,0.611431360244751,-0.1785031110048294,0.8024611473083496,0.6050443649291992,-0.2043389081954956,0.7371894121170044,0.5622243285179138,-0.024666795507073402,0.7238175868988037,0.5109761357307434,-0.09942492097616196,0.7357510924339294,0.5859654545783997,-0.10819139331579208,0.740818202495575,0.6159574389457703,-0.06890162080526352,0.7806774377822876,0.5467252135276794,-0.013256425969302654,0.766720175743103,0.5072755813598633,-0.10338965058326721,0.7744826674461365,0.5965776443481445,-0.10217997431755066,0.7803722023963928,0.624481201171875,-0.05606013163924217,0.8257394433021545,0.5424774885177612,-0.017482982948422432,0.8155994415283203,0.5031987428665161,-0.11674300581216812,0.8120287656784058,0.5996214151382446,-0.10513416677713394,0.8125913143157959,0.648110568523407,-0.058704547584056854,0.8708712458610535,0.5371904969215393,-0.030676933005452156,0.8658895492553711,0.4348348379135132,-0.05261605978012085,0.859492301940918,0.3765496611595154,-0.0481768399477005,0.8570763468742371,0.31138142943382263,-0.019271351397037506
Left,0.1802065372467041,0.7583838701248169,-1.2153141142334789e-05,0.2603466510772705,0.7619692087173462,-0.1568036675453186,0.3375290334224701,0.7072535157203674,-0.262854665517807,0.3262544870376587,0.6131004095077515,-0.35343998670578003,0.26867884397506714,0.5401487350463867,-0.406791627407074,0.3568738102912903,0.4905585050582886,-0.12165027111768723,0.3633609414100647,0.39123567938804626,-0.25522080063819885,0.3192844092845917,0.506839394569397,-0.26843953132629395,0.30826425552368164,0.579319179058075,-0.21812042593955994,0.28483307361602783,0.44972535967826843,-0.08800623565912247,0.28118351101875305,0.38243433833122253,-0.24293935298919678,0.2490355372428894,0.5311324000358582,-0.24884739518165588,0.2554256319999695,0.6002126336097717,-0.1952403485774994,0.2173161655664444,0.4241933822631836,-0.08391653746366501,0.21102190017700195,0.3539191484451294,-0.22403064370155334,0.1935221552848816,0.4867990016937256,-0.22157631814479828,0.20006343722343445,0.5660665035247803,-0.17412635684013367,0.1603737771511078,0.4091399610042572,-0.09723055362701416,0.1617852747440338,0.2601988911628723,-0.14215469360351562,0.162159264087677,0.17817404866218567,-0.16829970479011536,0.17588713765144348,0.09211528301239014,-0.1618266999721527
Left,0.18542611598968506,0.6751016974449158,6.813472282374278e-05,0.25712424516677856,0.6604095101356506,-0.019881904125213623,0.34932076930999756,0.5780860185623169,-0.03939071297645569,0.3789261281490326,0.485697478055954,-0.07727198302745819,0.3236561715602875,0.44225630164146423,-0.11323390156030655,0.3001250624656677,0.41635072231292725,0.0016292334767058492,0.3406142592430115,0.34525248408317566,-0.08639684319496155,0.3345485329627991,0.4377843141555786,-0.08521021902561188,0.32046830654144287,0.49940013885498047,-0.05682297796010971,0.24892093241214752,0.3972800374031067,-0.020481228828430176,0.2850956320762634,0.3540789783000946,-0.10662403702735901,0.28510040044784546,0.4736439287662506,-0.10681675374507904,0.27313804626464844,0.5464135408401489,-0.07989204674959183,0.19472137093544006,0.39561235904693604,-0.05791265890002251,0.23077018558979034,0.3493979573249817,-0.1317780762910843,0.2441990226507187,0.4640204906463623,-0.11490533500909805,0.23883424699306488,0.543745756149292,-0.08614259958267212,0.1416628658771515,0.4035106301307678,-0.10533032566308975,0.13380233943462372,0.2716090679168701,-0.14936204254627228,0.13540321588516235,0.1828569769859314,-0.17255568504333496,0.1349335014820099,0.09833621978759766,-0.17929872870445251
Right,0.8190597891807556,0.6941311359405518,-9.171394776785746e-05,0.7236346006393433,0.683707058429718,-0.07150939851999283,0.6339525580406189,0.6267147660255432,-0.144962340593338,0.6403486728668213,0.5727500915527344,-0.22310537099838257,0.7128034234046936,0.560530960559845,-0.2720389664173126,0.680388331413269,0.4698759615421295,-0.0881175622344017,0.652138888835907,0.42442402243614197,-0.16691920161247253,0.672946572303772,0.5101485848426819,-0.16018198430538177,0.6915490031242371,0.5527342557907104,-0.1140495017170906,0.7359278798103333,0.44462263584136963,-0.08728179335594177,0.7026979327201843,0.4073883891105652,-0.1745544970035553,0.7156147956848145,0.5135601162910461,-0.16038623452186584,0.7346758246421814,0.555792510509491,-0.12264598906040192,0.7920444011688232,0.4335983097553253,-0.10221637040376663,0.7630923986434937,0.40200603008270264,-0.18353773653507233,0.7599551677703857,0.5121143460273743,-0.15803009271621704,0.770491898059845,0.5733686089515686,-0.12340202182531357,0.847748875617981,0.42467164993286133,-0.12545649707317352,0.8604866862297058,0.30431532859802246,-0.15766972303390503,0.8689070343971252,0.2355685532093048,-0.18266606330871582,0.8764188289642334,0.16055959463119507,-0.1988874077796936
Left,0.24332116544246674,0.732251763343811,-3.58283614332322e-05,0.2719794809818268,0.7192983031272888,-0.0013610367896035314,0.29829248785972595,0.6915098428726196,-0.0006560375331901014,0.30246609449386597,0.6630277037620544,-0.003263734048232436,0.2823701798915863,0.6548312306404114,-0.004859551787376404,0.27880406379699707,0.6533874273300171,0.01060898881405592,0.2872178852558136,0.6268540620803833,-0.01143431942909956,0.2882668077945709,0.6436441540718079,-0.02070537395775318,0.28630557656288147,0.6602339148521423,-0.018582241609692574,0.2636028230190277,0.6497447490692139,0.0061810631304979324,0.2701464891433716,0.627619743347168,-0.01436514314264059,0.27201101183891296,0.6553588509559631,-0.02326987311244011,0.2697063088417053,0.6769206523895264,-0.0235341414809227,0.24734169244766235,0.6499650478363037,-0.0010372730903327465,0.2540127635002136,0.6313999891281128,-0.020103612914681435,0.257621169090271,0.6594040393829346,-0.021725071594119072,0.255820095539093,0.6813773512840271,-0.018200503662228584,0.23060591518878937,0.6522833704948425,-0.010225287638604641,0.2308034598827362,0.6129115223884583,-0.01516632828861475,0.23138493299484253,0.5865234136581421,-0.017165735363960266,0.23122456669807434,0.562603771686554,-0.017967678606510162
Right,0.5975428223609924,0.7754245400428772,-4.708499909611419e-05,0.5744858384132385,0.7658980488777161,-0.028799790889024734,0.5572474598884583,0.7395191192626953,-0.04591986536979675,0.5638208985328674,0.7191619277000427,-0.061209872364997864,0.578609824180603,0.7230405807495117,-0.06587860733270645,0.5654783248901367,0.7054740786552429,-0.028467094525694847,0.5655899047851562,0.6907438635826111,-0.052081089466810226,0.5714389681816101,0.7170933485031128,-0.05206115543842316,0.57267826795578,0.7270210981369019,-0.04036833718419075,0.5807958841323853,0.6993781328201294,-0.02037547156214714,0.5814489722251892,0.6847382187843323,-0.04796897619962692,0.5838320851325989,0.7138364911079407,-0.044597916305065155,0.5850939154624939,0.7251107096672058,-0.03125430643558502,0.5959170460700989,0.6981645822525024,-0.017873400822281837,0.5977003574371338,0.6819643378257751,-0.04486983269453049,0.5965476632118225,0.7114185094833374,-0.04230445995926857,0.5950921773910522,0.7289887070655823,-0.032256051898002625,0.6101935505867004,0.6987399458885193,-0.017663002014160156,0.6143200397491455,0.6677481532096863,-0.0267337616533041,0.6188596487045288,0.6448369026184082,-0.03222007676959038,0.621870756149292,0.6206650733947754,-0.033717844635248184
Right,0.7574878931045532,0.7546099424362183,-2.511644379410427e-05,0.7339514493942261,0.7459999918937683,-0.018334394320845604,0.7168217897415161,0.7156645655632019,-0.030657805502414703,0.7256547212600708,0.6960353851318359,-0.043306417763233185,0.744449257850647,0.7018676996231079,-0.04959886148571968,0.7366354465484619,0.6827620267868042,-0.02011141926050186,0.7326674461364746,0.664425790309906,-0.04649026319384575,0.7312771677970886,0.6881238222122192,-0.05427185446023941,0.7325912714004517,0.6999673843383789,-0.04910600185394287,0.7533097267150879,0.681473433971405,-0.018889013677835464,0.7506546974182129,0.6636216044425964,-0.048433080315589905,0.745943009853363,0.6922469735145569,-0.050415609031915665,0.7450008988380432,0.7049486041069031,-0.04272281751036644,0.769089937210083,0.6846100091934204,-0.021877365186810493,0.7659958004951477,0.6689966917037964,-0.04838600009679794,0.76036536693573,0.6975879073143005,-0.04852278530597687,0.7594534754753113,0.713822066783905,-0.042030218988657,0.7838430404663086,0.688547670841217,-0.02632681280374527,0.784328818321228,0.6557783484458923,-0.03728049620985985,0.7845946550369263,0.6342885494232178,-0.042634956538677216,0.7849140763282776,0.6112109422683716,-0.04333510249853134
Right,0.6021766662597656,0.6904739141464233,-8.425292617175728e-05,0.5467991828918457,0.6742545962333679,-0.05064240097999573,0.49808818101882935,0.6245182156562805,-0.08459699153900146,0.5058214664459229,0.5765011310577393,-0.11722265928983688,0.5513385534286499,0.5795235633850098,-0.12947602570056915,0.5293987393379211,0.5606123208999634,-0.02932790480554104,0.5197077393531799,0.5227885246276855,-0.08085841685533524,0.528347373008728,0.5718913078308105,-0.08697618544101715,0.531741738319397,0.5893566608428955,-0.060605891048908234,0.561793327331543,0.5479401350021362,-0.019731275737285614,0.5485721826553345,0.5102079510688782,-0.08898480981588364,0.5531123876571655,0.5673767328262329,-0.09233660250902176,0.5564266443252563,0.5862409472465515,-0.06471322476863861,0.5944212079048157,0.5418899059295654,-0.020874686539173126,0.5834389925003052,0.5094813108444214,-0.08508509397506714,0.5822751522064209,0.5685094594955444,-0.0808103159070015,0.5845761895179749,0.5986093878746033,-0.0543949231505394,0.6253477334976196,0.5373020172119141,-0.027171166613698006,0.6218203902244568,0.4731259346008301,-0.04415879771113396,0.6176337599754333,0.43285515904426575,-0.04905307665467262,0.6146553754806519,0.3892643451690674,-0.041510600596666336
