left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.621982753276825,0.6559525728225708,-3.589500920497812e-05,0.5633670091629028,0.6323894262313843,0.049628518521785736,0.5325936079025269,0.5774250626564026,0.048574890941381454,0.5030337572097778,0.5428908467292786,0.030440449714660645,0.4947161078453064,0.5137407183647156,0.007131052203476429,0.623755156993866,0.47455641627311707,0.055345479398965836,0.5748624205589294,0.406846821308136,0.046584196388721466,0.5340383648872375,0.4336022734642029,0.04586627706885338,0.5195060968399048,0.46830689907073975,0.04531051218509674,0.6403857469558716,0.4739586114883423,0.011553933843970299,0.5750066041946411,0.40001845359802246,0.001036192523315549,0.525297999382019,0.43849241733551025,-0.009179709479212761,0.5108321309089661,0.48590728640556335,-0.0139792924746871,0.6488178372383118,0.4838762879371643,-0.033497173339128494,0.5814691185951233,0.4124720096588135,-0.043928805738687515,0.531446099281311,0.44887885451316833,-0.041543830186128616,0.5155309438705444,0.49941903352737427,-0.0400790199637413,0.6432821154594421,0.5000982880592346,-0.076218381524086,0.5874653458595276,0.43855246901512146,-0.08022655546665192,0.5415424108505249,0.44869759678840637,-0.07464149594306946,0.5169997215270996,0.48165762424468994,-0.07061248272657394
Left,0.24253207445144653,0.560230553150177,-6.406667671399191e-05,0.29953059554100037,0.5438710451126099,0.047356054186820984,0.3346092998981476,0.5006818771362305,0.06047767400741577,0.3645550012588501,0.46304047107696533,0.05186251550912857,0.3832162916660309,0.41837137937545776,0.04110073670744896,0.2862028479576111,0.40479815006256104,0.10795216262340546,0.3091105818748474,0.3544389307498932,0.1041673794388771,0.3419017791748047,0.3564072847366333,0.0888880267739296,0.36376506090164185,0.3786259591579437,0.07631527632474899,0.2707574665546417,0.3927032947540283,0.07075966149568558,0.30491065979003906,0.3346205949783325,0.06897306442260742,0.3458977937698364,0.34713202714920044,0.053984396159648895,0.36746829748153687,0.37902769446372986,0.04841748625040054,0.2584133446216583,0.38956397771835327,0.029543550685048103,0.294477641582489,0.3244031071662903,0.023817168548703194,0.3371516764163971,0.3430272042751312,0.009679322130978107,0.3609367311000824,0.3775729835033417,0.0034599609207361937,0.2533551752567291,0.39294442534446716,-0.00940346997231245,0.29190513491630554,0.34087875485420227,-0.013055981136858463,0.3267313241958618,0.3472703993320465,-0.017154987901449203,0.3522701561450958,0.3708592355251312,-0.019558776170015335
Left,0.35416409373283386,0.7484278678894043,-0.00010265595483360812,0.40097108483314514,0.7199931144714355,0.03331528976559639,0.42842403054237366,0.6736451387405396,0.030703088268637657,0.45283615589141846,0.6370525360107422,0.011077039875090122,0.4637017548084259,0.5984060168266296,-0.011408195830881596,0.366108775138855,0.5893540978431702,0.04245966672897339,0.3957901895046234,0.5366227030754089,0.030544500797986984,0.43238458037376404,0.5468695759773254,0.02524913288652897,0.4533140957355499,0.5723064541816711,0.023498333990573883,0.35204803943634033,0.5900778770446777,0.009499233216047287,0.39676061272621155,0.528134822845459,-0.00248103984631598,0.43829238414764404,0.5439878702163696,-0.00503210024908185,0.45546507835388184,0.5676270723342896,-0.0008233976550400257,0.34548208117485046,0.5999289155006409,-0.024914823472499847,0.3913871943950653,0.5342816114425659,-0.03956323862075806,0.4345487952232361,0.5483983755111694,-0.037650566548109055,0.4537491798400879,0.5748004913330078,-0.03360992297530174,0.3517405092716217,0.6145849823951721,-0.057689130306243896,0.3890812397003174,0.5563604831695557,-0.06558088213205338,0.4233481287956238,0.55769282579422,-0.05896751955151558,0.4461632966995239,0.5747763514518738,-0.04915810748934746
Right,0.5663170218467712,0.7782274484634399,-9.780837899597827e-06,0.5083431601524353,0.7213529348373413,0.05211850255727768,0.4871022403240204,0.6675411462783813,0.06126963719725609,0.4708279073238373,0.6299183368682861,0.05348571762442589,0.45844337344169617,0.6020888090133667,0.0384819470345974,0.5603727102279663,0.5874494314193726,0.04793134331703186,0.5024926662445068,0.5652098655700684,0.03910953551530838,0.46454399824142456,0.5874614119529724,0.03522051125764847,0.4443349242210388,0.6138457655906677,0.03548402339220047,0.5741558074951172,0.5837077498435974,0.009974488988518715,0.4985583424568176,0.5555317997932434,0.0017870910232886672,0.45411592721939087,0.5899279117584229,-0.0056466516107320786,0.43454715609550476,0.6284633874893188,-0.009117777459323406,0.580233097076416,0.5883359313011169,-0.02890211157500744,0.5061458945274353,0.5506230592727661,-0.03130410984158516,0.4639042317867279,0.5815670490264893,-0.028621038421988487,0.4468262195587158,0.6208940148353577,-0.030117392539978027,0.5762847065925598,0.5996599793434143,-0.06507482379674911,0.5189838409423828,0.5623815059661865,-0.06088989973068237,0.48239946365356445,0.5788564085960388,-0.049314506351947784,0.46471700072288513,0.6078166365623474,-0.046370979398489
Right,0.6866264343261719,0.6220494508743286,-1.0137417120859027e-05,0.6338130235671997,0.6270648837089539,0.02139314077794552,0.5920860767364502,0.6022822856903076,0.03778669983148575,0.5638881921768188,0.5742065906524658,0.04037576541304588,0.5504518747329712,0.5367260575294495,0.041418928653001785,0.6178715825080872,0.5286453366279602,0.0913330465555191,0.5915749073028564,0.5000316500663757,0.08553409576416016,0.5680930018424988,0.500180184841156,0.05351327732205391,0.5519766807556152,0.5174446105957031,0.026995806023478508,0.6306763887405396,0.5065323114395142,0.07073726505041122,0.5972961783409119,0.47172293066978455,0.06253780424594879,0.5714842081069946,0.4803768992424011,0.020273281261324883,0.5587219595909119,0.5071378946304321,-0.014631708152592182,0.6489348411560059,0.4887004792690277,0.046162210404872894,0.6164748668670654,0.44933217763900757,0.0397513285279274,0.5910143256187439,0.46232879161834717,0.01144483219832182,0.5775070190429688,0.4910241663455963,-0.01137703750282526,0.6712758541107178,0.4733625650405884,0.021342668682336807,0.6454859375953674,0.43374377489089966,0.023027727380394936,0.6178451776504517,0.43364495038986206,0.013994467444717884,0.59371417760849,0.45110535621643066,0.004168165381997824
Left,0.37385129928588867,0.6112558841705322,-1.8039316273643635e-05,0.4138233959674835,0.6071745157241821,0.02224741503596306,0.4390060305595398,0.5888736248016357,0.03199116885662079,0.4568101167678833,0.5664381980895996,0.03160925582051277,0.4631783962249756,0.5363774299621582,0.03147439658641815,0.4157436490058899,0.5337761640548706,0.06535958498716354,0.4311867654323578,0.5083902478218079,0.06309628486633301,0.4486808776855469,0.5109441876411438,0.048108894377946854,0.45931288599967957,0.5255917906761169,0.0376383513212204,0.40597209334373474,0.5205705165863037,0.04812757670879364,0.4243277609348297,0.48877882957458496,0.04548867046833038,0.44477659463882446,0.49508675932884216,0.02991039864718914,0.455899178981781,0.5150759816169739,0.022857310250401497,0.39499643445014954,0.5121346712112427,0.02791498973965645,0.414052277803421,0.4742995798587799,0.025322264060378075,0.4348439872264862,0.48366284370422363,0.011429861187934875,0.4469617009162903,0.5049809813499451,0.0033316193148493767,0.3832150399684906,0.5065087676048279,0.009038782678544521,0.40393975377082825,0.4754931330680847,0.008465091697871685,0.423013836145401,0.4774984121322632,0.0032793693244457245,0.43801629543304443,0.49180757999420166,-0.0017726089572533965
Right,0.5558537244796753,0.6897556185722351,-8.291238373203669e-06,0.519461989402771,0.6869253516197205,0.014034176245331764,0.49282383918762207,0.6642799973487854,0.014350333251059055,0.47240936756134033,0.6408355832099915,0.0060116988606750965,0.4612235128879547,0.6086483001708984,-0.00677092419937253,0.5179920792579651,0.6156441569328308,0.04891747236251831,0.4980836510658264,0.5910494327545166,0.04053230211138725,0.47883057594299316,0.5948657989501953,0.02183568850159645,0.46587324142456055,0.6104841828346252,0.009740408509969711,0.5295466780662537,0.5985557436943054,0.03298661857843399,0.5016444325447083,0.5718556642532349,0.02708861418068409,0.47957801818847656,0.5807946920394897,0.010593770071864128,0.46941670775413513,0.5985497236251831,-0.0018434893572703004,0.5425856113433838,0.5855987668037415,0.013427669182419777,0.5117982029914856,0.5532829761505127,0.008383969776332378,0.4890875220298767,0.5658587217330933,-0.0041670543141663074,0.4793214797973633,0.5883930325508118,-0.012630275450646877,0.5547091960906982,0.5781646966934204,-0.005108745768666267,0.5267598628997803,0.5491359829902649,-0.006508463528007269,0.5040181279182434,0.554762601852417,-0.007074338849633932,0.487962543964386,0.5714991092681885,-0.009756678715348244
Left,0.225629985332489,0.7566332817077637,-2.1632344214594923e-05,0.26081159710884094,0.7308934926986694,0.019682619720697403,0.2852245569229126,0.6995633840560913,0.021793000400066376,0.3023589551448822,0.6702544689178467,0.014048008248209953,0.30328369140625,0.6408169269561768,0.00707487715408206,0.2587038278579712,0.6449689269065857,0.03997103497385979,0.26959019899368286,0.6014173030853271,0.030248044058680534,0.29050761461257935,0.6007404923439026,0.015714362263679504,0.3047292232513428,0.6164228916168213,0.006794172339141369,0.24658867716789246,0.640334963798523,0.01969732530415058,0.2600855529308319,0.5896121263504028,0.008727709762752056,0.28517869114875793,0.5918704271316528,-0.003209589747712016,0.30026620626449585,0.6131719946861267,-0.008884121663868427,0.23498860001564026,0.6418036818504333,-0.0020568962208926678,0.24754677712917328,0.5891481637954712,-0.014303932897746563,0.2740193009376526,0.5910458564758301,-0.024568630382418633,0.29058966040611267,0.6112021207809448,-0.028873661532998085,0.22537679970264435,0.6492252945899963,-0.023506565019488335,0.24187250435352325,0.6072512865066528,-0.031310632824897766,0.26432543992996216,0.6035197377204895,-0.03651503473520279,0.28264400362968445,0.6146364808082581,-0.040365274995565414
Right,0.6347167491912842,0.4201419949531555,0.00011888860899489373,0.573492705821991,0.4109134078025818,-0.04885585978627205,0.5366064310073853,0.3721874952316284,-0.10008800029754639,0.5029321908950806,0.3217429220676422,-0.13106460869312286,0.4746133089065552,0.2775765657424927,-0.1802077740430832,0.6408284902572632,0.246801495552063,-0.1596287041902542,0.5602023005485535,0.21758997440338135,-0.1982903629541397,0.5042024850845337,0.2457396388053894,-0.20563971996307373,0.4650093913078308,0.27682778239250183,-0.20792867243289948,0.664929986000061,0.22633439302444458,-0.15075956284999847,0.5625377297401428,0.20801378786563873,-0.19208009541034698,0.49881231784820557,0.24640272557735443,-0.18608656525611877,0.4599435329437256,0.2964456081390381,-0.1825147122144699,0.6755560040473938,0.23243768513202667,-0.14157478511333466,0.5797663331031799,0.20685943961143494,-0.17157761752605438,0.5262011289596558,0.23427437245845795,-0.17058172821998596,0.4935166537761688,0.26792678236961365,-0.17416836321353912,0.6751051545143127,0.24696193635463715,-0.1341966986656189,0.6134079098701477,0.2128281593322754,-0.16908766329288483,0.5771718621253967,0.22188803553581238,-0.16571976244449615,0.5477452278137207,0.239201158285141,-0.16799061000347137
Left,0.07912859320640564,0.4445936679840088,-0.0001156811194960028,0.16474616527557373,0.4638938903808594,0.004693944472819567,0.25606802105903625,0.4399040937423706,-0.010006093420088291,0.3200022280216217,0.39914706349372864,-0.04528486728668213,0.35702624917030334,0.3220309615135193,-0.07647334039211273,0.2424105554819107,0.27613207697868347,0.053351029753685,0.2998371124267578,0.2021765112876892,-0.0033929080236703157,0.3432738780975342,0.23207904398441315,-0.061056721955537796,0.36251842975616455,0.292040079832077,-0.08872232586145401,0.2117697298526764,0.2385096251964569,0.01610463485121727,0.28015968203544617,0.15363682806491852,-0.04920250549912453,0.3326413035392761,0.20176243782043457,-0.119163878262043,0.3520027995109558,0.27937746047973633,-0.15714311599731445,0.17336219549179077,0.21538203954696655,-0.031953636556863785,0.24242712557315826,0.12005652487277985,-0.09544584155082703,0.29935288429260254,0.17677076160907745,-0.15675798058509827,0.3242614269256592,0.26120200753211975,-0.19363684952259064,0.12935426831245422,0.20527204871177673,-0.08036915212869644,0.19402456283569336,0.13950227200984955,-0.1315961331129074,0.24496370553970337,0.1695137470960617,-0.17387934029102325,0.2789534330368042,0.23221981525421143,-0.20879043638706207
