left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.8754127621650696,0.4317004680633545,-8.953722863225266e-05,0.7848471999168396,0.40208446979522705,0.05526340380311012,0.6927582025527954,0.44764721393585205,0.0479784719645977,0.6451249122619629,0.5179606676101685,0.04117801785469055,0.6270189881324768,0.5737423300743103,0.025823092088103294,0.6391708850860596,0.5040237903594971,-0.075054831802845,0.6125308275222778,0.6743563413619995,-0.06831018626689911,0.6086085438728333,0.7731711268424988,-0.05419120937585831,0.6067942976951599,0.8518073558807373,-0.054558370262384415,0.6796062588691711,0.5405752062797546,-0.10233402252197266,0.6838064193725586,0.6933858394622803,-0.05219174548983574,0.711406409740448,0.6514237523078918,0.013394739478826523,0.7116630673408508,0.5990334153175354,0.020278939977288246,0.7357373833656311,0.5703715085983276,-0.12086287885904312,0.7392329573631287,0.6917481422424316,-0.06970760226249695,0.7631347179412842,0.64812833070755,-0.020693399012088776,0.7675676941871643,0.6024694442749023,-0.025157473981380463,0.7918581366539001,0.5911884307861328,-0.13701924681663513,0.7892569303512573,0.6763904690742493,-0.09198330342769623,0.8054366111755371,0.6399304866790771,-0.06345751881599426,0.805260181427002,0.6033338904380798,-0.07074176520109177
Right,0.6776032447814941,0.4271647334098816,-4.041712236357853e-05,0.6067801713943481,0.45827314257621765,0.00663621723651886,0.5579233765602112,0.5199386477470398,-0.026690002530813217,0.5354971885681152,0.5970147848129272,-0.05118199810385704,0.552695631980896,0.6460796594619751,-0.06776721030473709,0.5843451619148254,0.5880832672119141,-0.12768085300922394,0.5857017040252686,0.7214109301567078,-0.1299767792224884,0.5897977948188782,0.7927511930465698,-0.11716320365667343,0.5941033363342285,0.841842532157898,-0.11224391311407089,0.6354373097419739,0.5989127159118652,-0.1270703226327896,0.6519690155982971,0.7143112421035767,-0.0859081894159317,0.6522274017333984,0.6838764548301697,-0.022093649953603745,0.6454683542251587,0.637316882610321,0.001362174516543746,0.6860290765762329,0.5973694324493408,-0.11818308383226395,0.6979122757911682,0.6968992948532104,-0.07156477123498917,0.6965795159339905,0.6707673668861389,-0.02108944021165371,0.6908564567565918,0.6343030333518982,-0.009377378970384598,0.7276307344436646,0.5880273580551147,-0.10712091624736786,0.7366569638252258,0.6829792857170105,-0.08331068605184555,0.7373484373092651,0.6925443410873413,-0.06098305433988571,0.7355813384056091,0.6864408254623413,-0.06058638542890549
Left,0.26457878947257996,0.4479616582393646,-0.00010733027011156082,0.33157777786254883,0.46901947259902954,0.004096054472029209,0.3809135854244232,0.5155665874481201,-0.025732873007655144,0.4101408123970032,0.5809623599052429,-0.04703335836529732,0.4133417308330536,0.6345260739326477,-0.06691291928291321,0.36297088861465454,0.5940744280815125,-0.09058654308319092,0.38242053985595703,0.7120746374130249,-0.09314392507076263,0.39673447608947754,0.7764474749565125,-0.08717907220125198,0.40890389680862427,0.8209921717643738,-0.08566131442785263,0.3150310218334198,0.6109812259674072,-0.08887599408626556,0.3192707300186157,0.6861124038696289,-0.057501062750816345,0.31815779209136963,0.6560961008071899,-0.020137406885623932,0.31700530648231506,0.6182188391685486,-0.010615034028887749,0.26803892850875854,0.6147448420524597,-0.07909972220659256,0.27656084299087524,0.6836870312690735,-0.044996410608291626,0.2784571647644043,0.6601219177246094,-0.010710980743169785,0.2808772325515747,0.6246894598007202,-0.0033665644004940987,0.22672522068023682,0.6111718416213989,-0.06928570568561554,0.2259916365146637,0.6870625615119934,-0.05376861244440079,0.22992077469825745,0.7050239443778992,-0.036567941308021545,0.23613208532333374,0.704787015914917,-0.031258706003427505
Left,0.28781893849372864,0.40638577938079834,-0.00011897228978341445,0.34926173090934753,0.4140513241291046,0.00909727718681097,0.3889162540435791,0.46055933833122253,-0.0068887569941580296,0.41062378883361816,0.5226689577102661,-0.011091802269220352,0.4189564883708954,0.5661747455596924,-0.014765034429728985,0.3774048388004303,0.5158952474594116,-0.06669589132070541,0.39332419633865356,0.615145742893219,-0.06278717517852783,0.4026709794998169,0.6649702191352844,-0.04823540523648262,0.40897274017333984,0.6996651291847229,-0.03710008040070534,0.3413302004337311,0.538595974445343,-0.06086835265159607,0.35139933228492737,0.6149078607559204,-0.020801683887839317,0.35482946038246155,0.5929067134857178,0.022010285407304764,0.35364603996276855,0.5661801099777222,0.037569690495729446,0.3069649636745453,0.5485193729400635,-0.04944427311420441,0.31936028599739075,0.6094830632209778,-0.011762125417590141,0.32222574949264526,0.5911919474601746,0.020652953535318375,0.32081955671310425,0.5687330961227417,0.02658417448401451,0.27645063400268555,0.5488856434822083,-0.035611528903245926,0.29127368330955505,0.5945340394973755,-0.0029808313120156527,0.29705843329429626,0.58143150806427,0.02449997141957283,0.29700183868408203,0.5645073056221008,0.03211229667067528
Right,0.8429778218269348,0.446196973323822,-9.645884711062536e-05,0.7623403668403625,0.4819684624671936,-0.0008737778407521546,0.7035358548164368,0.5517056584358215,-0.029574746266007423,0.6959635615348816,0.6308991312980652,-0.04515816643834114,0.7266948819160461,0.6684963703155518,-0.05531800165772438,0.7520326972007751,0.6195777654647827,-0.13497665524482727,0.75404953956604,0.7689886093139648,-0.13656099140644073,0.7558390498161316,0.852767288684845,-0.1313096284866333,0.7622610926628113,0.9127349853515625,-0.13277380168437958,0.8078938126564026,0.635095477104187,-0.12614238262176514,0.7947962880134583,0.7550408840179443,-0.0838216096162796,0.7806468605995178,0.728672444820404,-0.02639024890959263,0.7779690623283386,0.682626485824585,-0.014848216436803341,0.8579139709472656,0.6359808444976807,-0.10898854583501816,0.8339160084724426,0.7347239851951599,-0.05368802323937416,0.8221117854118347,0.7135176062583923,-0.007271426264196634,0.8244010806083679,0.6769022345542908,-0.004490746650844812,0.9010698795318604,0.6289461851119995,-0.09255413711071014,0.8743947744369507,0.7117525935173035,-0.044403817504644394,0.8601917028427124,0.6951265335083008,-0.009956366382539272,0.8624253273010254,0.6654337644577026,-0.005428247153759003
Right,0.6258215308189392,0.522700846195221,-3.052180909435265e-05,0.5770412683486938,0.5353994965553284,0.019262315705418587,0.5393192768096924,0.5765156745910645,0.013014942407608032,0.5226367115974426,0.6222564578056335,0.008182471618056297,0.5272775888442993,0.6586999893188477,0.006743197329342365,0.5484415292739868,0.6247274279594421,-0.04353545978665352,0.5498923063278198,0.7074501514434814,-0.03765719011425972,0.5525593757629395,0.7486045360565186,-0.027557266876101494,0.5552960634231567,0.778119683265686,-0.022317731752991676,0.5769203305244446,0.634779155254364,-0.05038167163729668,0.5800073742866516,0.6945607662200928,-0.022873444482684135,0.5820261836051941,0.6746371388435364,0.006536019966006279,0.5815011858940125,0.6502001881599426,0.008929005824029446,0.6066185235977173,0.6358266472816467,-0.05195240303874016,0.605405867099762,0.681045651435852,-0.022420864552259445,0.604159414768219,0.6642928123474121,-0.0006025915499776602,0.6047813296318054,0.6415426135063171,-0.004324472043663263,0.6325758695602417,0.6310815811157227,-0.05229221656918526,0.6256484985351562,0.6652353405952454,-0.025672312825918198,0.6226577758789062,0.6490839719772339,-0.009895924478769302,0.6239897608757019,0.6297493577003479,-0.013999104499816895
Right,0.7135583162307739,0.35084670782089233,-4.3174401071155444e-05,0.6814824938774109,0.36546292901039124,-0.04598001763224602,0.6657963395118713,0.4005723297595978,-0.08474992960691452,0.6700564622879028,0.4447401165962219,-0.10486260056495667,0.6837591528892517,0.4799474775791168,-0.12225889414548874,0.712436318397522,0.41633671522140503,-0.1391189992427826,0.7081610560417175,0.49224159121513367,-0.1636548936367035,0.7055870890617371,0.5375510454177856,-0.16966649889945984,0.7053433656692505,0.5731693506240845,-0.17006848752498627,0.7436100244522095,0.424133837223053,-0.11108560115098953,0.7300096154212952,0.5039222836494446,-0.10464078187942505,0.7126976847648621,0.4996486306190491,-0.0697513222694397,0.7066217064857483,0.4815448522567749,-0.051599014550447464,0.762018084526062,0.4317784309387207,-0.0820845440030098,0.7466694116592407,0.4998684227466583,-0.0756755843758583,0.7273623943328857,0.49684616923332214,-0.051235102117061615,0.7206581830978394,0.48067495226860046,-0.03894966095685959,0.7723162174224854,0.4373627305030823,-0.05514437332749367,0.761837363243103,0.48857343196868896,-0.048526860773563385,0.7464616298675537,0.48907941579818726,-0.03571085259318352,0.7388937473297119,0.4762907922267914,-0.029322601854801178
Left,0.3014599680900574,0.26206985116004944,-0.00014232956164050847,0.3688802421092987,0.2973862290382385,0.017563000321388245,0.4128532111644745,0.36648592352867126,0.0005981092690490186,0.4331582188606262,0.4507305324077606,-0.0075180246494710445,0.42415851354599,0.5095282793045044,-0.012868551537394524,0.38829657435417175,0.4167085289955139,-0.09847740083932877,0.4062368869781494,0.54934161901474,-0.09447155892848969,0.420421302318573,0.6085888743400574,-0.08233542740345001,0.43143680691719055,0.6516749858856201,-0.07512394338846207,0.34472230076789856,0.4309583604335785,-0.09563813358545303,0.3470284044742584,0.5414280295372009,-0.048954207450151443,0.3497685194015503,0.5064024925231934,0.009093115106225014,0.34936419129371643,0.47002288699150085,0.030931774526834488,0.30321353673934937,0.4357812702655792,-0.08719959110021591,0.3077220320701599,0.5365577340126038,-0.042360104620456696,0.3106468915939331,0.5030593872070312,0.009064612910151482,0.30951714515686035,0.4666595458984375,0.02757328189909458,0.2664082944393158,0.43512824177742004,-0.07611029595136642,0.27170637249946594,0.528484046459198,-0.05381922796368599,0.2774408459663391,0.5425541996955872,-0.030876528471708298,0.27985188364982605,0.5451399087905884,-0.021563326939940453
Left,0.18147915601730347,0.4937817454338074,-0.000125811347970739,0.251488596200943,0.5227212309837341,0.00817079097032547,0.29123011231422424,0.5890598297119141,-0.006166507955640554,0.3014584183692932,0.6697614192962646,-0.006955425720661879,0.2953007221221924,0.7269237637519836,-0.004447567742317915,0.2527810037136078,0.6594178676605225,-0.08482258021831512,0.25716662406921387,0.781583845615387,-0.09117752313613892,0.2623039186000824,0.8391528129577637,-0.07738656550645828,0.2658637762069702,0.8826808929443359,-0.05986952781677246,0.203754261136055,0.6700552701950073,-0.0730229839682579,0.21886996924877167,0.7737345099449158,-0.028526252135634422,0.2342669665813446,0.7592228651046753,0.0317346528172493,0.24001388251781464,0.7344630360603333,0.06496965140104294,0.16389544308185577,0.6664505004882812,-0.055390045046806335,0.18314364552497864,0.7476312518119812,-0.009885231964290142,0.19732385873794556,0.7354100942611694,0.041910022497177124,0.20239317417144775,0.7101535201072693,0.06473258137702942,0.13475018739700317,0.6530678868293762,-0.03464015573263168,0.15517300367355347,0.7175570130348206,0.010004897601902485,0.16961520910263062,0.7077955007553101,0.049707282334566116,0.17423216998577118,0.6851935386657715,0.07108882814645767
Left,0.27991777658462524,0.3023105263710022,-0.00016175118798855692,0.38183847069740295,0.33592766523361206,0.005136422347277403,0.4389997720718384,0.4283619523048401,-0.01834023930132389,0.4545540511608124,0.5379052758216858,-0.023490283638238907,0.43639159202575684,0.610095202922821,-0.01841338537633419,0.38903579115867615,0.506690502166748,-0.14268438518047333,0.38889259099960327,0.6876229047775269,-0.16463524103164673,0.3908897936344147,0.7786799073219299,-0.1421663761138916,0.3918302655220032,0.8447266817092896,-0.10990740358829498,0.31785064935684204,0.515663206577301,-0.1214212104678154,0.31936314702033997,0.6948626041412354,-0.07060397416353226,0.34501129388809204,0.7068935036659241,0.03452618792653084,0.36410459876060486,0.6897112727165222,0.10142671316862106,0.25973302125930786,0.509328305721283,-0.09436073899269104,0.2707829177379608,0.6527731418609619,-0.035458650439977646,0.29967665672302246,0.6571329832077026,0.0562342032790184,0.3193739056587219,0.6355116963386536,0.10182403773069382,0.21823522448539734,0.493277907371521,-0.0638117715716362,0.23978199064731598,0.5985540747642517,-0.008488446474075317,0.2645065188407898,0.5989835262298584,0.051641564816236496,0.27906402945518494,0.5792263150215149,0.08420056849718094
