left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7059786319732666,0.659201443195343,8.55059624882415e-06,0.6463004946708679,0.628638744354248,-0.06588966399431229,0.5988671183586121,0.5569866895675659,-0.10550810396671295,0.6267902851104736,0.4904615879058838,-0.14353632926940918,0.6825240254402161,0.4893520176410675,-0.1553875058889389,0.6314628720283508,0.4717440903186798,-0.02635423094034195,0.6112272143363953,0.4255697727203369,-0.10518791526556015,0.6266503930091858,0.4909481704235077,-0.10555468499660492,0.6376063227653503,0.5064207315444946,-0.06959789991378784,0.6719065308570862,0.4633069932460785,-0.025540197268128395,0.6591793298721313,0.41120654344558716,-0.1393038034439087,0.6685193181037903,0.4892857074737549,-0.14804527163505554,0.6725406050682068,0.4918074905872345,-0.10160575062036514,0.7128849625587463,0.4668426513671875,-0.03904474526643753,0.7074804306030273,0.4144718050956726,-0.1350231170654297,0.7062184810638428,0.4941983222961426,-0.12927688658237457,0.7096986770629883,0.5008243918418884,-0.08776521682739258,0.7550634741783142,0.48176664113998413,-0.0610840804874897,0.7488830089569092,0.44436511397361755,-0.1032562181353569,0.7396584749221802,0.4973522126674652,-0.10447721928358078,0.740331768989563,0.506870687007904,-0.07707486301660538
Left,0.27283111214637756,0.5859224200248718,-9.023946404340677e-06,0.32392993569374084,0.5872067213058472,-0.068788543343544,0.3636200726032257,0.5488537549972534,-0.11981090158224106,0.35742390155792236,0.49072906374931335,-0.160971999168396,0.33462435007095337,0.44967883825302124,-0.19868893921375275,0.36876848340034485,0.4857085645198822,-0.07502096891403198,0.3834397494792938,0.45134902000427246,-0.15207000076770782,0.37957680225372314,0.4365602433681488,-0.19266268610954285,0.3730453550815582,0.42879408597946167,-0.20934416353702545,0.3337118327617645,0.46047279238700867,-0.06508510559797287,0.33948636054992676,0.41512206196784973,-0.15189699828624725,0.32273197174072266,0.45257073640823364,-0.17735813558101654,0.31830838322639465,0.4710800349712372,-0.17563286423683167,0.29575565457344055,0.4464346170425415,-0.06584248691797256,0.29770731925964355,0.40958794951438904,-0.1406472772359848,0.2880527675151825,0.45992913842201233,-0.13935953378677368,0.28874829411506653,0.477344810962677,-0.11875907331705093,0.25758710503578186,0.4445055425167084,-0.07210903614759445,0.2567623555660248,0.41410335898399353,-0.11918864399194717,0.25600796937942505,0.4555412828922272,-0.11765394359827042,0.2597990334033966,0.4742542505264282,-0.09958148002624512
Right,0.7478373050689697,0.667534589767456,-4.2933850636472926e-05,0.685698926448822,0.6408208608627319,-0.04864928871393204,0.6343288421630859,0.5685107111930847,-0.08272745460271835,0.6619195938110352,0.49928003549575806,-0.11993160098791122,0.7214683294296265,0.4993746876716614,-0.13214971125125885,0.6628535389900208,0.49578893184661865,0.0002405548293609172,0.6337420344352722,0.4455508887767792,-0.07165718078613281,0.6515229344367981,0.5065663456916809,-0.082524374127388,0.6659812927246094,0.5295941233634949,-0.05456143617630005,0.7006637454032898,0.48081544041633606,-0.005794140975922346,0.6790745854377747,0.42585083842277527,-0.10381743311882019,0.6937262415885925,0.49482661485671997,-0.11752300709486008,0.7026532292366028,0.510097086429596,-0.079260915517807,0.7395605444908142,0.4786609709262848,-0.025166379287838936,0.7242966294288635,0.4234156608581543,-0.11140187084674835,0.7312883138656616,0.4973861277103424,-0.11064396798610687,0.7411043643951416,0.5152125954627991,-0.07275550812482834,0.7821342945098877,0.4887469410896301,-0.05205702409148216,0.7683079242706299,0.4453178942203522,-0.09071088582277298,0.7645860314369202,0.49521228671073914,-0.0920017883181572,0.7705437541007996,0.5123017430305481,-0.06729257851839066
Left,0.14072832465171814,0.5605015754699707,-5.9565118135651574e-05,0.2295156568288803,0.5468810796737671,-0.0686623826622963,0.30030715465545654,0.4600364863872528,-0.11395638436079025,0.2782856822013855,0.3582843542098999,-0.15710823237895966,0.20647859573364258,0.34522077441215515,-0.1878400444984436,0.2738892436027527,0.3684278726577759,-0.0016804961487650871,0.29811227321624756,0.2974178194999695,-0.10604455322027206,0.2770630717277527,0.3532180190086365,-0.13510610163211823,0.26270443201065063,0.38411545753479004,-0.11373739689588547,0.22174319624900818,0.33912765979766846,0.005146695300936699,0.24321512877941132,0.2609720826148987,-0.1223771721124649,0.22031159698963165,0.3481837511062622,-0.14754387736320496,0.2134334295988083,0.3782048225402832,-0.11581828445196152,0.169234037399292,0.32470667362213135,-0.006608345080167055,0.1834382563829422,0.2499321699142456,-0.11860335618257523,0.17277497053146362,0.34594079852104187,-0.12792277336120605,0.1671743094921112,0.3813905715942383,-0.09624111652374268,0.1132221594452858,0.32571321725845337,-0.024353861808776855,0.1264074146747589,0.2689128518104553,-0.08233211934566498,0.1271733045578003,0.3375561237335205,-0.09450117498636246,0.12343522906303406,0.37495511770248413,-0.07406642287969589
Right,0.8879052996635437,0.6141971349716187,-2.8151634978712536e-05,0.8033734560012817,0.5942578315734863,-0.06222236528992653,0.7290860414505005,0.5025722980499268,-0.10005198419094086,0.7559358477592468,0.4006378948688507,-0.14311127364635468,0.8304122090339661,0.39015960693359375,-0.15478526055812836,0.7643476128578186,0.40032869577407837,0.023160291835665703,0.7254323959350586,0.3396395742893219,-0.06716646999120712,0.7517464756965637,0.4162105321884155,-0.07922238111495972,0.7732897996902466,0.43948572874069214,-0.04026287421584129,0.8153787851333618,0.37853115797042847,0.018142161890864372,0.7822803854942322,0.3126094937324524,-0.1090952605009079,0.803522527217865,0.4038638770580292,-0.1310102641582489,0.8180620670318604,0.41996628046035767,-0.079178586602211,0.8697349429130554,0.37346938252449036,-0.006147903390228748,0.8434562087059021,0.3088708519935608,-0.11950909346342087,0.8536282777786255,0.40724316239356995,-0.12125382572412491,0.8661078214645386,0.42702624201774597,-0.07498166710138321,0.929746687412262,0.38061755895614624,-0.039770860224962234,0.9050719141960144,0.32851526141166687,-0.08691183477640152,0.901025652885437,0.3976680636405945,-0.08957628905773163,0.9090720415115356,0.4194025993347168,-0.05626906082034111
Right,0.7637893557548523,0.6719977259635925,-2.5835190172074363e-05,0.7039470076560974,0.6538761854171753,-0.051562316715717316,0.6529437899589539,0.5868246555328369,-0.07831085473299026,0.6747283339500427,0.5200684666633606,-0.1058933362364769,0.7274878621101379,0.519406795501709,-0.11350353807210922,0.6759175658226013,0.5169152021408081,-0.001473310636356473,0.6500303745269775,0.4694156348705292,-0.0663260668516159,0.6675216555595398,0.5149011015892029,-0.07758637517690659,0.6795015335083008,0.535824179649353,-0.055439259856939316,0.7127081751823425,0.49815547466278076,-0.0027873453218489885,0.6922664642333984,0.45900601148605347,-0.08978654444217682,0.7101629376411438,0.5208962559700012,-0.10665764659643173,0.7171693444252014,0.5346361994743347,-0.07547111064195633,0.7502453923225403,0.49151769280433655,-0.018060429021716118,0.7349460124969482,0.44737479090690613,-0.09602419286966324,0.7434755563735962,0.5103464126586914,-0.10009054094552994,0.7491766214370728,0.5246918797492981,-0.0703650489449501,0.791883111000061,0.49621185660362244,-0.03915664926171303,0.7781941890716553,0.46463605761528015,-0.07906818389892578,0.7782772779464722,0.5129579901695251,-0.08635410666465759,0.7833799123764038,0.5283087491989136,-0.06910309195518494
Left,0.25706571340560913,0.6373809576034546,-2.73733585345326e-05,0.3139006495475769,0.6226003766059875,-0.056560587137937546,0.35917991399765015,0.5760964155197144,-0.09661520272493362,0.35685044527053833,0.5166692137718201,-0.12896676361560822,0.32580628991127014,0.48397916555404663,-0.15241527557373047,0.3428255021572113,0.5112525820732117,-0.04497319087386131,0.352684885263443,0.4751044511795044,-0.11745622009038925,0.3466843366622925,0.4923662543296814,-0.14011120796203613,0.3465747833251953,0.4989878237247467,-0.13852766156196594,0.30684223771095276,0.49265527725219727,-0.03825172036886215,0.3180978298187256,0.44818350672721863,-0.1292230635881424,0.3060702979564667,0.4989358186721802,-0.15085504949092865,0.30641263723373413,0.5060234665870667,-0.14202088117599487,0.26857730746269226,0.48419004678726196,-0.04330890625715256,0.2781570553779602,0.4444671869277954,-0.11975586414337158,0.2743339240550995,0.504353940486908,-0.11284111440181732,0.2756427824497223,0.5127626657485962,-0.0855213850736618,0.22929124534130096,0.4885040819644928,-0.05141226202249527,0.23921778798103333,0.45285576581954956,-0.09193076938390732,0.2426687479019165,0.49931439757347107,-0.0880478173494339,0.24338775873184204,0.5130801796913147,-0.06626398116350174
Left,0.34044817090034485,0.5974893569946289,-3.532422852003947e-05,0.3746972382068634,0.5803754329681396,-0.02238381654024124,0.40396255254745483,0.5527654886245728,-0.04169097915291786,0.40144917368888855,0.5205205678939819,-0.059839796274900436,0.3709864616394043,0.52512526512146,-0.0697716698050499,0.3952220678329468,0.5172364711761475,-0.00679421704262495,0.4057917594909668,0.4836108684539795,-0.0335710272192955,0.3979635238647461,0.5129482746124268,-0.029465757310390472,0.39519211649894714,0.523482084274292,-0.01195701863616705,0.3772948086261749,0.5105210542678833,-0.005889823194593191,0.38573142886161804,0.47795283794403076,-0.04771514981985092,0.37728452682495117,0.5126117467880249,-0.05171409994363785,0.37533998489379883,0.5203447341918945,-0.039404213428497314,0.3589223623275757,0.5083805322647095,-0.009679782204329967,0.3650423288345337,0.48169055581092834,-0.04272773116827011,0.3598893880844116,0.5141793489456177,-0.043325960636138916,0.35616323351860046,0.5217286348342896,-0.03401432931423187,0.33901891112327576,0.5105774402618408,-0.015199835412204266,0.3462388515472412,0.4873681962490082,-0.027185536921024323,0.34558016061782837,0.5077624320983887,-0.02869839034974575,0.34239599108695984,0.5157589316368103,-0.024352136999368668
Right,0.6591117978096008,0.6317490339279175,9.72075758909341e-06,0.6378582715988159,0.6303017139434814,-0.03605441004037857,0.6273237466812134,0.6145622134208679,-0.0648944154381752,0.6337190270423889,0.5966008305549622,-0.08966916054487228,0.6437703371047974,0.5858066082000732,-0.11244554072618484,0.6176306009292603,0.5730283260345459,-0.06739477813243866,0.6171782612800598,0.5571852326393127,-0.10457010567188263,0.6247884631156921,0.5546966791152954,-0.12382129579782486,0.6301188468933105,0.5547024607658386,-0.1348668336868286,0.6357479095458984,0.5630508065223694,-0.06335444748401642,0.6418070793151855,0.5484374761581421,-0.10585597157478333,0.6502587795257568,0.5603542327880859,-0.12562942504882812,0.650192379951477,0.5633260011672974,-0.1356615275144577,0.6544712781906128,0.5597652792930603,-0.06098300218582153,0.664849042892456,0.5484844446182251,-0.09442778676748276,0.6682636141777039,0.5651184320449829,-0.10038959980010986,0.6638381481170654,0.5687627196311951,-0.09993162006139755,0.672688901424408,0.5625805258750916,-0.06202838942408562,0.6828960180282593,0.554477334022522,-0.08410178124904633,0.681868314743042,0.5665847659111023,-0.08781253546476364,0.6748996376991272,0.5689482092857361,-0.08653769642114639
Right,0.6640036702156067,0.714156448841095,5.850055003975285e-06,0.6156308054924011,0.6925034523010254,-0.040362920612096786,0.5800641775131226,0.6336946487426758,-0.06392533332109451,0.6041525602340698,0.5889188647270203,-0.08618748933076859,0.6425724029541016,0.5958298444747925,-0.0955074205994606,0.5993391871452332,0.5923706889152527,-0.02155151031911373,0.5844975709915161,0.5523317456245422,-0.08090954273939133,0.5919721126556396,0.5700033903121948,-0.10964686423540115,0.5988479852676392,0.5844700336456299,-0.11143919080495834,0.6308542490005493,0.5808829665184021,-0.023586949333548546,0.6199492812156677,0.5427004098892212,-0.09592389315366745,0.6268760561943054,0.5713408589363098,-0.1332237422466278,0.6311665177345276,0.5876457691192627,-0.13662578165531158,0.6616881489753723,0.5781337022781372,-0.03359006717801094,0.6574971675872803,0.5399331450462341,-0.099327951669693,0.6568124294281006,0.5722337365150452,-0.11823949962854385,0.6570912003517151,0.587905764579773,-0.11021614074707031,0.6942441463470459,0.5859583020210266,-0.04692390188574791,0.6939728856086731,0.5545795559883118,-0.08677715808153152,0.6875258088111877,0.580037534236908,-0.0991404801607132,0.6839889287948608,0.5953240990638733,-0.09367042034864426
