left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7288842797279358,0.845805287361145,-8.75861951499246e-05,0.6770692467689514,0.8036664724349976,-0.043622154742479324,0.6459673643112183,0.7282259464263916,-0.09523509442806244,0.6689228415489197,0.6691421270370483,-0.14556275308132172,0.7088776230812073,0.6208989024162292,-0.18974535167217255,0.6788568496704102,0.6071996688842773,-0.06428392231464386,0.6756024360656738,0.5098878145217896,-0.10332481563091278,0.6776558756828308,0.44749242067337036,-0.1259128898382187,0.6820383071899414,0.3883218765258789,-0.13794605433940887,0.7274706959724426,0.6059482097625732,-0.08655447512865067,0.7211358547210693,0.49419355392456055,-0.13635873794555664,0.711918294429779,0.4248603582382202,-0.16907230019569397,0.7103466987609863,0.36393991112709045,-0.19497135281562805,0.7733355164527893,0.6374545693397522,-0.11290860176086426,0.744410514831543,0.5919086337089539,-0.19448208808898926,0.7159742712974548,0.6548793315887451,-0.21593712270259857,0.7103418111801147,0.7031556963920593,-0.21433688700199127,0.8131802082061768,0.6842563152313232,-0.1432507187128067,0.7810125350952148,0.6565205454826355,-0.19799572229385376,0.7527000904083252,0.6986145973205566,-0.2064284086227417,0.7418949007987976,0.7337055802345276,-0.20507393777370453
Left,0.27435365319252014,0.8242287039756775,-6.47495617158711e-05,0.326459676027298,0.8003698587417603,-0.02707058936357498,0.35536086559295654,0.722326934337616,-0.036630306392908096,0.3350743353366852,0.6534644365310669,-0.04981772229075432,0.30519187450408936,0.6149446964263916,-0.05713354051113129,0.3394765853881836,0.6466058492660522,0.0029628765769302845,0.35091808438301086,0.5655828714370728,-0.013097912073135376,0.35677361488342285,0.511870801448822,-0.022516533732414246,0.35903602838516235,0.4674830734729767,-0.02805304154753685,0.3049616813659668,0.6404393911361694,-0.006507194600999355,0.3179672360420227,0.5520687699317932,-0.029575329273939133,0.3272974491119385,0.49335777759552,-0.04468168690800667,0.3358052670955658,0.44664978981018066,-0.05641878396272659,0.26996931433677673,0.6543025970458984,-0.023717382922768593,0.2856225371360779,0.5994804501533508,-0.07821371406316757,0.29813507199287415,0.6597803235054016,-0.10024130344390869,0.3013150095939636,0.7065250277519226,-0.10331903398036957,0.23689071834087372,0.6772933006286621,-0.04118622466921806,0.25661736726760864,0.6475379467010498,-0.09317722916603088,0.2694527804851532,0.6981763243675232,-0.109329454600811,0.2732921242713928,0.7378981113433838,-0.11299701780080795
Right,0.8545039892196655,0.7668366432189941,-0.000128256157040596,0.7955039143562317,0.7260732650756836,-0.054926253855228424,0.7746009826660156,0.6280529499053955,-0.09404327720403671,0.8379519581794739,0.5578696727752686,-0.12492179870605469,0.8879382014274597,0.4954565763473511,-0.1345892995595932,0.7749941349029541,0.5004078149795532,-0.049814142286777496,0.7758689522743225,0.3954155445098877,-0.10510943084955215,0.782345712184906,0.31944331526756287,-0.14447197318077087,0.791603684425354,0.25199270248413086,-0.1686607003211975,0.8280405402183533,0.4909578859806061,-0.0605308935046196,0.8200525045394897,0.3801586627960205,-0.11353820562362671,0.8132801651954651,0.2960907816886902,-0.15157966315746307,0.8153131604194641,0.2249758243560791,-0.17412717640399933,0.8753528594970703,0.52078777551651,-0.07750599086284637,0.8848651051521301,0.47787320613861084,-0.1636694073677063,0.8675504922866821,0.5628947019577026,-0.18680381774902344,0.8612089157104492,0.6161054372787476,-0.17573928833007812,0.9163835644721985,0.5734145641326904,-0.09892494231462479,0.9123565554618835,0.5420049428939819,-0.170768141746521,0.8921090364456177,0.5989686846733093,-0.18863806128501892,0.881284773349762,0.6410233974456787,-0.17718078196048737
Left,0.10962171107530594,0.7243771553039551,-0.00013920904893893749,0.16700182855129242,0.677613377571106,-0.030674753710627556,0.1926346719264984,0.5925206542015076,-0.04240291565656662,0.16811597347259521,0.5158092379570007,-0.05833964794874191,0.13163940608501434,0.475172758102417,-0.06715967506170273,0.17564010620117188,0.5085495710372925,-0.006750373635441065,0.1895090490579605,0.41920897364616394,-0.03694458678364754,0.19374871253967285,0.3572012186050415,-0.05134321376681328,0.1951586902141571,0.3009181320667267,-0.057679805904626846,0.1339985430240631,0.5079324841499329,-0.019181981682777405,0.14959953725337982,0.40155839920043945,-0.058518968522548676,0.16268262267112732,0.32686203718185425,-0.0936143547296524,0.17384479939937592,0.26630300283432007,-0.12141799181699753,0.09209907799959183,0.5272891521453857,-0.03823383152484894,0.1140526607632637,0.47955185174942017,-0.11105585843324661,0.1284119039773941,0.5579368472099304,-0.1195281594991684,0.13114209473133087,0.6159698963165283,-0.11062122136354446,0.050849661231040955,0.5588231682777405,-0.057543762028217316,0.07509009540081024,0.513554573059082,-0.11421793699264526,0.09247559309005737,0.5711511969566345,-0.11597522348165512,0.09663219749927521,0.6168798208236694,-0.10769195854663849
Right,0.6400905251502991,0.9333838224411011,-8.11722275102511e-05,0.5967565774917603,0.9039795398712158,-0.03286270797252655,0.5712042450904846,0.8395030498504639,-0.06491196155548096,0.5985249876976013,0.7962374091148376,-0.09617267549037933,0.6321505904197693,0.7697197794914246,-0.12093805521726608,0.5945910811424255,0.7321183681488037,-0.03480210527777672,0.5915798544883728,0.6545407176017761,-0.061052728444337845,0.5943692326545715,0.6012746095657349,-0.07767187058925629,0.6010162234306335,0.5530420541763306,-0.08783886581659317,0.6307267546653748,0.730013370513916,-0.047838449478149414,0.6274628639221191,0.6406092643737793,-0.07861623167991638,0.6218235492706299,0.5806599855422974,-0.10187937319278717,0.6196777820587158,0.5323264598846436,-0.11889330297708511,0.6632388234138489,0.7562376856803894,-0.06386086344718933,0.6563432216644287,0.7118886709213257,-0.12444369494915009,0.6347042322158813,0.7608991861343384,-0.15137328207492828,0.6264865398406982,0.8020138740539551,-0.15296407043933868,0.6923226118087769,0.7963055968284607,-0.08099532872438431,0.6797592639923096,0.7677091360092163,-0.13152873516082764,0.65823894739151,0.8004403710365295,-0.1480405330657959,0.646589994430542,0.8305382132530212,-0.14869935810565948
Left,0.3373757004737854,0.8686226606369019,-6.774924986530095e-05,0.3721686899662018,0.8421081900596619,-0.009014282375574112,0.39453670382499695,0.7900606989860535,-0.018505888059735298,0.386257141828537,0.7441986799240112,-0.03325210511684418,0.36819717288017273,0.7166834473609924,-0.04396292567253113,0.3804885447025299,0.7337151169776917,0.006610633339732885,0.38976866006851196,0.6766363978385925,-0.007383783347904682,0.3944752812385559,0.6408295631408691,-0.015856513753533363,0.3970331847667694,0.6079195737838745,-0.02022596448659897,0.3573521077632904,0.7302001714706421,-0.008628015406429768,0.3652953505516052,0.6645140647888184,-0.029513392597436905,0.3721497654914856,0.6217638850212097,-0.04352235794067383,0.3784570097923279,0.585875928401947,-0.05425560474395752,0.3332519233226776,0.7414738535881042,-0.027533218264579773,0.34957969188690186,0.7091516256332397,-0.06718184798955917,0.3581875264644623,0.7534748315811157,-0.07946982979774475,0.36028358340263367,0.7865870594978333,-0.08026076853275299,0.31101322174072266,0.7592189908027649,-0.046397771686315536,0.3330918848514557,0.741730272769928,-0.07524610310792923,0.34279337525367737,0.7781625986099243,-0.07973960041999817,0.3453924059867859,0.8067951798439026,-0.07821492850780487
Right,0.5591782331466675,0.9605569243431091,-7.756224658805877e-05,0.522040843963623,0.9392603039741516,-0.016441866755485535,0.5019447803497314,0.893681526184082,-0.038983989506959915,0.5122292637825012,0.8561607599258423,-0.06564609706401825,0.5311741828918457,0.830236554145813,-0.0928901731967926,0.522725522518158,0.8086854219436646,-0.021010462194681168,0.5212584733963013,0.7477023601531982,-0.035309020429849625,0.523834228515625,0.7091361284255981,-0.03960023075342178,0.5280662178993225,0.6750996112823486,-0.0407073013484478,0.5496818423271179,0.8071575164794922,-0.03562622517347336,0.5458263754844666,0.7371493577957153,-0.05634858086705208,0.5384129881858826,0.6961918473243713,-0.07029952108860016,0.5342258214950562,0.6610417366027832,-0.07887621223926544,0.5758536458015442,0.8250078558921814,-0.05209008604288101,0.5574120879173279,0.8035752773284912,-0.0913953185081482,0.5455189943313599,0.8472126722335815,-0.10083112120628357,0.5471755862236023,0.8770152926445007,-0.09764286130666733,0.5977603793144226,0.8516835570335388,-0.06999051570892334,0.5738241672515869,0.8424773216247559,-0.09847940504550934,0.5599622130393982,0.870888888835907,-0.1025017723441124,0.557738721370697,0.8920998573303223,-0.10006030648946762
Right,0.8764742612838745,0.8827500939369202,-0.00012475780386012048,0.8291912078857422,0.8679059743881226,-0.055522408336400986,0.8108269572257996,0.8044164180755615,-0.0962977334856987,0.845829963684082,0.7478808164596558,-0.12960751354694366,0.8805615305900574,0.7062998414039612,-0.1542695164680481,0.8049240112304688,0.6903492212295532,-0.05517192557454109,0.8016531467437744,0.6081328392028809,-0.09794656932353973,0.803831934928894,0.5429928302764893,-0.13049772381782532,0.8084312081336975,0.4888986647129059,-0.14922155439853668,0.840514063835144,0.6798685789108276,-0.05915248394012451,0.8266152143478394,0.5984049439430237,-0.10429202765226364,0.8227072954177856,0.5348484516143799,-0.13353344798088074,0.8222674131393433,0.4812556505203247,-0.15212801098823547,0.8759775161743164,0.7000908255577087,-0.06952501833438873,0.8848722577095032,0.6498606204986572,-0.14657090604305267,0.8817819952964783,0.7006150484085083,-0.18212038278579712,0.8781259059906006,0.7398203611373901,-0.18293491005897522,0.9101113080978394,0.7370707988739014,-0.0817372277379036,0.9154359698295593,0.7042262554168701,-0.15218029916286469,0.9081980586051941,0.7372137308120728,-0.18047930300235748,0.9007694721221924,0.7696573138237,-0.1839546412229538
Left,0.24985617399215698,0.8152261972427368,-9.253020107280463e-05,0.2989703118801117,0.7789822220802307,-0.02992766723036766,0.3272790312767029,0.7005339860916138,-0.05200749263167381,0.30612218379974365,0.6390424966812134,-0.07756330072879791,0.2694537341594696,0.6117127537727356,-0.09598619490861893,0.2995285987854004,0.6120096445083618,-0.005475168582051992,0.3069247603416443,0.5377315282821655,-0.027466626837849617,0.31003957986831665,0.48678475618362427,-0.03917686268687248,0.3094448149204254,0.44124090671539307,-0.047373443841934204,0.26210805773735046,0.6113986968994141,-0.017454564571380615,0.26958635449409485,0.5263261795043945,-0.043962981551885605,0.2758106291294098,0.46640533208847046,-0.06314676254987717,0.28080424666404724,0.4171348810195923,-0.0807475596666336,0.22696028649806976,0.6333064436912537,-0.036881834268569946,0.244233176112175,0.5843710899353027,-0.09524694830179214,0.2647378742694855,0.6490859389305115,-0.10958626121282578,0.2718578279018402,0.6970677375793457,-0.1076134741306305,0.1942339837551117,0.6683533191680908,-0.05815741792321205,0.21517106890678406,0.6306107044219971,-0.10860559344291687,0.23373787105083466,0.6815373301506042,-0.11867674440145493,0.23992019891738892,0.7222350239753723,-0.11795321851968765
Right,0.7173994183540344,0.7674556970596313,-0.0001185043147415854,0.65966796875,0.7205413579940796,-0.05544004589319229,0.6459469795227051,0.6267997622489929,-0.098171167075634,0.7082085609436035,0.5674289464950562,-0.13201622664928436,0.7619977593421936,0.5204085111618042,-0.14487016201019287,0.6667338013648987,0.4994395077228546,-0.06152278184890747,0.665224552154541,0.3964219093322754,-0.12092981487512589,0.6697193384170532,0.325003445148468,-0.1642228364944458,0.6797344088554382,0.2628139555454254,-0.1878374069929123,0.7191397547721863,0.5013828277587891,-0.07551013678312302,0.714411199092865,0.389218807220459,-0.13218338787555695,0.7084410786628723,0.3058375120162964,-0.17182856798171997,0.7131867408752441,0.2364610731601715,-0.19858413934707642,0.7632808685302734,0.5410628914833069,-0.09509656578302383,0.7720128893852234,0.5020022392272949,-0.19102291762828827,0.7488656640052795,0.5715339779853821,-0.21683289110660553,0.7401700615882874,0.6175321936607361,-0.20714260637760162,0.7993098497390747,0.6030275821685791,-0.11926357448101044,0.8004204630851746,0.5721733570098877,-0.19449537992477417,0.7781738042831421,0.6107723712921143,-0.21140219271183014,0.7648689150810242,0.6389759182929993,-0.20571310818195343
