left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7365131974220276,0.9229625463485718,-0.00012856720422860235,0.6645736694335938,0.9004801511764526,-0.03798612579703331,0.6034103035926819,0.8447186350822449,-0.06058744713664055,0.5488473176956177,0.8020232319831848,-0.08222560584545135,0.49298375844955444,0.7852306962013245,-0.0873422771692276,0.6327999234199524,0.7145327925682068,-0.05969894304871559,0.6497932076454163,0.6964091658592224,-0.10624092072248459,0.6602994203567505,0.7714472413063049,-0.10267223417758942,0.6569808721542358,0.8099600672721863,-0.08241762965917587,0.6793199777603149,0.7018212080001831,-0.05978059396147728,0.6950733065605164,0.7001661062240601,-0.10887302458286285,0.6911477446556091,0.7816399335861206,-0.09784681349992752,0.6815290451049805,0.814399003982544,-0.07886756956577301,0.72408527135849,0.7051466107368469,-0.06797568500041962,0.7383820414543152,0.6856208443641663,-0.11065150797367096,0.7269648909568787,0.7669382691383362,-0.08876454085111618,0.7133247256278992,0.8132390975952148,-0.06349515914916992,0.766004204750061,0.7198431491851807,-0.0824599415063858,0.7870647311210632,0.6400566697120667,-0.09216292947530746,0.805213987827301,0.5894100666046143,-0.10011626034975052,0.8214250802993774,0.5359732508659363,-0.10989931970834732
Left,0.25922879576683044,0.8250663876533508,-3.161352651659399e-05,0.3263135552406311,0.7960545420646667,-0.011403268203139305,0.37679925560951233,0.7342153787612915,-0.010058339685201645,0.40959471464157104,0.6778193712234497,-0.01463206298649311,0.4380980134010315,0.6397699117660522,-0.015971651300787926,0.3356400728225708,0.6405026912689209,-0.022843826562166214,0.33550843596458435,0.6079121828079224,-0.06017743796110153,0.33383268117904663,0.6693333983421326,-0.05337224900722504,0.33324915170669556,0.7070322036743164,-0.03426177799701691,0.2969309985637665,0.6358749270439148,-0.028584519401192665,0.29845714569091797,0.6203727126121521,-0.06886449456214905,0.3057626187801361,0.686146080493927,-0.06679146736860275,0.30614569783210754,0.7227820158004761,-0.05131165310740471,0.2587614059448242,0.641035795211792,-0.04179518297314644,0.2582216262817383,0.6295458674430847,-0.08351597189903259,0.2736695408821106,0.6942927837371826,-0.07294083386659622,0.28117531538009644,0.7359179854393005,-0.05258798226714134,0.22460658848285675,0.6512313485145569,-0.059840042144060135,0.2130519449710846,0.5749515891075134,-0.0842742994427681,0.20642730593681335,0.5244868993759155,-0.09938723593950272,0.19730058312416077,0.47739845514297485,-0.10464141517877579
Right,0.583590567111969,0.8482072949409485,-0.00012206649989821017,0.5122728943824768,0.7869135141372681,-0.03574807941913605,0.46819525957107544,0.7099177241325378,-0.058714449405670166,0.426449179649353,0.6560220718383789,-0.0850786417722702,0.3767784535884857,0.632233738899231,-0.10441954433917999,0.5392778515815735,0.6213107109069824,-0.05232430621981621,0.5342461466789246,0.6018499135971069,-0.10752041637897491,0.5224123597145081,0.6695849299430847,-0.11084341257810593,0.5166577696800232,0.7137442827224731,-0.09241866320371628,0.5858548879623413,0.6306838989257812,-0.06118850037455559,0.5760610699653625,0.62196284532547,-0.1209527850151062,0.5536813139915466,0.6917356252670288,-0.12509596347808838,0.5439679026603699,0.7272642850875854,-0.11571863293647766,0.6279005408287048,0.6509779691696167,-0.0803757831454277,0.6257417798042297,0.6310606002807617,-0.1286512315273285,0.5923601984977722,0.6897832155227661,-0.11052781343460083,0.5728104710578918,0.731653094291687,-0.08744215965270996,0.6659507155418396,0.675280749797821,-0.10519393533468246,0.7072237133979797,0.6180084347724915,-0.13371631503105164,0.7406228184700012,0.5803566575050354,-0.15866795182228088,0.773670494556427,0.5432185530662537,-0.18385015428066254
Left,0.3026445806026459,0.7995604276657104,-4.1658346162876114e-05,0.36419013142585754,0.7585678696632385,-0.024925297126173973,0.41066423058509827,0.6891814470291138,-0.03512580320239067,0.44975465536117554,0.6329084038734436,-0.05411038175225258,0.4879942536354065,0.5940229296684265,-0.07351432740688324,0.363440603017807,0.5984236598014832,-0.02950577810406685,0.35976898670196533,0.5404333472251892,-0.08465678244829178,0.3629857301712036,0.6021991968154907,-0.09555994719266891,0.3668208122253418,0.649705171585083,-0.08441802859306335,0.32296520471572876,0.6020323634147644,-0.032651130110025406,0.3213997185230255,0.5626675486564636,-0.09661316126585007,0.3345884680747986,0.6317319869995117,-0.10899648815393448,0.341943621635437,0.6798239350318909,-0.09389270842075348,0.2839643657207489,0.6130582094192505,-0.044646862894296646,0.2799984812736511,0.5818173289299011,-0.10442875325679779,0.29973894357681274,0.6456969976425171,-0.11032819747924805,0.31075963377952576,0.6944255828857422,-0.09482651203870773,0.24874837696552277,0.6284344792366028,-0.05986446887254715,0.22964079678058624,0.5548681020736694,-0.09246920049190521,0.2197045236825943,0.5038782358169556,-0.11472909897565842,0.20773383975028992,0.45670971274375916,-0.12255872786045074
Right,0.5726693868637085,0.7216905355453491,-0.00010002347698900849,0.5067269802093506,0.6686052083969116,-0.04737728461623192,0.4655452072620392,0.5784838199615479,-0.07127390056848526,0.4369426667690277,0.5054253935813904,-0.09815788269042969,0.39938706159591675,0.4543226361274719,-0.11272846162319183,0.5357493162155151,0.49560219049453735,-0.05794024467468262,0.5327283143997192,0.45606935024261475,-0.1201874166727066,0.5209125876426697,0.5315478444099426,-0.13306370377540588,0.5118120312690735,0.5875809788703918,-0.11937413364648819,0.5824230909347534,0.5018877387046814,-0.05771177262067795,0.5742449164390564,0.4740028381347656,-0.12582354247570038,0.553356409072876,0.5525593757629395,-0.14864428341388702,0.5420804619789124,0.6010200381278992,-0.14735744893550873,0.625632107257843,0.5222141146659851,-0.06989117711782455,0.6259536743164062,0.48397958278656006,-0.1198325827717781,0.5946462750434875,0.551884114742279,-0.12438354641199112,0.5716719627380371,0.6042969226837158,-0.11263345181941986,0.6673985123634338,0.5498266816139221,-0.08682261407375336,0.7098749876022339,0.4893701672554016,-0.11353681981563568,0.7409804463386536,0.45416027307510376,-0.14338961243629456,0.7683464288711548,0.4159058630466461,-0.16533459722995758
Left,0.24532480537891388,0.6218236684799194,-9.817888894758653e-06,0.31448253989219666,0.5839717984199524,0.0004372873227111995,0.37301528453826904,0.5233523845672607,0.006305333226919174,0.41288208961486816,0.46941491961479187,0.003086735727265477,0.4397066831588745,0.437833696603775,-0.007256554905325174,0.3215552270412445,0.42275911569595337,0.008491648361086845,0.33252546191215515,0.36286863684654236,-0.03783898800611496,0.339711457490921,0.3913530707359314,-0.05999736115336418,0.3445802927017212,0.4338986575603485,-0.06754505634307861,0.2833646535873413,0.4128512442111969,-0.004943923559039831,0.30117666721343994,0.39441025257110596,-0.05947604402899742,0.30655553936958313,0.4664904475212097,-0.09118033945560455,0.305555135011673,0.5227246284484863,-0.09404601156711578,0.24100114405155182,0.4097311496734619,-0.022608164697885513,0.2623133063316345,0.3826879560947418,-0.07165409624576569,0.2715383470058441,0.4527507424354553,-0.07570189982652664,0.27290472388267517,0.5079415440559387,-0.06136871501803398,0.19856348633766174,0.41012951731681824,-0.046410586684942245,0.1862269788980484,0.32035374641418457,-0.07968725264072418,0.17817345261573792,0.25792038440704346,-0.09782828390598297,0.17049692571163177,0.19742751121520996,-0.10396920144557953
Right,0.669217586517334,0.7169263362884521,-2.1419127733679488e-05,0.6412808895111084,0.6823697090148926,-0.03809976577758789,0.6174625754356384,0.63542240858078,-0.05270765349268913,0.5981070399284363,0.5999816060066223,-0.060748469084501266,0.5706310868263245,0.5875862836837769,-0.05975982919335365,0.646307110786438,0.5862829685211182,-0.044148921966552734,0.6705486178398132,0.5824689269065857,-0.06550746411085129,0.6679927706718445,0.6238848567008972,-0.05994065850973129,0.6580656170845032,0.6375085711479187,-0.047897640615701675,0.6726293563842773,0.5892954468727112,-0.03200352191925049,0.694588840007782,0.5948429703712463,-0.059826623648405075,0.682956337928772,0.6356992721557617,-0.05556817725300789,0.6715646386146545,0.6449463367462158,-0.044457871466875076,0.6954734325408936,0.5983601808547974,-0.02555619552731514,0.7151845097541809,0.5960846543312073,-0.051449015736579895,0.7025756239891052,0.6358556747436523,-0.045159757137298584,0.6893225312232971,0.6527080535888672,-0.036860812455415726,0.7148178815841675,0.6111922264099121,-0.022903447970747948,0.7337340116500854,0.5779557824134827,-0.026175793260335922,0.7489281296730042,0.5602810382843018,-0.029497649520635605,0.7640286087989807,0.5394089221954346,-0.033603571355342865
Left,0.22581198811531067,0.793299674987793,-1.1705274118867237e-05,0.257908433675766,0.773783802986145,-0.011731171980500221,0.28577059507369995,0.7369021773338318,-0.01252222154289484,0.3022863566875458,0.704640805721283,-0.01588471420109272,0.31300562620162964,0.6826601624488831,-0.01742381788790226,0.2585228383541107,0.6894056797027588,-0.008109817281365395,0.2606888711452484,0.6573634147644043,-0.03464215248823166,0.2607419788837433,0.6872444152832031,-0.041829727590084076,0.2596105635166168,0.7165409326553345,-0.03928421437740326,0.2375391572713852,0.6898171901702881,-0.008732135407626629,0.2386431246995926,0.6733790040016174,-0.03788619115948677,0.24061524868011475,0.710800051689148,-0.04509030655026436,0.24085426330566406,0.7397853136062622,-0.04065905511379242,0.21615974605083466,0.6936100125312805,-0.013699575327336788,0.21857750415802002,0.678864598274231,-0.0399336963891983,0.2234659194946289,0.7122741937637329,-0.04069264233112335,0.22520367801189423,0.7388038635253906,-0.035062018781900406,0.19596464931964874,0.6986032724380493,-0.02146194688975811,0.19215184450149536,0.6543501615524292,-0.0349213182926178,0.1905951052904129,0.6268457770347595,-0.04282759130001068,0.18934792280197144,0.6012258529663086,-0.044465404003858566
Right,0.6219199895858765,0.7151873111724854,-0.00017512969498056918,0.5336228013038635,0.6507335901260376,-0.060167890042066574,0.47602489590644836,0.562131404876709,-0.10405100882053375,0.43028712272644043,0.4923907518386841,-0.14551499485969543,0.3817678391933441,0.44577842950820923,-0.1729462593793869,0.5588874220848083,0.46683043241500854,-0.08788446336984634,0.5823855400085449,0.4185917377471924,-0.1379898488521576,0.5622379779815674,0.500241219997406,-0.12851816415786743,0.5419299006462097,0.5400574803352356,-0.10098636895418167,0.6163128018379211,0.4754268229007721,-0.0863129198551178,0.633203387260437,0.438106507062912,-0.152593195438385,0.5979529619216919,0.5245550870895386,-0.15364761650562286,0.5750059485435486,0.546975314617157,-0.13727504014968872,0.6670284271240234,0.49431654810905457,-0.09652887284755707,0.6878834962844849,0.4408736824989319,-0.142274871468544,0.6480943560600281,0.5218093395233154,-0.12910351157188416,0.6212620139122009,0.5646586418151855,-0.1083577573299408,0.7128123044967651,0.5150337815284729,-0.11483729630708694,0.7665433883666992,0.4455565810203552,-0.13541017472743988,0.8056452870368958,0.4026300311088562,-0.16107745468616486,0.8439457416534424,0.34950804710388184,-0.1868687868118286
Left,0.30038896203041077,0.6758150458335876,8.631485798105132e-06,0.3662639558315277,0.6138697266578674,-0.03562050312757492,0.40328529477119446,0.5198549628257751,-0.05119192600250244,0.43409088253974915,0.4411972761154175,-0.07539932429790497,0.4726504385471344,0.38783711194992065,-0.10362037271261215,0.30970972776412964,0.4296773672103882,-0.041965797543525696,0.3051574230194092,0.3761517405509949,-0.11464842408895493,0.322564035654068,0.45335623621940613,-0.1354740560054779,0.33295804262161255,0.5130057334899902,-0.12538109719753265,0.26478254795074463,0.4458698332309723,-0.04711216688156128,0.2709992229938507,0.4207277297973633,-0.12956559658050537,0.3014756143093109,0.5035403370857239,-0.14446444809436798,0.31816303730010986,0.558978259563446,-0.1283300220966339,0.22298911213874817,0.4718460738658905,-0.06176738068461418,0.22270303964614868,0.4418248236179352,-0.1391507238149643,0.26064881682395935,0.5093811750411987,-0.13852235674858093,0.2864328622817993,0.5639225840568542,-0.11497259140014648,0.18444085121154785,0.5020290613174438,-0.08306554704904556,0.13120967149734497,0.4372987151145935,-0.13128386437892914,0.0951792448759079,0.3974411189556122,-0.1560729593038559,0.05989976227283478,0.3585657477378845,-0.16782578825950623
