left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.6720374226570129,0.7203115224838257,-0.0001024053999572061,0.6076961755752563,0.7059245109558105,-0.035281162708997726,0.5567699670791626,0.6532686948776245,-0.06585177034139633,0.5621641278266907,0.6012901663780212,-0.09231337159872055,0.6051580309867859,0.6057931184768677,-0.11060703545808792,0.5862779021263123,0.5409136414527893,-0.02143275924026966,0.5789011716842651,0.4657542109489441,-0.05979587510228157,0.5779905915260315,0.46716564893722534,-0.10210521519184113,0.5875773429870605,0.49817049503326416,-0.12725485861301422,0.6228569746017456,0.5288583040237427,-0.027059370651841164,0.6171635389328003,0.4365687966346741,-0.06958969682455063,0.6102010011672974,0.4490366578102112,-0.1114313080906868,0.6145063042640686,0.498980849981308,-0.13705682754516602,0.6593630313873291,0.528114914894104,-0.03893105313181877,0.6581526398658752,0.43909600377082825,-0.0779464915394783,0.6481273770332336,0.4562671184539795,-0.10690392553806305,0.6479487419128418,0.5066958665847778,-0.12051519006490707,0.7006714344024658,0.537886381149292,-0.054752424359321594,0.701615035533905,0.46061232686042786,-0.08741772919893265,0.6866583824157715,0.464123398065567,-0.109447181224823,0.6756665706634521,0.5034164190292358,-0.1210818812251091
Left,0.15212073922157288,0.767186164855957,-8.572373917559162e-05,0.2114986926317215,0.7483574151992798,-0.029187418520450592,0.25600194931030273,0.6853089332580566,-0.040277641266584396,0.24403196573257446,0.6204513907432556,-0.049307651817798615,0.2021084427833557,0.6120579838752747,-0.052129242569208145,0.24115817248821259,0.5900024771690369,0.021551864221692085,0.24579234421253204,0.5201963782310486,0.006062851753085852,0.2515205144882202,0.5187280774116516,-0.025732971727848053,0.2480083853006363,0.5496540069580078,-0.0493030771613121,0.2096167504787445,0.5723040103912354,0.023498859256505966,0.214375838637352,0.49450042843818665,0.005345155484974384,0.21907255053520203,0.49119535088539124,-0.02428366243839264,0.21282091736793518,0.53191077709198,-0.04279495030641556,0.17832531034946442,0.5680304765701294,0.018377000465989113,0.18361687660217285,0.4947351813316345,-0.001350474776700139,0.1892632693052292,0.4922271966934204,-0.03569585829973221,0.18481963872909546,0.5276928544044495,-0.05772201716899872,0.1444830298423767,0.5761347413063049,0.008678882382810116,0.15170128643512726,0.5152919292449951,-0.013402844779193401,0.1614605337381363,0.5049030780792236,-0.0401274673640728,0.1615823358297348,0.5235379338264465,-0.060741472989320755
Right,0.8494952321052551,0.39694422483444214,-8.834465552354231e-05,0.7917137742042542,0.37620872259140015,-0.03678731620311737,0.7481086254119873,0.31214240193367004,-0.06137317046523094,0.771750271320343,0.2668757140636444,-0.0812581330537796,0.8162559866905212,0.2873755097389221,-0.0893464982509613,0.7781749367713928,0.22728250920772552,-0.005185690242797136,0.7711993455886841,0.16249962151050568,-0.0369662269949913,0.7756685018539429,0.1697482168674469,-0.07225161045789719,0.7848710417747498,0.2031240165233612,-0.09088598936796188,0.8141732811927795,0.21247278153896332,-0.005010069347918034,0.813656747341156,0.13851074874401093,-0.039094168692827225,0.8153746128082275,0.14523464441299438,-0.07483334094285965,0.8194726705551147,0.18766820430755615,-0.09266168624162674,0.847745954990387,0.2131332904100418,-0.013301114551723003,0.8508446216583252,0.14295907318592072,-0.047569721937179565,0.8481399416923523,0.15482476353645325,-0.07735101878643036,0.8491565585136414,0.19722887873649597,-0.08900482952594757,0.8846373558044434,0.22623443603515625,-0.02552608959376812,0.8856797218322754,0.16822372376918793,-0.057967957109212875,0.8771270513534546,0.17537209391593933,-0.08255848288536072,0.8717441558837891,0.20714744925498962,-0.09326872229576111
Right,0.6127246022224426,0.6907824277877808,-6.9248167164914776e-06,0.5864982604980469,0.6886926889419556,-0.03502294793725014,0.5617009997367859,0.682601273059845,-0.06965120881795883,0.559602677822113,0.6888395547866821,-0.10007444024085999,0.5697014331817627,0.6937312483787537,-0.12766781449317932,0.5677205324172974,0.6177331805229187,-0.06043791025876999,0.5633981227874756,0.5916160941123962,-0.09910249710083008,0.562416672706604,0.604243278503418,-0.1265394240617752,0.5639132261276245,0.6231071949005127,-0.14023184776306152,0.5890229344367981,0.6125265955924988,-0.06093050539493561,0.5860176682472229,0.5773715972900391,-0.09955890476703644,0.5836228728294373,0.6009024977684021,-0.12029174715280533,0.5819984674453735,0.6236510276794434,-0.13234522938728333,0.6110155582427979,0.6166719794273376,-0.06515410542488098,0.6116634607315063,0.5844255089759827,-0.09883063286542892,0.6059192419052124,0.6108327507972717,-0.1149255558848381,0.602039098739624,0.6338984966278076,-0.1220235675573349,0.6324065923690796,0.6274345517158508,-0.07036531716585159,0.6347284317016602,0.6070767641067505,-0.10026898980140686,0.6278761029243469,0.6257107853889465,-0.11239276081323624,0.6208637356758118,0.6437193751335144,-0.11862046271562576
Left,0.3446383774280548,0.8022531270980835,-2.4050410502240993e-05,0.3728516697883606,0.7922277450561523,-0.004679275210946798,0.3930181860923767,0.7679890394210815,-0.008478811010718346,0.3919280469417572,0.7415892481803894,-0.01192675530910492,0.3745058476924896,0.7397036552429199,-0.011615919880568981,0.38112762570381165,0.724193274974823,0.010007179342210293,0.3855718672275543,0.6869939565658569,0.0027290512807667255,0.3909348249435425,0.7006285190582275,-0.00581782590597868,0.388322651386261,0.7196885943412781,-0.008850428275763988,0.3697880208492279,0.7175712585449219,0.007365296594798565,0.37415558099746704,0.6770274639129639,-0.00332248886115849,0.3796265423297882,0.6933280825614929,-0.012967804446816444,0.37622445821762085,0.7146530747413635,-0.01635461300611496,0.35717231035232544,0.7146212458610535,0.003065026132389903,0.3608120381832123,0.6757389307022095,-0.004295949824154377,0.36603689193725586,0.6891306042671204,-0.01108539942651987,0.3625493049621582,0.7095125317573547,-0.013168561272323132,0.3427330553531647,0.7150211334228516,-0.0018274831818416715,0.34735387563705444,0.6820926666259766,-0.007248245179653168,0.353848397731781,0.6869977116584778,-0.013089644722640514,0.3528081476688385,0.7028007507324219,-0.01705044135451317
Right,0.7100564241409302,0.7755236625671387,-4.4799759052693844e-05,0.642017662525177,0.7705122232437134,-0.043466005474328995,0.5860227346420288,0.7117363810539246,-0.08341047167778015,0.5912940502166748,0.6590396165847778,-0.12097509950399399,0.6389726400375366,0.6597881317138672,-0.1516323983669281,0.6173182129859924,0.5852096676826477,-0.034149330109357834,0.6105200052261353,0.49654677510261536,-0.08491011708974838,0.5993231534957886,0.5132193565368652,-0.1312696933746338,0.6026617288589478,0.556561291217804,-0.15378770232200623,0.6552407741546631,0.5751643776893616,-0.0395192913711071,0.65157550573349,0.4681010842323303,-0.09864013642072678,0.6359491944313049,0.48701825737953186,-0.14132794737815857,0.635779857635498,0.5370379090309143,-0.16169747710227966,0.694037139415741,0.5774499177932739,-0.05144975334405899,0.6968789100646973,0.4750891327857971,-0.10453193634748459,0.6810433268547058,0.5001128315925598,-0.13517670333385468,0.6789762377738953,0.5530766844749451,-0.1461649090051651,0.7384259700775146,0.5905832648277283,-0.0670030266046524,0.7423973083496094,0.5077189207077026,-0.11062490195035934,0.7227622866630554,0.5198619961738586,-0.13346445560455322,0.7107104659080505,0.5614996552467346,-0.14431849122047424
Left,0.14044958353042603,0.8686597347259521,-6.1249706959642936e-06,0.24890916049480438,0.8746234774589539,-0.0752381682395935,0.3494851291179657,0.7664662599563599,-0.11748939007520676,0.3378376364707947,0.6436776518821716,-0.15072579681873322,0.25960204005241394,0.6033230423927307,-0.16640940308570862,0.30680111050605774,0.5634023547172546,0.010784830898046494,0.3171709477901459,0.42356717586517334,-0.03672182187438011,0.3440791070461273,0.4138011634349823,-0.1043526902794838,0.34872519969940186,0.466355562210083,-0.147671639919281,0.24345220625400543,0.529179573059082,0.015626415610313416,0.2520291209220886,0.37338531017303467,-0.03491330146789551,0.28119394183158875,0.3854280114173889,-0.09577999264001846,0.28361278772354126,0.4690098166465759,-0.13044902682304382,0.18029733002185822,0.5183762907981873,0.004528636112809181,0.1910112202167511,0.3732541501522064,-0.04176831617951393,0.21977068483829498,0.38236624002456665,-0.10360930860042572,0.22582001984119415,0.450957715511322,-0.1419595628976822,0.11121965944766998,0.5286688804626465,-0.016839979216456413,0.13074037432670593,0.4111972749233246,-0.06534269452095032,0.15939855575561523,0.3987950086593628,-0.11383175849914551,0.17402216792106628,0.4347703456878662,-0.1519233137369156
Right,0.800075888633728,0.8155987858772278,-7.7322492870735e-06,0.6760486960411072,0.7696041464805603,-0.0688491016626358,0.5842458009719849,0.617285430431366,-0.11608005315065384,0.6211755275726318,0.49937981367111206,-0.16536276042461395,0.7076824307441711,0.5095882415771484,-0.19846171140670776,0.6616275906562805,0.41167786717414856,0.008459769189357758,0.6470264792442322,0.2548118829727173,-0.09014403074979782,0.6177945137023926,0.335987389087677,-0.17320245504379272,0.6212673187255859,0.4263107478618622,-0.20462475717067719,0.735630989074707,0.4003622531890869,-0.010005651041865349,0.727897047996521,0.21373134851455688,-0.12052395194768906,0.6881945133209229,0.3061750829219818,-0.20789898931980133,0.6892600059509277,0.41507580876350403,-0.24827060103416443,0.8104822039604187,0.4092967212200165,-0.044340580701828,0.8190844058990479,0.22375161945819855,-0.14060549437999725,0.7723063826560974,0.3122525215148926,-0.18993955850601196,0.7637724280357361,0.4218786656856537,-0.2015780359506607,0.8964792490005493,0.43791377544403076,-0.08708583563566208,0.9030840992927551,0.2798751890659332,-0.1565244495868683,0.853865385055542,0.31996554136276245,-0.18642334640026093,0.8286930918693542,0.40783894062042236,-0.1908043473958969
Right,0.8152257204055786,0.8682186007499695,-0.00011259732127655298,0.7092293500900269,0.8586037755012512,-0.10780272632837296,0.6290698051452637,0.7782678604125977,-0.19334110617637634,0.6407239437103271,0.6977039575576782,-0.26314061880111694,0.7059229612350464,0.6595929861068726,-0.31675732135772705,0.6677948236465454,0.5425364971160889,-0.07398224622011185,0.6710173487663269,0.40097349882125854,-0.15550017356872559,0.6738362312316895,0.40581750869750977,-0.24085792899131775,0.681644856929779,0.4683462083339691,-0.2980610430240631,0.7394928932189941,0.5176132917404175,-0.06846839934587479,0.7452496886253357,0.351495623588562,-0.16449783742427826,0.7440553307533264,0.3821644186973572,-0.24552658200263977,0.7436375021934509,0.46062013506889343,-0.29395532608032227,0.806023895740509,0.5227727890014648,-0.07567670941352844,0.8159240484237671,0.3662058711051941,-0.1585686206817627,0.8089829087257385,0.40114790201187134,-0.22449351847171783,0.8065610527992249,0.47851455211639404,-0.25429409742355347,0.8774324655532837,0.5523357391357422,-0.09339036792516708,0.8861368894577026,0.42926809191703796,-0.1685771644115448,0.869758129119873,0.44633951783180237,-0.21551303565502167,0.8547607064247131,0.5061407685279846,-0.23532487452030182
Right,0.8168743848800659,0.7810455560684204,-0.00013046163076069206,0.734571099281311,0.7521522045135498,-0.06337160617113113,0.6704826354980469,0.6480690836906433,-0.09835182130336761,0.7233104109764099,0.579629123210907,-0.11757770925760269,0.7954599857330322,0.599244236946106,-0.11141009628772736,0.7078002095222473,0.5031449198722839,-0.03144558519124985,0.7020339965820312,0.3862699270248413,-0.08754613995552063,0.6997074484825134,0.40932905673980713,-0.13268069922924042,0.7056937217712402,0.4737343192100525,-0.15405336022377014,0.7669040560722351,0.486052006483078,-0.031513795256614685,0.7702807188034058,0.3513033986091614,-0.09548525512218475,0.7643318176269531,0.37761104106903076,-0.148889422416687,0.7625183463096619,0.4491470754146576,-0.17241157591342926,0.8196535110473633,0.49326246976852417,-0.04077501595020294,0.8311787843704224,0.3696519136428833,-0.10033414512872696,0.8209301233291626,0.3980206549167633,-0.14266690611839294,0.8161925673484802,0.4629608690738678,-0.1521834433078766,0.8741031289100647,0.5205938816070557,-0.0587640255689621,0.8800829648971558,0.4233241081237793,-0.10964266955852509,0.8648772835731506,0.43111366033554077,-0.13848157227039337,0.8536401987075806,0.4759592115879059,-0.14431090652942657
