left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.8611246943473816,0.8392571210861206,-5.827296990901232e-05,0.781200647354126,0.7937531471252441,-0.015615232288837433,0.725767970085144,0.7099370360374451,-0.025073442608118057,0.7161304950714111,0.6291424632072449,-0.03571270406246185,0.7306963801383972,0.5743138194084167,-0.04505505785346031,0.7474732398986816,0.6417148113250732,0.0067751361057162285,0.728602409362793,0.5427098274230957,-0.030084868893027306,0.7242668867111206,0.4827370047569275,-0.06318920105695724,0.726718544960022,0.4304773807525635,-0.0828169584274292,0.7957483530044556,0.6415557265281677,-0.006966704502701759,0.7848585844039917,0.5712276101112366,-0.06985170394182205,0.7847033143043518,0.6523841023445129,-0.09105120599269867,0.7861064076423645,0.6933647990226746,-0.0831003412604332,0.8420770168304443,0.6512861847877502,-0.02692677453160286,0.8318032026290894,0.5906477570533752,-0.09269171208143234,0.8233850002288818,0.6737852096557617,-0.10052656382322311,0.8225067257881165,0.7111015319824219,-0.08556121587753296,0.8918626308441162,0.6671390533447266,-0.04994746297597885,0.8809832334518433,0.6144256591796875,-0.08937672525644302,0.8656879663467407,0.6758013963699341,-0.09005476534366608,0.8607637882232666,0.7075926661491394,-0.07733305543661118
Left,0.22203609347343445,0.8121432065963745,-0.00010367251525167376,0.28079745173454285,0.7906623482704163,-0.024688560515642166,0.32682180404663086,0.716353178024292,-0.04425377398729324,0.34127479791641235,0.6465932130813599,-0.0655311793088913,0.34069767594337463,0.5919909477233887,-0.084663026034832,0.29738596081733704,0.6321545243263245,-0.02110586315393448,0.311112642288208,0.5495884418487549,-0.06080716475844383,0.32061609625816345,0.4942263066768646,-0.09647613763809204,0.32805708050727844,0.44467979669570923,-0.12305155396461487,0.2571227252483368,0.6284090876579285,-0.03297414630651474,0.27852314710617065,0.5920863747596741,-0.09712274372577667,0.2794721722602844,0.666164219379425,-0.11198166757822037,0.2710648477077484,0.704411506652832,-0.10637479275465012,0.21662592887878418,0.6387187242507935,-0.050117090344429016,0.24121756851673126,0.61594158411026,-0.1060115247964859,0.24570320546627045,0.6881409287452698,-0.10230651497840881,0.23699556291103363,0.7202679514884949,-0.092095285654068,0.17666740715503693,0.6567878127098083,-0.0707649514079094,0.20396743714809418,0.6344401836395264,-0.1062055453658104,0.21480818092823029,0.6886903047561646,-0.10122988373041153,0.20841103792190552,0.7165387868881226,-0.09338203817605972
Left,0.19762660562992096,0.7779999375343323,-0.00010562562238192186,0.25441259145736694,0.7492814660072327,-0.02872549183666706,0.2977793514728546,0.6952062249183655,-0.042078740894794464,0.31681832671165466,0.6311144232749939,-0.057420626282691956,0.312482625246048,0.5820857286453247,-0.06660981476306915,0.2827509045600891,0.6242741942405701,-0.0019270317861810327,0.29465728998184204,0.5485692620277405,-0.03516867384314537,0.2991045117378235,0.503576397895813,-0.059020593762397766,0.2993958592414856,0.46016642451286316,-0.07400331646203995,0.24830453097820282,0.6232200860977173,-0.004957457538694143,0.24387739598751068,0.5726853609085083,-0.055030304938554764,0.24314402043819427,0.6389168500900269,-0.06669294089078903,0.24662640690803528,0.6699836850166321,-0.06149635091423988,0.21415366232395172,0.6320140361785889,-0.013688169419765472,0.208380326628685,0.588422954082489,-0.05894295871257782,0.21347525715827942,0.6521155834197998,-0.05978632718324661,0.21728476881980896,0.679745614528656,-0.05008549243211746,0.18111416697502136,0.6480711102485657,-0.02489607036113739,0.18068063259124756,0.6042395830154419,-0.05206012725830078,0.1876240372657776,0.6501404643058777,-0.054780736565589905,0.19106245040893555,0.6771625280380249,-0.04936600849032402
Right,0.6706379652023315,0.9088806509971619,-2.162861892429646e-05,0.621834397315979,0.8871700763702393,-0.013687435537576675,0.5911745429039001,0.8348570466041565,-0.025756340473890305,0.5897116661071777,0.7849360108375549,-0.0370141826570034,0.5975254774093628,0.7504329085350037,-0.0461941733956337,0.6034421920776367,0.7803046703338623,-0.021817121654748917,0.5961287021636963,0.7173365354537964,-0.05487058311700821,0.5948361754417419,0.6827443242073059,-0.07761427760124207,0.5972415804862976,0.6507705450057983,-0.0902320146560669,0.6325714588165283,0.7821844220161438,-0.03148052096366882,0.6260605454444885,0.7508307695388794,-0.0760527104139328,0.6246154308319092,0.8036090731620789,-0.08402348309755325,0.6269950866699219,0.8237662315368652,-0.07641337066888809,0.6601137518882751,0.7921849489212036,-0.04557383432984352,0.6543129682540894,0.7656757831573486,-0.08731265366077423,0.6494587063789368,0.8166596293449402,-0.08572167903184891,0.6512975096702576,0.8347477316856384,-0.0752193033695221,0.6886110901832581,0.8068269491195679,-0.06299509108066559,0.6822404861450195,0.782619833946228,-0.0871937945485115,0.6744320392608643,0.8202254772186279,-0.0863812193274498,0.6734411716461182,0.8356442451477051,-0.07940247654914856
Right,0.894150972366333,0.88142991065979,-8.176564006134868e-05,0.7833122611045837,0.8474640846252441,-0.035017430782318115,0.7054959535598755,0.749409556388855,-0.056205328553915024,0.6707431674003601,0.6487825512886047,-0.0758274495601654,0.6559306979179382,0.5582958459854126,-0.0886644572019577,0.7440680265426636,0.6042101979255676,-0.0005978278932161629,0.7166591286659241,0.4627484083175659,-0.054182372987270355,0.7081337571144104,0.3762233853340149,-0.09736497700214386,0.7064302563667297,0.2935284972190857,-0.12466850876808167,0.809559166431427,0.6047240495681763,-0.016023855656385422,0.7980691194534302,0.5053333640098572,-0.11754924058914185,0.795380175113678,0.6309356689453125,-0.1479310840368271,0.7937031388282776,0.6946449279785156,-0.1303875595331192,0.8713864088058472,0.6197189688682556,-0.04104168340563774,0.8592779636383057,0.5430053472518921,-0.14261581003665924,0.8436025381088257,0.6648008227348328,-0.15933863818645477,0.8361864686012268,0.7153972387313843,-0.1366795152425766,0.934378981590271,0.6474828720092773,-0.06870141625404358,0.9183688759803772,0.5862085819244385,-0.13938842713832855,0.8947728276252747,0.6725687980651855,-0.15082122385501862,0.8838222622871399,0.7133305072784424,-0.13433659076690674
Left,0.2288394272327423,0.8479392528533936,-8.432792674284428e-05,0.33579277992248535,0.8010008335113525,-0.025699766352772713,0.4150303602218628,0.668716311454773,-0.039651352912187576,0.4350088834762573,0.5404396057128906,-0.06808619946241379,0.4280819892883301,0.4326534569263458,-0.09148363769054413,0.3565223813056946,0.5059552788734436,0.10101761668920517,0.37103110551834106,0.3662834167480469,0.10515207052230835,0.3900933265686035,0.26787152886390686,0.08972561359405518,0.40413740277290344,0.18093577027320862,0.0669022798538208,0.29767319560050964,0.4924863278865814,0.07219990342855453,0.31507834792137146,0.3340034484863281,-0.0013896491145715117,0.34397000074386597,0.4113520383834839,-0.06427168846130371,0.3504950702190399,0.5177869200706482,-0.07934809476137161,0.23352107405662537,0.4911597967147827,0.03489390388131142,0.24897009134292603,0.3312304615974426,-0.04763499274849892,0.2807481586933136,0.4023321270942688,-0.11067753285169601,0.2879287898540497,0.5048908591270447,-0.12421309947967529,0.16053208708763123,0.5013612508773804,-0.010151178576052189,0.16701650619506836,0.3670438528060913,-0.07568471878767014,0.19758981466293335,0.38907983899116516,-0.11347847431898117,0.20980435609817505,0.4660113751888275,-0.1263570338487625
Right,0.8986552357673645,0.8726338148117065,-0.0001058198104146868,0.7421927452087402,0.912584662437439,-0.13921114802360535,0.6264004707336426,0.8188565969467163,-0.209133118391037,0.5752790570259094,0.6961138844490051,-0.26714658737182617,0.537350594997406,0.5724255442619324,-0.31227120757102966,0.6540780663490295,0.539673924446106,-0.06156942620873451,0.6291564702987671,0.36534279584884644,-0.15322177112102509,0.6245812773704529,0.2504670321941376,-0.25268399715423584,0.6249198913574219,0.1507990062236786,-0.3204353451728821,0.7456043362617493,0.509245753288269,-0.04656160622835159,0.7396340370178223,0.315060019493103,-0.17518512904644012,0.7453429698944092,0.42836958169937134,-0.26672133803367615,0.7443913221359253,0.5198326706886292,-0.30088648200035095,0.8351277112960815,0.5112311840057373,-0.050982266664505005,0.8395779132843018,0.34897613525390625,-0.179823100566864,0.8345615863800049,0.46858149766921997,-0.2582553029060364,0.8263890743255615,0.5594220161437988,-0.2743048369884491,0.9280511140823364,0.5317158102989197,-0.06649942696094513,0.9371614456176758,0.406782865524292,-0.18562301993370056,0.9257935285568237,0.4862439036369324,-0.2429947704076767,0.9141795635223389,0.5584702491760254,-0.26021355390548706
Right,0.6767429709434509,0.8940392136573792,-3.488668517093174e-05,0.6441330909729004,0.8844846487045288,-0.014469597488641739,0.6227543950080872,0.8507630228996277,-0.023210616782307625,0.6172530055046082,0.8166957497596741,-0.03219553083181381,0.6151689291000366,0.7941133379936218,-0.03887991979718208,0.637772262096405,0.798134446144104,0.008440970443189144,0.6343937516212463,0.7610602974891663,0.0010578013025224209,0.6328290104866028,0.7376573085784912,-0.010000983253121376,0.6317920088768005,0.718845546245575,-0.018829641863703728,0.6558939218521118,0.7935206890106201,0.006830865517258644,0.6579139828681946,0.7496209144592285,-0.01077987253665924,0.6553944945335388,0.7656882405281067,-0.030028333887457848,0.6552350521087646,0.7876759767532349,-0.037996817380189896,0.6730513572692871,0.7955580353736877,0.0021506003104150295,0.6758028268814087,0.755725622177124,-0.016671638935804367,0.6711887717247009,0.7774756550788879,-0.03470515087246895,0.6697283983230591,0.8032885789871216,-0.04151434451341629,0.6918832063674927,0.8037151098251343,-0.002798013389110565,0.6933988928794861,0.7728217244148254,-0.022463994100689888,0.6882041692733765,0.785735011100769,-0.03664431720972061,0.68544602394104,0.8072845339775085,-0.0437982939183712
Left,0.35426366329193115,0.8521876335144043,-4.449095285963267e-05,0.3835161328315735,0.8429921269416809,-0.018958112224936485,0.40708693861961365,0.815127968788147,-0.02536221221089363,0.4172174632549286,0.783313512802124,-0.03203609585762024,0.425275981426239,0.7581470012664795,-0.036334507167339325,0.4004735052585602,0.7669969797134399,0.003771176328882575,0.4051981568336487,0.7292353510856628,-0.004043790977448225,0.4069136381149292,0.7037532329559326,-0.015447325073182583,0.40612757205963135,0.6805741786956787,-0.02564634010195732,0.3835042417049408,0.7620988488197327,0.003696997417137027,0.3861103355884552,0.7195475101470947,-0.020535362884402275,0.3823549151420593,0.7289594411849976,-0.04303775355219841,0.37668418884277344,0.7463276982307434,-0.05384785681962967,0.3671301603317261,0.7618319392204285,0.0008763134828768671,0.36846083402633667,0.7258902788162231,-0.023075295612215996,0.36609336733818054,0.7400275468826294,-0.04314129054546356,0.36272573471069336,0.7597820162773132,-0.04926019906997681,0.3496931493282318,0.765484094619751,-0.0038046250119805336,0.35071861743927,0.7370906472206116,-0.023660708218812943,0.35250064730644226,0.7416024804115295,-0.03899581730365753,0.35146400332450867,0.7556290626525879,-0.04655560106039047
Right,0.7840907573699951,0.7616581320762634,-1.611769948794972e-05,0.7116959691047668,0.7414265871047974,-0.07974958419799805,0.6577476859092712,0.6842738389968872,-0.1291828602552414,0.6352870464324951,0.6185623407363892,-0.17114946246147156,0.6270593404769897,0.5610232949256897,-0.21028514206409454,0.6829693913459778,0.566970944404602,-0.09168734401464462,0.6767154932022095,0.4870437681674957,-0.15768802165985107,0.6785670518875122,0.4351767301559448,-0.21087664365768433,0.6801782846450806,0.3798474669456482,-0.24637410044670105,0.7353513240814209,0.5579113364219666,-0.08308041095733643,0.7495832443237305,0.4971928894519806,-0.17091746628284454,0.7520361542701721,0.561329185962677,-0.20349712669849396,0.743182897567749,0.5799496173858643,-0.20640985667705536,0.7845564484596252,0.5641555786132812,-0.08353709429502487,0.8007022142410278,0.5133686065673828,-0.16441458463668823,0.795070230960846,0.5706477761268616,-0.18559306859970093,0.7849348187446594,0.5857729911804199,-0.18422456085681915,0.8296568393707275,0.5788877010345459,-0.09044205397367477,0.8439458608627319,0.5381247401237488,-0.1480443924665451,0.834335446357727,0.5791720747947693,-0.16605521738529205,0.8224636316299438,0.5955857038497925,-0.1676962971687317
