left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.5205824375152588,0.951260507106781,-5.1595990953501314e-05,0.5562532544136047,0.8684619069099426,0.0551445335149765,0.572960615158081,0.7903395891189575,0.042974527925252914,0.5758529901504517,0.7254046201705933,0.02168136090040207,0.5689800381660461,0.674843430519104,0.0015441096620634198,0.5945261716842651,0.7696736454963684,-0.04069237783551216,0.5835140943527222,0.665444016456604,-0.049066878855228424,0.5700250267982483,0.6093940138816833,-0.04311070963740349,0.5601286292076111,0.5653951168060303,-0.039628248661756516,0.5625807046890259,0.7851781249046326,-0.07345219701528549,0.520501434803009,0.6709233522415161,-0.07376264780759811,0.49390968680381775,0.6172214150428772,-0.05117098242044449,0.4763453006744385,0.5780262351036072,-0.043231088668107986,0.5239791870117188,0.8034079670906067,-0.09904317557811737,0.4803822636604309,0.7267019152641296,-0.06570371240377426,0.4791288673877716,0.7654613256454468,-0.01852388121187687,0.48938417434692383,0.7912163734436035,-0.0033795558847486973,0.48418235778808594,0.8202555179595947,-0.12249195575714111,0.45294904708862305,0.7580010294914246,-0.08085571974515915,0.45682328939437866,0.7900676727294922,-0.048007670789957047,0.46692487597465515,0.8147619962692261,-0.03927142918109894
Right,0.5114576816558838,0.7685748934745789,-4.1120583773590624e-05,0.536022424697876,0.6771621108055115,0.0693240761756897,0.5402871966362,0.5909199118614197,0.0683019682765007,0.5296915769577026,0.5257483720779419,0.0517193041741848,0.512653112411499,0.4760001301765442,0.03482690826058388,0.5786365866661072,0.5534793138504028,-0.011369460262358189,0.5677088499069214,0.4409441351890564,-0.010156883858144283,0.5558438897132874,0.3814921975135803,-0.0015320107340812683,0.5469073057174683,0.3320270776748657,0.00020037971262354404,0.5526236891746521,0.567729651927948,-0.04919300228357315,0.5044953227043152,0.4530746042728424,-0.04143201932311058,0.47270938754081726,0.39925122261047363,-0.021774062886834145,0.45054394006729126,0.3588179647922516,-0.017796801403164864,0.516707181930542,0.5873384475708008,-0.07934368401765823,0.46113520860671997,0.51240074634552,-0.04086717590689659,0.4551469683647156,0.5533172488212585,-0.007147708907723427,0.4627182185649872,0.5819103717803955,0.0011476421495899558,0.47678637504577637,0.6079223155975342,-0.10828106105327606,0.4382222294807434,0.5517002940177917,-0.06542210280895233,0.4377519190311432,0.5857183933258057,-0.04133569076657295,0.4460093677043915,0.6126778721809387,-0.039673108607530594
Right,0.5077813863754272,0.5657245516777039,-4.00150274799671e-05,0.5519887804985046,0.49711933732032776,0.06159096583724022,0.5672496557235718,0.4172234833240509,0.06660659611225128,0.5574949979782104,0.35119742155075073,0.06192680448293686,0.5428895354270935,0.3042207956314087,0.05564812943339348,0.5777883529663086,0.36502158641815186,-0.012433690950274467,0.5702790021896362,0.2575955390930176,7.428064418490976e-05,0.5560107231140137,0.1996416449546814,0.017096659168601036,0.5445497035980225,0.1554042398929596,0.027418013662099838,0.538702130317688,0.3684347867965698,-0.03717143461108208,0.5005195736885071,0.2663007974624634,-0.011859029531478882,0.47496792674064636,0.21915043890476227,0.013885045424103737,0.45554178953170776,0.18840470910072327,0.02231072634458542,0.49743908643722534,0.3837883770465851,-0.051871880888938904,0.46087515354156494,0.3298052251338959,0.0034499350003898144,0.4633755385875702,0.36406731605529785,0.027509190142154694,0.47140198945999146,0.3914119601249695,0.023525306954979897,0.4567151665687561,0.4042537808418274,-0.06637700647115707,0.4345603883266449,0.3712146580219269,-0.007839538156986237,0.4400826692581177,0.4041040539741516,0.009366022422909737,0.4475398659706116,0.42954114079475403,0.004340140148997307
Left,0.2662748098373413,0.8204699754714966,-0.00011485555296530947,0.2310311645269394,0.7568660974502563,0.04995078220963478,0.2230558842420578,0.6728410720825195,0.04382326826453209,0.23812517523765564,0.6013224720954895,0.02583891525864601,0.253519743680954,0.5456638336181641,0.005587749183177948,0.19140365719795227,0.6209644079208374,-0.007430767174810171,0.22021637856960297,0.517319917678833,-0.005956126376986504,0.24030901491641998,0.4601157307624817,0.009683208540081978,0.2523345649242401,0.41303253173828125,0.02139810472726822,0.22076472640037537,0.6386091113090515,-0.03673108294606209,0.27622681856155396,0.5358131527900696,-0.023313531652092934,0.31137099862098694,0.4850476384162903,-0.0030983698088675737,0.3339442014694214,0.4433271884918213,0.006789898034185171,0.25514310598373413,0.6611769199371338,-0.06016768515110016,0.3141375780105591,0.6055647134780884,-0.025347929447889328,0.3137228488922119,0.646896243095398,0.017571618780493736,0.30034008622169495,0.6733140349388123,0.03431816026568413,0.2928226590156555,0.6842976808547974,-0.08416972309350967,0.3352195620536804,0.6361461281776428,-0.03931763395667076,0.3317258358001709,0.667792558670044,-0.010686567053198814,0.31954583525657654,0.6939396858215332,0.0037551620043814182
Left,0.18155477941036224,0.6636171340942383,-0.00014869189180899411,0.14532871544361115,0.5904127955436707,0.05710187926888466,0.14067238569259644,0.5034450888633728,0.05442798137664795,0.16038338840007782,0.4305294156074524,0.03823920339345932,0.1809859573841095,0.3785378932952881,0.015336751937866211,0.11478359997272491,0.4521961510181427,-0.00824397336691618,0.14272773265838623,0.34819626808166504,0.008148266933858395,0.1639600247144699,0.290441632270813,0.02885572426021099,0.1789245754480362,0.24358662962913513,0.03819628059864044,0.15291674435138702,0.46598678827285767,-0.03544656187295914,0.21365220844745636,0.3676382899284363,-0.0001848508109105751,0.2526834011077881,0.3182283937931061,0.026181520894169807,0.2804678678512573,0.2813640236854553,0.03881879523396492,0.1934933364391327,0.4875168800354004,-0.05304085090756416,0.25241348147392273,0.4427821636199951,0.00566761614754796,0.2468789517879486,0.48555395007133484,0.04260114207863808,0.2309025675058365,0.5125555396080017,0.0509580597281456,0.23279164731502533,0.5123770236968994,-0.07042402029037476,0.2714661955833435,0.4840177893638611,-0.014547601342201233,0.2634900212287903,0.5193552374839783,0.008479991927742958,0.24914060533046722,0.5431956052780151,0.013497636653482914
Right,0.6623220443725586,0.9609938859939575,-2.7260699425823987e-05,0.6883646249771118,0.8961788415908813,0.03936280682682991,0.696387529373169,0.8326879739761353,0.022163400426506996,0.6892812848091125,0.7805740237236023,-0.005395794287323952,0.679341733455658,0.7382842302322388,-0.03245248645544052,0.7272912859916687,0.8195443153381348,-0.0387171134352684,0.7198700904846191,0.7361748218536377,-0.05858362838625908,0.7082028388977051,0.6908947229385376,-0.06118936464190483,0.6988703608512878,0.6549297571182251,-0.05996107682585716,0.7118022441864014,0.8401527404785156,-0.06838444620370865,0.6708268523216248,0.7480050921440125,-0.08632015436887741,0.6412556767463684,0.7091814279556274,-0.08059675991535187,0.622337281703949,0.6845336556434631,-0.08093667030334473,0.6858238577842712,0.8588500618934631,-0.09265170991420746,0.6388377547264099,0.7938257455825806,-0.08065690100193024,0.6332048177719116,0.8230345249176025,-0.04293442890048027,0.6408264636993408,0.8436399698257446,-0.025520598515868187,0.656058669090271,0.8752722144126892,-0.11581578105688095,0.6191691160202026,0.8220729231834412,-0.08847127854824066,0.6193574070930481,0.8416393399238586,-0.06159817427396774,0.6293326616287231,0.8583619594573975,-0.0488513819873333
Left,0.2997942268848419,0.9090160727500916,-9.464234608458355e-05,0.27494916319847107,0.8610221147537231,0.027169644832611084,0.27373653650283813,0.8144068717956543,0.028185712173581123,0.28726813197135925,0.7811324596405029,0.027904417365789413,0.30167272686958313,0.7618995308876038,0.02689497545361519,0.2794792056083679,0.790273129940033,-0.03775579854846001,0.28255534172058105,0.7151968479156494,-0.0463910810649395,0.285123348236084,0.6767699122428894,-0.048015862703323364,0.28767791390419006,0.6467042565345764,-0.05018361657857895,0.31014323234558105,0.7968727946281433,-0.041710175573825836,0.3257806897163391,0.7239750623703003,-0.042626213282346725,0.3398989140987396,0.6824262738227844,-0.037497855722904205,0.35157763957977295,0.6555888652801514,-0.038842104375362396,0.3361188471317291,0.8088635802268982,-0.038502756506204605,0.33935546875,0.7603238821029663,-0.004083587322384119,0.3309843838214874,0.7724207043647766,0.020486120134592056,0.3251512348651886,0.7896001935005188,0.025507323443889618,0.35800644755363464,0.8209028840065002,-0.03482630103826523,0.3533216416835785,0.7798781394958496,0.0014985444722697139,0.34399592876434326,0.7869639992713928,0.022099927067756653,0.33975428342819214,0.8005918860435486,0.028786474838852882
Right,0.5403101444244385,0.8987910151481628,-4.557473221211694e-05,0.5554924011230469,0.8647429347038269,0.018658766523003578,0.5599038600921631,0.828269898891449,0.01023936178535223,0.5525625348091125,0.7972796559333801,-0.00017519151151645929,0.5434455871582031,0.7735709547996521,-0.009929154068231583,0.5690179467201233,0.8185586333274841,-0.03451084345579147,0.5700528621673584,0.7665759921073914,-0.04105997458100319,0.5684385299682617,0.7380703091621399,-0.041213806718587875,0.5676689743995667,0.7145255208015442,-0.042199861258268356,0.5507107973098755,0.824735164642334,-0.044800806790590286,0.5311561822891235,0.7680699229240417,-0.0461096316576004,0.5195441842079163,0.7410577535629272,-0.03560569882392883,0.5115690231323242,0.7234368920326233,-0.0310239065438509,0.5320386290550232,0.8334903717041016,-0.050905391573905945,0.5170919895172119,0.7941586971282959,-0.03380383178591728,0.5197601914405823,0.8094032406806946,-0.011576136574149132,0.5245040655136108,0.8247237205505371,-0.0039959680289030075,0.5139841437339783,0.8430456519126892,-0.05725100263953209,0.5072979927062988,0.814461886882782,-0.03889565169811249,0.5104156732559204,0.8266110420227051,-0.02394905500113964,0.5137457251548767,0.8396895527839661,-0.019059784710407257
Right,0.709969162940979,0.6896132826805115,-1.1339747288729995e-05,0.7301508188247681,0.6453921794891357,0.02771509811282158,0.738102376461029,0.5958972573280334,0.018872160464525223,0.7363534569740295,0.552765965461731,0.0025596516206860542,0.7284106612205505,0.5180810689926147,-0.014047941192984581,0.7583680152893066,0.5790896415710449,-0.015162759460508823,0.7539094686508179,0.514498233795166,-0.019981637597084045,0.7496452927589417,0.4804711937904358,-0.018378971144557,0.7464358806610107,0.45289599895477295,-0.01950867846608162,0.7436080574989319,0.5855674743652344,-0.033948350697755814,0.7094894051551819,0.5213092565536499,-0.03203003853559494,0.690426230430603,0.49367523193359375,-0.02607971616089344,0.6790851950645447,0.4723430871963501,-0.028417842462658882,0.7243425250053406,0.5935894250869751,-0.04933730140328407,0.6925132274627686,0.5569111108779907,-0.02673979289829731,0.6906321048736572,0.582175076007843,-0.006607627961784601,0.6964238286018372,0.5986666083335876,-0.0031814584508538246,0.7049238681793213,0.6024613976478577,-0.06554216891527176,0.6840898990631104,0.5768871307373047,-0.04033961892127991,0.6844363212585449,0.5963706970214844,-0.02743741311132908,0.6904093027114868,0.609917163848877,-0.027361150830984116
Left,0.3285939395427704,0.8150476813316345,-6.059540464775637e-05,0.31529098749160767,0.7660543322563171,0.01939612813293934,0.31566914916038513,0.723166823387146,0.012366187758743763,0.32467272877693176,0.688062310218811,0.0018136674771085382,0.3326309025287628,0.6635013818740845,-0.00947464071214199,0.3067665994167328,0.7128507494926453,-0.027610311284661293,0.31494566798210144,0.6545875072479248,-0.03684506565332413,0.31992772221565247,0.6212457418441772,-0.039893679320812225,0.3229100704193115,0.59329754114151,-0.04258901625871658,0.32456067204475403,0.7234635949134827,-0.036934852600097656,0.3442460596561432,0.665867805480957,-0.03917096182703972,0.3585963845252991,0.6322095394134521,-0.03687818720936775,0.36925262212753296,0.6076675653457642,-0.03714499995112419,0.3432547450065613,0.7363436222076416,-0.04199453443288803,0.3624325692653656,0.699079155921936,-0.020697250962257385,0.3569672405719757,0.7166996002197266,0.002578115090727806,0.34972044825553894,0.7321031093597412,0.011083142831921577,0.3618693947792053,0.7492718696594238,-0.04783718287944794,0.37305665016174316,0.7161099314689636,-0.025464296340942383,0.3684103786945343,0.7295914888381958,-0.010383285582065582,0.3629782497882843,0.7449081540107727,-0.004041526932269335
