left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7275860905647278,0.7777140736579895,-0.00010334212856832892,0.6677843332290649,0.7690966129302979,-0.02634258382022381,0.6108908653259277,0.7224228978157043,-0.034941963851451874,0.5669870972633362,0.6942527294158936,-0.04235725477337837,0.526220440864563,0.6903541684150696,-0.05198954790830612,0.643428385257721,0.6144253015518188,-0.023273475468158722,0.6326332688331604,0.5279293060302734,-0.050977740436792374,0.6293729543685913,0.47192102670669556,-0.07165404409170151,0.6289054751396179,0.4225660562515259,-0.0868881493806839,0.6826695203781128,0.6122235059738159,-0.02889859490096569,0.6790605187416077,0.5692234039306641,-0.09393538534641266,0.6779956817626953,0.6377445459365845,-0.11372130364179611,0.6768882870674133,0.6799814701080322,-0.10969474911689758,0.7221803665161133,0.6234489679336548,-0.03778747096657753,0.7216886878013611,0.5912535190582275,-0.1003074124455452,0.7153642773628235,0.6553651690483093,-0.12086960673332214,0.7105040550231934,0.6908701658248901,-0.11469408869743347,0.7616837024688721,0.6419263482093811,-0.04790253937244415,0.7629592418670654,0.610283613204956,-0.09725034236907959,0.7510871887207031,0.6555538177490234,-0.109702467918396,0.7414757609367371,0.6847051382064819,-0.10303755104541779
Right,0.7135626673698425,0.46351417899131775,-2.02101182367187e-05,0.6808628439903259,0.44935205578804016,-0.02319222129881382,0.6511456370353699,0.4235954284667969,-0.03538186103105545,0.6259429454803467,0.4084627330303192,-0.04682818055152893,0.6028274297714233,0.40830981731414795,-0.0570831298828125,0.6775062680244446,0.35890093445777893,-0.03672724962234497,0.6751006841659546,0.30777403712272644,-0.06342683732509613,0.6754669547080994,0.27540627121925354,-0.08110736310482025,0.6774828433990479,0.2465209662914276,-0.09109818190336227,0.7010705471038818,0.3601127564907074,-0.03750508278608322,0.7101060748100281,0.3388950824737549,-0.07504183799028397,0.7073435187339783,0.3764634430408478,-0.0814737007021904,0.702318012714386,0.39645010232925415,-0.07663431763648987,0.7223030924797058,0.37106138467788696,-0.040880221873521805,0.7311089634895325,0.3557101786136627,-0.07559747993946075,0.7248374819755554,0.3891492187976837,-0.08122207224369049,0.7180477976799011,0.40502431988716125,-0.07657084614038467,0.7411107420921326,0.38792142271995544,-0.04632716253399849,0.7498698234558105,0.3693807125091553,-0.07376351207494736,0.7431600093841553,0.39275431632995605,-0.08047183603048325,0.7352678775787354,0.4065561294555664,-0.07950348407030106
Right,0.7419842481613159,0.7664597630500793,-3.358970207045786e-05,0.7071136236190796,0.763420820236206,-0.02078014798462391,0.671950101852417,0.7382707595825195,-0.038893409073352814,0.6450786590576172,0.7237375378608704,-0.05607478320598602,0.6191960573196411,0.7232861518859863,-0.07830018550157547,0.6920447945594788,0.6696233749389648,-0.04951529949903488,0.6843531727790833,0.6173439621925354,-0.07547874003648758,0.6824545860290527,0.584977924823761,-0.0928221121430397,0.6828329563140869,0.553731381893158,-0.10454165935516357,0.7170200943946838,0.6628413200378418,-0.05388118326663971,0.7158663272857666,0.656644880771637,-0.09704295545816422,0.7136222124099731,0.6914741396903992,-0.11205422133207321,0.7126594185829163,0.7058254480361938,-0.11723195016384125,0.7421331405639648,0.6685800552368164,-0.05835636705160141,0.7417453527450562,0.6741833686828613,-0.09528851509094238,0.7378232479095459,0.7036423683166504,-0.10442208498716354,0.7356878519058228,0.7132980823516846,-0.10535910725593567,0.7677761316299438,0.6785555481910706,-0.06429748982191086,0.7692113518714905,0.6784763932228088,-0.09169052541255951,0.7617517113685608,0.7041783928871155,-0.09859387576580048,0.7567006349563599,0.7143433690071106,-0.10021871328353882
Left,0.2502422332763672,0.7817760109901428,-3.174736411892809e-05,0.28065022826194763,0.7712860703468323,-0.0048072123900055885,0.3103352189064026,0.7466380596160889,-0.016386350616812706,0.3354184031486511,0.7284650802612305,-0.030226655304431915,0.3549754023551941,0.7220603823661804,-0.045086830854415894,0.292729914188385,0.6820340752601624,-0.008948047645390034,0.3052443861961365,0.6392478346824646,-0.030559228733181953,0.3130810260772705,0.6125310063362122,-0.04918796569108963,0.3185121715068817,0.5854021906852722,-0.062466107308864594,0.271923303604126,0.6770086288452148,-0.01994049921631813,0.2928895652294159,0.6662595272064209,-0.05679795518517494,0.2920573353767395,0.703043520450592,-0.06864631921052933,0.2844666838645935,0.7170594334602356,-0.06834223866462708,0.252399206161499,0.6807189583778381,-0.03326345607638359,0.2727893888950348,0.6776089668273926,-0.06305399537086487,0.2739098072052002,0.7119073867797852,-0.06307084113359451,0.2678169012069702,0.7209604978561401,-0.05767206847667694,0.23310315608978271,0.6903612613677979,-0.04793403670191765,0.2530727982521057,0.6879742741584778,-0.06408479064702988,0.2586371898651123,0.7143581509590149,-0.06183233857154846,0.2536923289299011,0.722327709197998,-0.057278089225292206
Left,0.19293302297592163,0.5073467493057251,-1.3874910109734628e-05,0.22243528068065643,0.5021472573280334,-0.023791395127773285,0.2537781596183777,0.4802584648132324,-0.03836184740066528,0.27708888053894043,0.4637346565723419,-0.05108751729130745,0.2959137558937073,0.46005138754844666,-0.06291381269693375,0.23885242640972137,0.4125458300113678,-0.024883680045604706,0.24200639128684998,0.3641934096813202,-0.04325628653168678,0.24209557473659515,0.3328644037246704,-0.056000638753175735,0.24112673103809357,0.3043375313282013,-0.06595011800527573,0.2166464626789093,0.4074952304363251,-0.0227690227329731,0.20909565687179565,0.39321446418762207,-0.05553124472498894,0.20845508575439453,0.427096426486969,-0.06832162290811539,0.21178461611270905,0.4424063563346863,-0.07016731798648834,0.1957731395959854,0.41085484623908997,-0.023170139640569687,0.18943659961223602,0.40039628744125366,-0.049752335995435715,0.19124077260494232,0.43079033493995667,-0.05051981657743454,0.1956688016653061,0.44127559661865234,-0.043658576905727386,0.1768755316734314,0.4191254675388336,-0.025262290611863136,0.17517098784446716,0.41117894649505615,-0.04200567305088043,0.1782626509666443,0.4346208870410919,-0.04259270057082176,0.1815575510263443,0.44211092591285706,-0.03810158371925354
Right,0.7691442370414734,0.607279360294342,-8.135756070259959e-05,0.7132695913314819,0.5944660902023315,-0.011762849986553192,0.6549436450004578,0.5522578954696655,-0.027177266776561737,0.6101989150047302,0.5311256647109985,-0.04795459657907486,0.5729297399520874,0.5328938364982605,-0.06688429415225983,0.6842124462127686,0.42576560378074646,-0.013416397385299206,0.6657286286354065,0.33552229404449463,-0.04946665093302727,0.6563448309898376,0.28288015723228455,-0.066103495657444,0.651448667049408,0.23838023841381073,-0.0747566819190979,0.7220312356948853,0.4214860796928406,-0.031089456751942635,0.6922414898872375,0.39871668815612793,-0.10030791163444519,0.6918893456459045,0.46788275241851807,-0.11212115734815598,0.7031435370445251,0.49985337257385254,-0.09828444570302963,0.7569543123245239,0.4276468753814697,-0.05495983362197876,0.7293468713760376,0.42360764741897583,-0.12004499137401581,0.7298921346664429,0.4882430136203766,-0.12340529263019562,0.7414029240608215,0.5148366093635559,-0.10896926373243332,0.7957386374473572,0.44072139263153076,-0.0794723629951477,0.7709741592407227,0.4293883740901947,-0.12274155020713806,0.7612648606300354,0.4782266616821289,-0.13017860054969788,0.7658058404922485,0.5006436705589294,-0.12542347609996796
Right,0.8467006683349609,0.8765245676040649,-0.0002101120335282758,0.7195923924446106,0.8699022531509399,-0.05650881677865982,0.595954418182373,0.7920221090316772,-0.07760298252105713,0.5000355839729309,0.7378958463668823,-0.09970162063837051,0.41308024525642395,0.725519597530365,-0.1106429398059845,0.647152841091156,0.5565352439880371,-0.02813398651778698,0.6253162026405334,0.394682914018631,-0.09127350896596909,0.6179879903793335,0.2930586040019989,-0.12004365772008896,0.6170908808708191,0.19464221596717834,-0.13436931371688843,0.7296411991119385,0.5491064786911011,-0.03871062025427818,0.7123151421546936,0.463420033454895,-0.1765119433403015,0.7280244827270508,0.6232083439826965,-0.1897573322057724,0.7363565564155579,0.6850771903991699,-0.14638151228427887,0.8095284700393677,0.560265302658081,-0.060180578380823135,0.7963043451309204,0.4880637526512146,-0.18938422203063965,0.7947953939437866,0.6387282013893127,-0.20055906474590302,0.7929280996322632,0.685950517654419,-0.16588439047336578,0.8913627862930298,0.5850428938865662,-0.08565209060907364,0.875738263130188,0.5231014490127563,-0.16497598588466644,0.8591588735580444,0.6297664642333984,-0.1770755797624588,0.8523444533348083,0.6693378686904907,-0.15464317798614502
Left,0.21689936518669128,0.9222640991210938,0.00016725872410461307,0.35962966084480286,0.9326050877571106,-0.06675005704164505,0.5042902231216431,0.837045431137085,-0.12214412540197372,0.6066679358482361,0.7548583745956421,-0.17358733713626862,0.684802770614624,0.7194482684135437,-0.21069277822971344,0.42054250836372375,0.5227546691894531,-0.04274589568376541,0.45216643810272217,0.31070229411125183,-0.1353243887424469,0.469865083694458,0.17789149284362793,-0.2132498025894165,0.4747731685638428,0.06044107675552368,-0.2676122188568115,0.32818931341171265,0.509113609790802,-0.07112549990415573,0.3731405436992645,0.4343131184577942,-0.23291602730751038,0.35684633255004883,0.6192159652709961,-0.2662912905216217,0.32526659965515137,0.6612600684165955,-0.25376391410827637,0.23838426172733307,0.5232188701629639,-0.12142682075500488,0.27890533208847046,0.46851685643196106,-0.27155667543411255,0.27407944202423096,0.6435893177986145,-0.2602958679199219,0.24825361371040344,0.6595420241355896,-0.2281920462846756,0.14403486251831055,0.5576116442680359,-0.17875534296035767,0.19599924981594086,0.5046060085296631,-0.2664286196231842,0.20841363072395325,0.6363403797149658,-0.25259894132614136,0.1794908493757248,0.6446013450622559,-0.2308865487575531
Right,0.5837734937667847,0.8111015558242798,-8.084463479463011e-05,0.5003752112388611,0.8119205832481384,-0.06652653962373734,0.4088931381702423,0.7551546096801758,-0.09781414270401001,0.3328419327735901,0.7239044904708862,-0.12598156929016113,0.262332946062088,0.7170379161834717,-0.15309198200702667,0.4570043981075287,0.5704882144927979,-0.06485791504383087,0.4440630376338959,0.44933539628982544,-0.12078026682138443,0.44176599383354187,0.3724537491798401,-0.15179666876792908,0.4403742551803589,0.3009033799171448,-0.17321568727493286,0.5149680972099304,0.5653632879257202,-0.06434798985719681,0.5072121620178223,0.5189496278762817,-0.1746576577425003,0.5156726837158203,0.6283146142959595,-0.19257976114749908,0.5202754735946655,0.6907256841659546,-0.17342309653759003,0.5706413984298706,0.5763629674911499,-0.0716690868139267,0.5629411339759827,0.5478651523590088,-0.17590996623039246,0.5583385229110718,0.6479547023773193,-0.20100073516368866,0.5530132055282593,0.7003700733184814,-0.18700093030929565,0.6264069676399231,0.5997955799102783,-0.08203007280826569,0.6167529821395874,0.5751035213470459,-0.1622927486896515,0.6011521816253662,0.6460117101669312,-0.1844353973865509,0.5896338820457458,0.6875507831573486,-0.1775839775800705
Left,0.2678833603858948,0.738016664981842,-0.00018162268679589033,0.37076354026794434,0.7525210380554199,-0.08221468329429626,0.48082566261291504,0.702441394329071,-0.12966273725032806,0.5650629997253418,0.6507298946380615,-0.17470026016235352,0.6298144459724426,0.626990556716919,-0.21253439784049988,0.46158114075660706,0.4792729318141937,-0.06433389335870743,0.48582056164741516,0.3282710909843445,-0.129118874669075,0.4895162582397461,0.23572614789009094,-0.17748978734016418,0.4896949529647827,0.14041510224342346,-0.21057875454425812,0.39858201146125793,0.46005627512931824,-0.060660187155008316,0.39507511258125305,0.3842102885246277,-0.17627717554569244,0.37713897228240967,0.5164388418197632,-0.19892291724681854,0.37431856989860535,0.5779399275779724,-0.1822998970746994,0.3329179286956787,0.45680704712867737,-0.07233987003564835,0.3260006010532379,0.38726407289505005,-0.17527364194393158,0.32202062010765076,0.515312671661377,-0.17439720034599304,0.32720106840133667,0.5700095295906067,-0.15184585750102997,0.264833927154541,0.4688032865524292,-0.09015120565891266,0.26762211322784424,0.4059194326400757,-0.15268857777118683,0.2712484896183014,0.5002666115760803,-0.1602560430765152,0.27532505989074707,0.5431620478630066,-0.14602339267730713
