left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.61452716588974,0.5939351320266724,-6.8773100792896e-05,0.5689300298690796,0.6248917579650879,-0.022615663707256317,0.5342035889625549,0.6393504738807678,-0.06125354766845703,0.515658438205719,0.6565141677856445,-0.09898829460144043,0.506898045539856,0.6757727861404419,-0.1461818814277649,0.5227670669555664,0.57389897108078,-0.10264863818883896,0.5015767216682434,0.5921787023544312,-0.17247551679611206,0.49761509895324707,0.6428643465042114,-0.2185167819261551,0.5022615194320679,0.6924615502357483,-0.24362480640411377,0.5489014387130737,0.5588557720184326,-0.11780761182308197,0.5250353813171387,0.5852004289627075,-0.1937841773033142,0.5207488536834717,0.6493178606033325,-0.23666873574256897,0.5258753895759583,0.7047896981239319,-0.2575257122516632,0.5791658759117126,0.5507334470748901,-0.13279220461845398,0.556057333946228,0.5771694183349609,-0.1950700432062149,0.5476821064949036,0.6340878009796143,-0.23119071125984192,0.5494295358657837,0.6790639758110046,-0.2525196671485901,0.608767032623291,0.5473285913467407,-0.1462172567844391,0.5918393731117249,0.5679073929786682,-0.19356106221675873,0.5797489285469055,0.6069908738136292,-0.2149394154548645,0.5730113387107849,0.6418697237968445,-0.2291889786720276
Right,0.6780930161476135,0.466880202293396,-0.000118298499728553,0.62544846534729,0.48488661646842957,-0.03339817747473717,0.5960843563079834,0.5043827891349792,-0.07859893143177032,0.5855047106742859,0.5389382839202881,-0.11176995933055878,0.5856690406799316,0.5692430734634399,-0.1548210084438324,0.5830875635147095,0.43909937143325806,-0.15500777959823608,0.5742469429969788,0.5186543464660645,-0.22258061170578003,0.5830727219581604,0.581342339515686,-0.25660908222198486,0.592335045337677,0.6278148293495178,-0.2770606577396393,0.6202049851417542,0.43663841485977173,-0.16305404901504517,0.6110451221466064,0.5283855199813843,-0.22508272528648376,0.6122919321060181,0.6049844026565552,-0.2349836230278015,0.6158117651939392,0.6586077809333801,-0.242015540599823,0.6599626541137695,0.44696885347366333,-0.1662697046995163,0.6528714895248413,0.534033477306366,-0.21744710206985474,0.6474867463111877,0.6034033894538879,-0.22934778034687042,0.644999623298645,0.6531528830528259,-0.2416948825120926,0.6965783834457397,0.46261289715766907,-0.17297296226024628,0.6891804337501526,0.520861804485321,-0.21038557589054108,0.6835875511169434,0.5649079084396362,-0.21926163136959076,0.6790498495101929,0.6000339984893799,-0.2306363433599472
Left,0.28169581294059753,0.4089103639125824,-3.1850831874180585e-05,0.33255496621131897,0.4386264979839325,-0.04140925407409668,0.36404114961624146,0.4579095244407654,-0.09016565978527069,0.38498634099960327,0.48750558495521545,-0.13106954097747803,0.4003804326057434,0.5026360750198364,-0.16495870053768158,0.3797849118709564,0.35593944787979126,-0.15118393301963806,0.37087562680244446,0.4371625781059265,-0.22776606678962708,0.3535640835762024,0.49698957800865173,-0.2519451975822449,0.34412479400634766,0.5320190191268921,-0.25726616382598877,0.34117668867111206,0.3351026177406311,-0.15149618685245514,0.3273562490940094,0.4388779401779175,-0.22536499798297882,0.31662672758102417,0.5128621459007263,-0.21686974167823792,0.31250759959220886,0.562017023563385,-0.19327720999717712,0.30184394121170044,0.3348604142665863,-0.1559429168701172,0.2942725419998169,0.43088585138320923,-0.22058823704719543,0.29172688722610474,0.5029879212379456,-0.22442856431007385,0.29313334822654724,0.5520352721214294,-0.21573658287525177,0.26389050483703613,0.3484456241130829,-0.16191096603870392,0.26349931955337524,0.4037861227989197,-0.19540292024612427,0.26455938816070557,0.45382964611053467,-0.20186960697174072,0.26899221539497375,0.49211716651916504,-0.2015305459499359
Right,0.779312014579773,0.32354864478111267,-0.00018034740060102195,0.6894552111625671,0.3563790023326874,-0.07338365912437439,0.6428669691085815,0.45712289214134216,-0.1649816781282425,0.65626060962677,0.5532634258270264,-0.22950054705142975,0.6950191259384155,0.6032404899597168,-0.29204320907592773,0.6817395687103271,0.4326132833957672,-0.3204282522201538,0.6800846457481384,0.578192949295044,-0.4244346618652344,0.6822165250778198,0.6778443455696106,-0.46477144956588745,0.6878140568733215,0.7657861113548279,-0.4776436686515808,0.756039559841156,0.43702393770217896,-0.3033653795719147,0.7485492825508118,0.6118485331535339,-0.4133201539516449,0.7372792363166809,0.7311001420021057,-0.4385276436805725,0.7305521965026855,0.8233847618103027,-0.46228259801864624,0.8201431035995483,0.447411447763443,-0.27735164761543274,0.8129770755767822,0.6234248280525208,-0.36455535888671875,0.787754237651825,0.7329543232917786,-0.3752482235431671,0.766704797744751,0.8130744695663452,-0.39325982332229614,0.8711526989936829,0.45778435468673706,-0.2483881711959839,0.854037880897522,0.60524582862854,-0.29226207733154297,0.8283991813659668,0.674933910369873,-0.295059472322464,0.8102115392684937,0.7267317771911621,-0.3076907992362976
Left,0.023429274559020996,0.4493286907672882,-8.312359568662941e-05,0.10357867926359177,0.47100502252578735,-0.08526469767093658,0.1561652421951294,0.5069350004196167,-0.1703340858221054,0.1867750585079193,0.5388526320457458,-0.23857705295085907,0.19740739464759827,0.5557985901832581,-0.3047979176044464,0.1991097331047058,0.437613844871521,-0.22230108082294464,0.18671299517154694,0.5340315103530884,-0.30910828709602356,0.17209284007549286,0.6063445806503296,-0.3424419164657593,0.16426727175712585,0.665081262588501,-0.36573174595832825,0.15907469391822815,0.4299883246421814,-0.21744747459888458,0.15350422263145447,0.5545520186424255,-0.3152679204940796,0.15289108455181122,0.6374074220657349,-0.3461090326309204,0.15093550086021423,0.7044623494148254,-0.3698325455188751,0.11103716492652893,0.44018757343292236,-0.21287482976913452,0.1049404889345169,0.5649167895317078,-0.29886168241500854,0.10903844237327576,0.651039719581604,-0.3126046657562256,0.11334694176912308,0.7120077610015869,-0.3254052698612213,0.0630331039428711,0.4612843990325928,-0.2152555137872696,0.07362757623195648,0.5649348497390747,-0.2714069187641144,0.07936598360538483,0.6294506788253784,-0.2872864007949829,0.08462780714035034,0.6749914288520813,-0.3064548373222351
Left,0.223810613155365,0.6729093790054321,-3.456545891822316e-05,0.275093138217926,0.6887470483779907,-0.05001240223646164,0.30167412757873535,0.6875745058059692,-0.0955677255988121,0.31442156434059143,0.6834308505058289,-0.13983672857284546,0.32419443130493164,0.6767069697380066,-0.18211399018764496,0.30277568101882935,0.6180817484855652,-0.10627104341983795,0.3097544312477112,0.5707859396934509,-0.1650766283273697,0.3178809881210327,0.5344305634498596,-0.1971144676208496,0.327190637588501,0.5052488446235657,-0.21005424857139587,0.27463313937187195,0.6056468486785889,-0.1084805428981781,0.27415645122528076,0.5568156838417053,-0.1735687106847763,0.27976053953170776,0.5342886447906494,-0.20426620543003082,0.28908318281173706,0.5166589021682739,-0.2175104320049286,0.2449040710926056,0.6063531637191772,-0.11294633150100708,0.23682868480682373,0.5865716338157654,-0.1784323900938034,0.23761025071144104,0.5914506316184998,-0.21023981273174286,0.24276551604270935,0.5936049222946167,-0.22448906302452087,0.21790015697479248,0.6172801852226257,-0.11706333607435226,0.2117532342672348,0.6141104102134705,-0.171968013048172,0.21601474285125732,0.634528636932373,-0.19548891484737396,0.22239768505096436,0.6531721949577332,-0.20317800343036652
Right,0.8114664554595947,0.3454028367996216,-0.00018452436779625714,0.7253519892692566,0.4227607846260071,-0.03278985992074013,0.6622040271759033,0.48980283737182617,-0.12490218877792358,0.6420303583145142,0.566238522529602,-0.20399709045886993,0.637809693813324,0.6438578367233276,-0.2987503707408905,0.6012939214706421,0.3544039726257324,-0.2279367446899414,0.5900291204452515,0.5029013156890869,-0.32208460569381714,0.6070966720581055,0.602752685546875,-0.35233554244041443,0.619462788105011,0.6801698803901672,-0.36642125248908997,0.6536800861358643,0.3144823908805847,-0.2615531086921692,0.6411767601966858,0.4967675507068634,-0.3607317805290222,0.6472868323326111,0.6115421056747437,-0.3668343722820282,0.651115357875824,0.7027870416641235,-0.3713265359401703,0.715094268321991,0.3031904697418213,-0.2910381853580475,0.6968553066253662,0.4781142473220825,-0.36615872383117676,0.6858214735984802,0.5892726182937622,-0.37964928150177,0.6816537976264954,0.6810095310211182,-0.40100592374801636,0.7768447399139404,0.31670698523521423,-0.31941473484039307,0.7491909265518188,0.4456334114074707,-0.3725873529911041,0.7304949164390564,0.5201820731163025,-0.3775944113731384,0.7168576717376709,0.5880956053733826,-0.3898487985134125
Left,0.2850085198879242,0.3368625044822693,-5.5378201068378985e-05,0.34451258182525635,0.34446465969085693,0.01858014427125454,0.38288697600364685,0.38817840814590454,0.01006501168012619,0.3975222706794739,0.4425021708011627,0.002492388477548957,0.39383554458618164,0.4817087948322296,-0.008056020364165306,0.39507555961608887,0.41608017683029175,-0.045816369354724884,0.3992369771003723,0.5067963004112244,-0.043802063912153244,0.39887791872024536,0.5587388277053833,-0.033229488879442215,0.3992334306240082,0.5959370732307434,-0.028205344453454018,0.36400511860847473,0.42817962169647217,-0.05554274097084999,0.3715575933456421,0.5217307806015015,-0.055268172174692154,0.3757788836956024,0.5778248310089111,-0.03748872131109238,0.38028764724731445,0.6187610626220703,-0.030312761664390564,0.3287602961063385,0.43908724188804626,-0.060592904686927795,0.3427472710609436,0.5243350863456726,-0.05755997449159622,0.3492114543914795,0.5757968425750732,-0.04435804858803749,0.3562922477722168,0.6099619269371033,-0.040995996445417404,0.29375556111335754,0.4463084638118744,-0.06261451542377472,0.3093935251235962,0.5107927918434143,-0.057834990322589874,0.3188422918319702,0.5460234880447388,-0.04983901232481003,0.32943102717399597,0.5710408091545105,-0.04866800084710121
Right,0.685139536857605,0.49666160345077515,-7.267014734679833e-05,0.6297318339347839,0.5252522826194763,0.00452501280233264,0.6030281186103821,0.6004109382629395,-0.02290971949696541,0.6187405586242676,0.670401394367218,-0.04382392019033432,0.6398935914039612,0.7081531882286072,-0.06547483056783676,0.5913096070289612,0.6090335249900818,-0.12238786369562149,0.5897282361984253,0.734597384929657,-0.14607176184654236,0.5960385799407959,0.7987435460090637,-0.1387307196855545,0.6007900238037109,0.8464822769165039,-0.12924224138259888,0.6351876854896545,0.6162511706352234,-0.13382890820503235,0.623475193977356,0.7507704496383667,-0.16484828293323517,0.6221867799758911,0.8243542909622192,-0.15459033846855164,0.6242459416389465,0.8820383548736572,-0.1522798091173172,0.6789097785949707,0.6193605065345764,-0.1348220556974411,0.6693300008773804,0.7485313415527344,-0.15660293400287628,0.6632511615753174,0.8140685558319092,-0.14987000823020935,0.6602920889854431,0.8632546663284302,-0.15277238190174103,0.7190731167793274,0.6213704943656921,-0.13043910264968872,0.7055766582489014,0.7078678011894226,-0.12172804772853851,0.6947054266929626,0.7084461450576782,-0.09221486747264862,0.6924536824226379,0.6984733939170837,-0.0786636471748352
Left,0.1815936118364334,0.4339046776294708,-1.95139400602784e-05,0.24267511069774628,0.4371165931224823,0.015469428151845932,0.2839277982711792,0.48374301195144653,0.0006589792901650071,0.30046263337135315,0.5387818813323975,-0.012152993120253086,0.2973116636276245,0.5777710676193237,-0.02636699751019478,0.30137842893600464,0.48987877368927,-0.07147090137004852,0.3170764744281769,0.5862624049186707,-0.08466209471225739,0.3180907666683197,0.636888325214386,-0.0796099454164505,0.31641727685928345,0.6743886470794678,-0.07304954528808594,0.26842033863067627,0.49531006813049316,-0.08312070369720459,0.2833046019077301,0.6079908609390259,-0.0927605852484703,0.287594735622406,0.6648749113082886,-0.07557888329029083,0.2885192036628723,0.7056174278259277,-0.06764054298400879,0.2334735095500946,0.5046594142913818,-0.08980626612901688,0.2494252771139145,0.6085743308067322,-0.0918114185333252,0.2574039101600647,0.6586320996284485,-0.0718441978096962,0.26327985525131226,0.6919649839401245,-0.06323721259832382,0.20054849982261658,0.5157831311225891,-0.0937223806977272,0.2190847098827362,0.591071605682373,-0.08339252322912216,0.22784104943275452,0.6168745756149292,-0.06453961879014969,0.23520520329475403,0.6311914324760437,-0.057967912405729294
