left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.8565144538879395,0.3767630457878113,-6.063561522751115e-05,0.7621659636497498,0.3774245083332062,-0.07769636064767838,0.6863744258880615,0.4173475205898285,-0.16757287085056305,0.6643462777137756,0.4978271722793579,-0.2345995306968689,0.6724240779876709,0.5826804041862488,-0.31610235571861267,0.673448383808136,0.3246580958366394,-0.26386702060699463,0.6470774412155151,0.45961928367614746,-0.3524186909198761,0.6555745005607605,0.5432276129722595,-0.38234424591064453,0.6556735634803772,0.5949306488037109,-0.39762088656425476,0.7390515208244324,0.3286559283733368,-0.2615513801574707,0.7070096731185913,0.487882137298584,-0.347340852022171,0.6905960440635681,0.5821101665496826,-0.34966132044792175,0.6787821054458618,0.6488399505615234,-0.3600378632545471,0.8014175891876221,0.3525724411010742,-0.2572374939918518,0.7684140205383301,0.4850166141986847,-0.31168055534362793,0.7501885294914246,0.513146698474884,-0.27552756667137146,0.7431262135505676,0.5218362212181091,-0.2640112340450287,0.8543271422386169,0.38432493805885315,-0.2563791573047638,0.8204068541526794,0.4692915081977844,-0.27767881751060486,0.8101882934570312,0.46978330612182617,-0.24323029816150665,0.8055489659309387,0.45947960019111633,-0.22645819187164307
Left,0.15405675768852234,0.29836541414260864,-5.641290408675559e-05,0.20270828902721405,0.33708155155181885,-0.016772231087088585,0.24675428867340088,0.364706426858902,-0.05169134587049484,0.27461740374565125,0.38834744691848755,-0.08884703367948532,0.28980523347854614,0.41369202733039856,-0.13151264190673828,0.2797226011753082,0.28023234009742737,-0.07711634784936905,0.296672523021698,0.3336273431777954,-0.15216457843780518,0.3006066679954529,0.390847384929657,-0.1997390240430832,0.29614976048469543,0.44115081429481506,-0.2261577844619751,0.26363712549209595,0.2548781633377075,-0.09971630573272705,0.28637194633483887,0.3190346658229828,-0.17506909370422363,0.29392433166503906,0.38785314559936523,-0.21940219402313232,0.2930184304714203,0.4498668313026428,-0.24508415162563324,0.2371797412633896,0.24031755328178406,-0.123261459171772,0.2621690630912781,0.2911311388015747,-0.19596034288406372,0.2747536897659302,0.3509519100189209,-0.2278885543346405,0.2769312262535095,0.40153297781944275,-0.2429286241531372,0.20721189677715302,0.23510196805000305,-0.14733798801898956,0.2334972470998764,0.25751686096191406,-0.2007107138633728,0.25135567784309387,0.2819799780845642,-0.2233865112066269,0.26268234848976135,0.3072558343410492,-0.2377241551876068
Right,0.63704514503479,0.41278335452079773,-1.77659258042695e-05,0.5565354228019714,0.43729862570762634,-0.06748642772436142,0.49774548411369324,0.4887179434299469,-0.15343499183654785,0.48863154649734497,0.5574535727500916,-0.21969880163669586,0.502206027507782,0.6231227517127991,-0.2892560660839081,0.4912675619125366,0.4224211275577545,-0.2599181532859802,0.46997007727622986,0.5405042171478271,-0.3376395106315613,0.473970890045166,0.6173948645591736,-0.37078896164894104,0.48268556594848633,0.6698988676071167,-0.3973754644393921,0.5528886318206787,0.4137355089187622,-0.2542506456375122,0.5303036570549011,0.576833188533783,-0.335257887840271,0.5138928890228271,0.6809797286987305,-0.35285741090774536,0.5098457932472229,0.7548229694366455,-0.3762538433074951,0.6130177974700928,0.43027904629707336,-0.24461132287979126,0.5790241360664368,0.5632736682891846,-0.2714537978172302,0.5659636855125427,0.5701605677604675,-0.20508651435375214,0.569416344165802,0.5525447726249695,-0.1730743795633316,0.660180926322937,0.45706212520599365,-0.2412463128566742,0.6264042258262634,0.5546054840087891,-0.25183120369911194,0.6144668459892273,0.5481618046760559,-0.20530304312705994,0.6145545244216919,0.5240300297737122,-0.17539283633232117
Left,0.28279903531074524,0.3251383602619171,-8.918423554860055e-05,0.31741011142730713,0.3446953594684601,-0.02425079047679901,0.336416631937027,0.3972019553184509,-0.059949859976768494,0.3327695429325104,0.4481230676174164,-0.0818294957280159,0.31475329399108887,0.4834337532520294,-0.10082458704710007,0.32930970191955566,0.39852941036224365,-0.14417774975299835,0.32139840722084045,0.4806255102157593,-0.18590644001960754,0.3119908273220062,0.5350707173347473,-0.20244070887565613,0.3056493401527405,0.5782084465026855,-0.208237424492836,0.29720228910446167,0.4002068042755127,-0.13639523088932037,0.2941977381706238,0.4937547743320465,-0.1704811453819275,0.2919048070907593,0.5569828748703003,-0.18088509142398834,0.29119250178337097,0.6045820713043213,-0.19537471234798431,0.2664647698402405,0.39880266785621643,-0.12194378674030304,0.266821026802063,0.4895515441894531,-0.13717414438724518,0.2740710973739624,0.5381103157997131,-0.13367904722690582,0.28102409839630127,0.5661113858222961,-0.13490448892116547,0.2431187629699707,0.3950073719024658,-0.10645280033349991,0.2515081763267517,0.4613952338695526,-0.1026785671710968,0.2618316411972046,0.4923684000968933,-0.09304969757795334,0.27186545729637146,0.5128846764564514,-0.0915120393037796
Right,0.6263291835784912,0.3360355794429779,-0.00010541344818193465,0.5276904702186584,0.33536529541015625,-0.07396882772445679,0.45302173495292664,0.39634525775909424,-0.16662637889385223,0.4486720860004425,0.4875641167163849,-0.23631814122200012,0.49144643545150757,0.5646819472312927,-0.29577934741973877,0.47175371646881104,0.39620038866996765,-0.29168108105659485,0.44890618324279785,0.5302282571792603,-0.3978703022003174,0.4431495666503906,0.6305354833602905,-0.442155122756958,0.4436458945274353,0.7114627361297607,-0.4746227264404297,0.5531116127967834,0.42265719175338745,-0.2838115990161896,0.5381672978401184,0.5886649489402771,-0.41234779357910156,0.5191614031791687,0.7107160091400146,-0.47065186500549316,0.5075877904891968,0.8051013350486755,-0.5206965804100037,0.6308702230453491,0.45834603905677795,-0.25708696246147156,0.6023226976394653,0.5530554056167603,-0.30547085404396057,0.5660280585289001,0.5199205279350281,-0.2215852439403534,0.5497156381607056,0.4792162775993347,-0.1632157266139984,0.692122220993042,0.4850398302078247,-0.24425645172595978,0.6667267680168152,0.525592029094696,-0.264140248298645,0.6335552930831909,0.49999329447746277,-0.2154415398836136,0.6117305159568787,0.47684139013290405,-0.17993129789829254
Left,0.15170441567897797,0.41246479749679565,-4.537321365205571e-05,0.24843727052211761,0.43776604533195496,-0.053064119070768356,0.3147825002670288,0.46849557757377625,-0.13806506991386414,0.3545008599758148,0.515521764755249,-0.22096267342567444,0.38643789291381836,0.5571200251579285,-0.3063255548477173,0.3442962169647217,0.2809045910835266,-0.21900221705436707,0.3983054459095001,0.39246851205825806,-0.36465197801589966,0.3997352123260498,0.5017440915107727,-0.43503743410110474,0.3972283899784088,0.5828666687011719,-0.45516762137413025,0.28374749422073364,0.24807587265968323,-0.24611729383468628,0.33395665884017944,0.3782351016998291,-0.3922126591205597,0.3351355493068695,0.5037122964859009,-0.42755863070487976,0.3296949863433838,0.5909280776977539,-0.4325513541698456,0.21337130665779114,0.25354933738708496,-0.279409795999527,0.2558162808418274,0.33154550194740295,-0.40371090173721313,0.26188984513282776,0.42625999450683594,-0.42926833033561707,0.2604910135269165,0.48717260360717773,-0.42444759607315063,0.1396857649087906,0.27462315559387207,-0.3140922486782074,0.16111359000205994,0.32452982664108276,-0.3941815495491028,0.17065885663032532,0.37757426500320435,-0.4162079989910126,0.17199823260307312,0.4067995846271515,-0.42283400893211365
Left,0.15566015243530273,0.5111874341964722,-4.5285258238436654e-05,0.22564715147018433,0.48687225580215454,0.031103823333978653,0.26519009470939636,0.45287075638771057,0.02409372664988041,0.28696101903915405,0.4353904128074646,0.0040320889092981815,0.3074110746383667,0.42698413133621216,-0.02266157604753971,0.2880726158618927,0.35481417179107666,-0.027281567454338074,0.31902557611465454,0.4088171124458313,-0.061899881809949875,0.3142450749874115,0.46227651834487915,-0.07285451143980026,0.3070879876613617,0.49502819776535034,-0.0756302997469902,0.2641553282737732,0.3502695560455322,-0.061732590198516846,0.2922869622707367,0.4259920120239258,-0.08864889293909073,0.289420485496521,0.4837999939918518,-0.07890182733535767,0.28518009185791016,0.5197483897209167,-0.07320346683263779,0.23477695882320404,0.36211642622947693,-0.09571151435375214,0.25956282019615173,0.4368910491466522,-0.11876005679368973,0.2592955529689789,0.48601436614990234,-0.11344137042760849,0.25554242730140686,0.5122865438461304,-0.11245626211166382,0.2047954797744751,0.38366448879241943,-0.1258554756641388,0.22244372963905334,0.43325161933898926,-0.1358082890510559,0.22438251972198486,0.46710729598999023,-0.13188016414642334,0.22174304723739624,0.48140016198158264,-0.1353357434272766
Right,0.5968825817108154,0.4034053087234497,8.291716767416801e-06,0.5428134202957153,0.4225739538669586,0.012758757919073105,0.501461386680603,0.47093456983566284,-0.01446406077593565,0.4835846424102783,0.5235188603401184,-0.040288783609867096,0.4778284430503845,0.5611401796340942,-0.06271478533744812,0.4788939952850342,0.4605637788772583,-0.10463254898786545,0.4679383933544159,0.5600189566612244,-0.12352969497442245,0.47023358941078186,0.616245687007904,-0.11647558957338333,0.4710964858531952,0.6553899049758911,-0.11187155544757843,0.5126622319221497,0.4661066234111786,-0.11898364871740341,0.4999541640281677,0.5807009935379028,-0.13697901368141174,0.493512362241745,0.6384770274162292,-0.12284480780363083,0.4887351989746094,0.6793414950370789,-0.11902859061956406,0.5498770475387573,0.47745180130004883,-0.12455510348081589,0.5369601845741272,0.5770070552825928,-0.11013557761907578,0.5321102738380432,0.5651212930679321,-0.06910762935876846,0.528256893157959,0.5442492365837097,-0.049849942326545715,0.5826015472412109,0.4907754361629486,-0.1300482600927353,0.5667088627815247,0.5654981732368469,-0.10768566280603409,0.5625528693199158,0.5531350374221802,-0.07940812408924103,0.5605081915855408,0.5327635407447815,-0.06279802322387695
Right,0.6972954869270325,0.4429187774658203,-2.8162139642518014e-05,0.653688907623291,0.4651371240615845,-0.031016284599900246,0.6346312761306763,0.518711268901825,-0.06738386303186417,0.6397221088409424,0.5677409768104553,-0.09051690995693207,0.6548341512680054,0.5938413739204407,-0.11107344180345535,0.6693301796913147,0.5144081711769104,-0.14184802770614624,0.6849029660224915,0.5945805311203003,-0.1853189617395401,0.6926110982894897,0.6440481543540955,-0.19904032349586487,0.6990817785263062,0.6798287630081177,-0.20347267389297485,0.7058675289154053,0.5095586180686951,-0.1309647560119629,0.721882700920105,0.5996498465538025,-0.1766074001789093,0.7249828577041626,0.6605663895606995,-0.18719297647476196,0.7258430123329163,0.7039380073547363,-0.19308564066886902,0.733431339263916,0.5065532326698303,-0.11231669038534164,0.7445370554924011,0.5918599963188171,-0.1261996328830719,0.7270269393920898,0.6144120693206787,-0.09088552743196487,0.7105255722999573,0.6160426735877991,-0.06595013290643692,0.7504086494445801,0.5052052140235901,-0.09647912532091141,0.7528079152107239,0.5735252499580383,-0.10136760771274567,0.7369190454483032,0.5952324271202087,-0.08314041793346405,0.7210583686828613,0.5993319749832153,-0.06973300129175186
Left,0.24582822620868683,0.7355551719665527,-2.5550178179400973e-05,0.2855985462665558,0.7419845461845398,-0.036251265555620193,0.3128575086593628,0.752074122428894,-0.08582377433776855,0.32347002625465393,0.7773336172103882,-0.12610667943954468,0.33223259449005127,0.7951672077178955,-0.1608104258775711,0.32171157002449036,0.6684843897819519,-0.1373986303806305,0.32229799032211304,0.7601100206375122,-0.20074144005775452,0.30874359607696533,0.8170566558837891,-0.21644695103168488,0.30262288451194763,0.8449028730392456,-0.2218036651611328,0.2852696478366852,0.6576899886131287,-0.13885800540447235,0.2827272415161133,0.7637815475463867,-0.19063019752502441,0.27718618512153625,0.8181861042976379,-0.16217659413814545,0.279321551322937,0.8419631719589233,-0.13658080995082855,0.24809207022190094,0.6676454544067383,-0.14499540627002716,0.2522848844528198,0.7477154731750488,-0.1901397407054901,0.2521741986274719,0.7889145612716675,-0.1631961166858673,0.253856360912323,0.8044707179069519,-0.14027053117752075,0.21390816569328308,0.6871953010559082,-0.1556197553873062,0.2187257558107376,0.732401967048645,-0.1819518506526947,0.22206507623195648,0.7632355690002441,-0.17122329771518707,0.22418910264968872,0.7758976221084595,-0.16285398602485657
Left,0.21707698702812195,0.4176519513130188,2.5192030079779215e-05,0.2893664240837097,0.4454992413520813,-0.06995998322963715,0.3382485806941986,0.4696688652038574,-0.15654106438159943,0.35332298278808594,0.5145586729049683,-0.23408980667591095,0.3694674074649811,0.5592973232269287,-0.31234005093574524,0.38340872526168823,0.3003125786781311,-0.2481466829776764,0.39459720253944397,0.42312872409820557,-0.3864542841911316,0.3770032823085785,0.5376044511795044,-0.4389563202857971,0.36771491169929504,0.614435076713562,-0.45477551221847534,0.32202771306037903,0.26285839080810547,-0.2616616487503052,0.331145316362381,0.40490877628326416,-0.40752366185188293,0.31144049763679504,0.5301114320755005,-0.42075517773628235,0.2951097786426544,0.6122889518737793,-0.4093962609767914,0.25130343437194824,0.2621150016784668,-0.28357186913490295,0.2604410946369171,0.34932729601860046,-0.4056210219860077,0.2517610788345337,0.4567551910877228,-0.41572460532188416,0.2455047219991684,0.5272650718688965,-0.39878177642822266,0.18049931526184082,0.2784300148487091,-0.30640286207199097,0.18897733092308044,0.3054638206958771,-0.3792659044265747,0.19163016974925995,0.3612483739852905,-0.3961654305458069,0.19286474585533142,0.4022805392742157,-0.4052048325538635
Right,0.85081946849823,0.19264326989650726,3.4941509511554614e-05,0.7002702951431274,0.2270427793264389,-0.02677631750702858,0.5838617086410522,0.3193763196468353,-0.1452551782131195,0.5413305163383484,0.4380131959915161,-0.25186392664909363,0.5377308130264282,0.5452444553375244,-0.3670084476470947,0.5118110179901123,0.22039686143398285,-0.32498326897621155,0.48580414056777954,0.41201522946357727,-0.4577215909957886,0.4879467487335205,0.5504031181335449,-0.4963405430316925,0.4963764548301697,0.6461819410324097,-0.5165025591850281,0.5978413224220276,0.20298455655574799,-0.3588106632232666,0.5789676308631897,0.4752907454967499,-0.5237693786621094,0.5767509341239929,0.666496753692627,-0.5569313764572144,0.5713101625442505,0.8218696117401123,-0.5809530019760132,0.6951097846031189,0.2265390306711197,-0.374021977186203,0.6786885261535645,0.4908522367477417,-0.45845845341682434,0.6870989203453064,0.5385278463363647,-0.3815627694129944,0.6942475438117981,0.5443412065505981,-0.32909348607063293,0.7839795351028442,0.2686682939529419,-0.39676541090011597,0.7404172420501709,0.48028767108917236,-0.41393181681632996,0.7467407584190369,0.4938689172267914,-0.34177955985069275,0.7585907578468323,0.46623533964157104,-0.2790182828903198
