left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7055321931838989,0.9012762308120728,-0.00013112786109559238,0.6413601040840149,0.8670378923416138,-0.027748117223381996,0.6060347557067871,0.7778573632240295,-0.06214994192123413,0.6470113396644592,0.7059945464134216,-0.10089076310396194,0.6963866353034973,0.6473983526229858,-0.1267928034067154,0.6272590160369873,0.6398844122886658,0.0078616077080369,0.6204683184623718,0.5292930006980896,-0.01652728021144867,0.6254500150680542,0.45342105627059937,-0.031256143003702164,0.6354588866233826,0.3859398663043976,-0.03817825764417648,0.6745905876159668,0.631879985332489,-0.015475021675229073,0.6556106209754944,0.5014133453369141,-0.04778537154197693,0.6392408609390259,0.41529303789138794,-0.07399243116378784,0.6327635049819946,0.3450036644935608,-0.09061416238546371,0.7204437255859375,0.6562521457672119,-0.04487135261297226,0.7033840417861938,0.5884989500045776,-0.11564843356609344,0.6838721632957458,0.6769345998764038,-0.13487039506435394,0.6835974454879761,0.7441473007202148,-0.12226022779941559,0.7611278891563416,0.697723925113678,-0.07718181610107422,0.7363446354866028,0.6427806615829468,-0.1300148218870163,0.7134145498275757,0.6987966895103455,-0.13963575661182404,0.7071763277053833,0.748336136341095,-0.12996640801429749
Left,0.2290140986442566,0.8117190599441528,-0.00010160035890294239,0.282803475856781,0.7831029295921326,-0.03602481260895729,0.32470911741256714,0.7110528945922852,-0.06644146144390106,0.31138747930526733,0.6483625769615173,-0.10168497264385223,0.2756797969341278,0.6043027639389038,-0.12790580093860626,0.3008768856525421,0.5945363640785217,-0.01110678818076849,0.3066774010658264,0.5196186900138855,-0.033055488020181656,0.3056643307209015,0.4653228521347046,-0.04895992949604988,0.30032461881637573,0.41401487588882446,-0.059081122279167175,0.2634142339229584,0.5855488777160645,-0.02697812020778656,0.27933207154273987,0.4945392310619354,-0.05711159482598305,0.2919788956642151,0.4304788410663605,-0.08160283416509628,0.3014092445373535,0.3777461349964142,-0.10255475342273712,0.2232837677001953,0.601260781288147,-0.05022161826491356,0.24817341566085815,0.5568112730979919,-0.11607090383768082,0.2627362608909607,0.6289560794830322,-0.14007343351840973,0.2628738284111023,0.6833322048187256,-0.14447343349456787,0.18467780947685242,0.6304345726966858,-0.07505996525287628,0.213981494307518,0.6034514904022217,-0.1251847743988037,0.23034362494945526,0.6571080684661865,-0.1360199898481369,0.23323243856430054,0.6992753744125366,-0.1360267996788025
Right,0.8003774881362915,0.780867338180542,-0.00010310744255548343,0.7388339042663574,0.748234212398529,-0.04330170154571533,0.6956920623779297,0.6575998663902283,-0.07565374672412872,0.7360154986381531,0.5765365362167358,-0.10407578945159912,0.7889297604560852,0.5141026377677917,-0.12021122872829437,0.7070846557617188,0.5420430898666382,-0.015554421581327915,0.700033962726593,0.43995457887649536,-0.05013664439320564,0.7026981711387634,0.36846232414245605,-0.07527169585227966,0.7098390460014343,0.3039364218711853,-0.09041059762239456,0.7588394284248352,0.5298179984092712,-0.027280595153570175,0.7384809255599976,0.4229891896247864,-0.06138981506228447,0.715067446231842,0.35044288635253906,-0.08854152262210846,0.7031722664833069,0.28938889503479004,-0.10389357060194016,0.8088444471359253,0.5506677031517029,-0.046156905591487885,0.7971028685569763,0.5038230419158936,-0.11673019826412201,0.7810031771659851,0.5889699459075928,-0.1440412551164627,0.7818264365196228,0.647411048412323,-0.13876107335090637,0.8556122183799744,0.588956356048584,-0.06879626959562302,0.8352813124656677,0.556633710861206,-0.1286488175392151,0.8155280351638794,0.6171396374702454,-0.14267759025096893,0.8106738924980164,0.6607470512390137,-0.13541537523269653
Left,0.19292519986629486,0.7426831126213074,-8.323488873429596e-05,0.24425451457500458,0.7278392314910889,-0.03780975192785263,0.27810993790626526,0.6649118661880493,-0.06319106370210648,0.2657375931739807,0.5997425317764282,-0.09170769155025482,0.23885920643806458,0.5506786108016968,-0.1181161031126976,0.28223946690559387,0.572578489780426,-0.016572481021285057,0.2868296504020691,0.4992542862892151,-0.0403730645775795,0.2860363721847534,0.4452775716781616,-0.05467059463262558,0.2784610688686371,0.399458110332489,-0.06259665638208389,0.248982235789299,0.5560261607170105,-0.02525022253394127,0.272693932056427,0.4779563546180725,-0.05478879064321518,0.28896236419677734,0.4209660589694977,-0.08206113427877426,0.29888638854026794,0.37232455611228943,-0.10236761718988419,0.21129313111305237,0.5638501644134521,-0.040486279875040054,0.22345814108848572,0.5145878195762634,-0.10349968075752258,0.22880098223686218,0.5817579030990601,-0.13059137761592865,0.22856362164020538,0.6349879503250122,-0.1333063393831253,0.17350316047668457,0.5862018465995789,-0.05616956576704979,0.1898312121629715,0.5735961198806763,-0.11864853650331497,0.1990370750427246,0.6289793848991394,-0.1401243805885315,0.20394735038280487,0.6731967926025391,-0.14207513630390167
Right,0.6890338659286499,0.9059069156646729,-5.077995592728257e-05,0.6328220367431641,0.8869145512580872,-0.06840045750141144,0.5915467739105225,0.7993201613426208,-0.12253475934267044,0.6315369606018066,0.7385416030883789,-0.16706383228302002,0.6844922304153442,0.6782529950141907,-0.19211316108703613,0.6184155941009521,0.6594746708869934,-0.0702606588602066,0.6207941174507141,0.5579434037208557,-0.12159169465303421,0.6269037127494812,0.48704415559768677,-0.15633153915405273,0.6369083523750305,0.4207693636417389,-0.1772015392780304,0.6723271608352661,0.6534525752067566,-0.07889798283576965,0.6562473177909851,0.5468103885650635,-0.13655266165733337,0.6451790928840637,0.46791401505470276,-0.1831025928258896,0.64366614818573,0.4011048376560211,-0.21855762600898743,0.7241091132164001,0.6750055551528931,-0.0931611880660057,0.7170217037200928,0.6550566554069519,-0.1849738210439682,0.6926294565200806,0.7495457530021667,-0.19856303930282593,0.6805240511894226,0.8154373168945312,-0.18532711267471313,0.7707003355026245,0.7161002159118652,-0.113571897149086,0.7538310289382935,0.7046683430671692,-0.1821819543838501,0.7289697527885437,0.7738467454910278,-0.18650062382221222,0.7159625291824341,0.8217947483062744,-0.16912327706813812
Left,0.35938602685928345,0.8510472774505615,-7.391350663965568e-05,0.4100400507450104,0.8238041400909424,-0.03244432434439659,0.4439464509487152,0.7711756825447083,-0.06527717411518097,0.43270909786224365,0.7166950106620789,-0.10083942115306854,0.4116334021091461,0.6710509061813354,-0.13256609439849854,0.43465834856033325,0.66221022605896,-0.026960426941514015,0.43978211283683777,0.5896785855293274,-0.05055217444896698,0.43913164734840393,0.5411492586135864,-0.06679131835699081,0.436263769865036,0.4948810935020447,-0.07880692183971405,0.3995412290096283,0.6524325013160706,-0.039401572197675705,0.41313454508781433,0.5787500143051147,-0.07128742337226868,0.4209623336791992,0.5273293256759644,-0.09421141445636749,0.42714032530784607,0.48241445422172546,-0.11225755512714386,0.36231741309165955,0.6660398244857788,-0.05649621784687042,0.3787311911582947,0.6439082026481628,-0.11146958917379379,0.3873140215873718,0.7097778916358948,-0.13177673518657684,0.3909277021884918,0.7583611011505127,-0.13715867698192596,0.3265860080718994,0.6923744678497314,-0.07598747313022614,0.3459153175354004,0.6830841302871704,-0.11543086916208267,0.3593044877052307,0.7326467037200928,-0.12097468972206116,0.3673507571220398,0.7719440460205078,-0.11952509731054306
Right,0.7747034430503845,0.867150068283081,-8.205420454032719e-05,0.713295042514801,0.8371636867523193,-0.0678473487496376,0.6710313558578491,0.7458608746528625,-0.11233650892972946,0.7159324884414673,0.6713535785675049,-0.144651398062706,0.7694326639175415,0.6131177544593811,-0.16008329391479492,0.6875756978988647,0.6213622689247131,-0.06730812042951584,0.680742621421814,0.5153753161430359,-0.1215079128742218,0.6828985810279846,0.4428372383117676,-0.1566711813211441,0.6899884939193726,0.3730015456676483,-0.177435964345932,0.745151937007904,0.6113043427467346,-0.07358822971582413,0.7218813896179199,0.4993281066417694,-0.12739647924900055,0.7008657455444336,0.42334842681884766,-0.16285833716392517,0.6915411949157715,0.35245248675346375,-0.18770857155323029,0.8002270460128784,0.6329715251922607,-0.08545012027025223,0.7925810217857361,0.594612181186676,-0.17542065680027008,0.7715425491333008,0.679631233215332,-0.20037922263145447,0.7643505930900574,0.7333242297172546,-0.19320988655090332,0.8518321514129639,0.6748021245002747,-0.10407010465860367,0.8390452265739441,0.6404980421066284,-0.17002061009407043,0.8175179362297058,0.6967487335205078,-0.17873381078243256,0.8076820373535156,0.7349367141723633,-0.16717109084129333
Left,0.40752989053726196,0.8490682244300842,-0.00010601121903164312,0.46299728751182556,0.8190252780914307,-0.03205735236406326,0.5037879347801208,0.7535406947135925,-0.06943359225988388,0.49110621213912964,0.6905344724655151,-0.11209910362958908,0.45733267068862915,0.6410335302352905,-0.14474822580814362,0.4788450300693512,0.6317294836044312,-0.017164483666419983,0.4836958944797516,0.5556825399398804,-0.04873153194785118,0.4832615256309509,0.5030851364135742,-0.06798308342695236,0.4784575402736664,0.4544333219528198,-0.0791497752070427,0.4387882351875305,0.6185438632965088,-0.04096192866563797,0.45811229944229126,0.5309528708457947,-0.08337666839361191,0.4735833406448364,0.46893906593322754,-0.11477673798799515,0.48504477739334106,0.4139527678489685,-0.1416967511177063,0.39750564098358154,0.6351072788238525,-0.07048795372247696,0.432563453912735,0.6239303350448608,-0.1417379230260849,0.44220027327537537,0.6948952078819275,-0.15827496349811554,0.43618300557136536,0.7412909269332886,-0.15944042801856995,0.3624277710914612,0.6676468849182129,-0.10321854799985886,0.40206947922706604,0.6730790138244629,-0.14249606430530548,0.4170212745666504,0.7243033051490784,-0.1416957527399063,0.4161354601383209,0.7606399059295654,-0.1394587606191635
Right,0.7165763974189758,0.8577316403388977,-0.00011624910985119641,0.6555047631263733,0.821182370185852,-0.06589819490909576,0.6218389272689819,0.720659077167511,-0.11089435964822769,0.6637030839920044,0.6422984004020691,-0.14744673669338226,0.7151233553886414,0.5863654017448425,-0.16748090088367462,0.6439371109008789,0.5940417051315308,-0.06260256469249725,0.6404902935028076,0.4796469807624817,-0.11442100256681442,0.6466542482376099,0.40332716703414917,-0.14666929841041565,0.6586034893989563,0.33242520689964294,-0.1655692458152771,0.7007293701171875,0.5932438969612122,-0.07488862425088882,0.6837626695632935,0.46547970175743103,-0.13296978175640106,0.6659084558486938,0.38128381967544556,-0.1722165197134018,0.6596280336380005,0.30792590975761414,-0.19846229255199432,0.7559065818786621,0.6276237964630127,-0.0931960716843605,0.7430596351623535,0.5810428857803345,-0.194448783993721,0.713432252407074,0.6771470308303833,-0.2175281047821045,0.7050275206565857,0.7434006333351135,-0.20500890910625458,0.8055797815322876,0.6820771098136902,-0.11688582599163055,0.7852334976196289,0.6497789025306702,-0.19936971366405487,0.7525992393493652,0.7176826596260071,-0.20712237060070038,0.7385061979293823,0.7650512456893921,-0.1926920861005783
Left,0.17535969614982605,0.8509537577629089,-6.178972398629412e-05,0.2245185226202011,0.8357621431350708,-0.03153539076447487,0.26223111152648926,0.7722434401512146,-0.0531775988638401,0.2512333393096924,0.7109660506248474,-0.07752586901187897,0.22327731549739838,0.6705957055091858,-0.09641781449317932,0.2556661069393158,0.6857761144638062,-0.0022137416526675224,0.26163366436958313,0.6179275512695312,-0.015545587986707687,0.2604815363883972,0.5693576335906982,-0.025189567357301712,0.2544533610343933,0.5263711810112,-0.03260175511240959,0.22330161929130554,0.6731419563293457,-0.011164707131683826,0.24563564360141754,0.6005189418792725,-0.033109165728092194,0.26007288694381714,0.5476474761962891,-0.05341976135969162,0.26926761865615845,0.5044968128204346,-0.06953661143779755,0.1866396963596344,0.6804760098457336,-0.027821019291877747,0.2070368379354477,0.6319005489349365,-0.07902125269174576,0.2164197415113449,0.6872147917747498,-0.10688021034002304,0.21686594188213348,0.7352598905563354,-0.114085353910923,0.1480557769536972,0.6991776823997498,-0.04487057775259018,0.17317631840705872,0.6802202463150024,-0.09616489708423615,0.18330541253089905,0.7303589582443237,-0.11622413992881775,0.18573474884033203,0.772041916847229,-0.12077073007822037
