left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7802644968032837,0.8461319804191589,-0.00010486779501661658,0.7272418141365051,0.7714717388153076,-0.01029993686825037,0.7096363306045532,0.6812120676040649,-0.03310983255505562,0.7146452069282532,0.6097564101219177,-0.06450541317462921,0.7287648916244507,0.5484089851379395,-0.10420965403318405,0.7492566704750061,0.5944902300834656,-0.007393538486212492,0.7252432703971863,0.5265076756477356,-0.05756811052560806,0.7018341422080994,0.5359852313995361,-0.09528062492609024,0.6886295080184937,0.5578502416610718,-0.11143206804990768,0.7821784019470215,0.5840156078338623,-0.035661738365888596,0.7845524549484253,0.4754864573478699,-0.060166895389556885,0.7862468957901001,0.40554070472717285,-0.09091482311487198,0.7883692979812622,0.34039515256881714,-0.11083105951547623,0.815252423286438,0.6069125533103943,-0.07135869562625885,0.8327950835227966,0.5038674473762512,-0.09537091106176376,0.8443226218223572,0.43628236651420593,-0.13285483419895172,0.8520020842552185,0.37236055731773376,-0.1617460995912552,0.8455687761306763,0.6564592719078064,-0.10821662843227386,0.8760845065116882,0.5857347249984741,-0.13567371666431427,0.8921254873275757,0.5351198315620422,-0.15886367857456207,0.9017565846443176,0.4817451238632202,-0.17481425404548645
Right,0.7912657856941223,0.8626626133918762,-0.0001309666404267773,0.7301906943321228,0.7847785353660583,0.0023215936962515116,0.704041600227356,0.6961223483085632,-0.013840766623616219,0.6990647912025452,0.6337445378303528,-0.04270891100168228,0.7140192985534668,0.5797747373580933,-0.0806717798113823,0.7465687394142151,0.6101824641227722,-0.0073828971944749355,0.7072040438652039,0.5492470860481262,-0.05779322236776352,0.6762861013412476,0.5614191889762878,-0.0930643156170845,0.6575596332550049,0.5837879180908203,-0.10630995035171509,0.7762846946716309,0.6062459945678711,-0.04445863142609596,0.7778159976005554,0.48919951915740967,-0.0763884037733078,0.7777813076972961,0.415944904088974,-0.10972405225038528,0.780062198638916,0.3499763607978821,-0.12893831729888916,0.8054261207580566,0.6313447952270508,-0.0879296362400055,0.8225799202919006,0.5202839374542236,-0.11877435445785522,0.8326030969619751,0.4466117024421692,-0.15242473781108856,0.8399631977081299,0.3800164759159088,-0.17496372759342194,0.8314959406852722,0.6807223558425903,-0.13119354844093323,0.859516978263855,0.603691577911377,-0.16344192624092102,0.8742538690567017,0.5474568009376526,-0.1857692301273346,0.8832021355628967,0.48815152049064636,-0.20086409151554108
Left,0.17937584221363068,0.7053983211517334,1.045870430971263e-05,0.23143881559371948,0.6730153560638428,-0.020400701090693474,0.26296547055244446,0.6134254336357117,-0.043218307197093964,0.2707895338535309,0.5634283423423767,-0.07128119468688965,0.279177725315094,0.5312474966049194,-0.10517137497663498,0.25055718421936035,0.534618079662323,-0.05903701111674309,0.28939345479011536,0.49761077761650085,-0.11222553998231888,0.3198201060295105,0.5053089261054993,-0.1373654156923294,0.34347105026245117,0.5132754445075989,-0.14570768177509308,0.21772673726081848,0.5237187147140503,-0.08084071427583694,0.22638475894927979,0.42987287044525146,-0.13698126375675201,0.2342989146709442,0.36297884583473206,-0.17424046993255615,0.24146072566509247,0.29958975315093994,-0.20445381104946136,0.1840418130159378,0.5395215153694153,-0.10404136031866074,0.17604415118694305,0.45172685384750366,-0.15701545774936676,0.1724657416343689,0.3828386664390564,-0.19613546133041382,0.16837835311889648,0.31887441873550415,-0.2283172607421875,0.15339000523090363,0.575264036655426,-0.12652967870235443,0.1342952996492386,0.5100057721138,-0.17270393669605255,0.12354756891727448,0.4598403573036194,-0.2050635814666748,0.11454324424266815,0.40895217657089233,-0.23184484243392944
Right,0.7072544693946838,0.8140010833740234,-0.00011096809612354264,0.650225818157196,0.7534525394439697,-0.01612657867372036,0.6248354911804199,0.666914701461792,-0.03493012115359306,0.6242980360984802,0.6001816391944885,-0.061104826629161835,0.6368283033370972,0.5539952516555786,-0.09167218208312988,0.6557931900024414,0.5838640928268433,-0.009388943202793598,0.6163731813430786,0.5278936624526978,-0.053015340119600296,0.5839045643806458,0.53571617603302,-0.09017817676067352,0.5610254406929016,0.5573034286499023,-0.10849576443433762,0.6908285021781921,0.5703825354576111,-0.030341768637299538,0.6858850121498108,0.4692009687423706,-0.044005874544382095,0.6785023212432861,0.3993021249771118,-0.06867353618144989,0.6752607226371765,0.34004342555999756,-0.08502928912639618,0.7247904539108276,0.5866788029670715,-0.05692892521619797,0.7399589419364929,0.487522691488266,-0.07139536738395691,0.7456101179122925,0.41873884201049805,-0.09618280082941055,0.7497323751449585,0.35736721754074097,-0.11354585736989975,0.7546073794364929,0.6253001093864441,-0.08783328533172607,0.777364194393158,0.5484378337860107,-0.10884791612625122,0.786137044429779,0.4967401623725891,-0.12316612899303436,0.7901366353034973,0.4459884762763977,-0.1331227421760559
Left,0.21913377940654755,0.7672972679138184,-4.09130689149606e-06,0.25975075364112854,0.709744393825531,-0.017019325867295265,0.26400285959243774,0.6331767439842224,-0.03632640466094017,0.256268709897995,0.5750017166137695,-0.06533215939998627,0.25061410665512085,0.5314353108406067,-0.10205524414777756,0.21631991863250732,0.5523278713226318,0.0036740798968821764,0.22902974486351013,0.49195238947868347,-0.020386051386594772,0.24847909808158875,0.47551727294921875,-0.04508893936872482,0.26142024993896484,0.471733957529068,-0.06197658181190491,0.18311533331871033,0.5489801168441772,-0.014796126633882523,0.1650005429983139,0.46151047945022583,-0.025845875963568687,0.15576885640621185,0.39679044485092163,-0.04805922508239746,0.14489221572875977,0.33829644322395325,-0.06979823857545853,0.15713858604431152,0.5704074501991272,-0.04031256213784218,0.12176628410816193,0.4947710633277893,-0.05760675296187401,0.10116208344697952,0.4335705637931824,-0.08449788391590118,0.08218507468700409,0.3775646984577179,-0.11133259534835815,0.13970287144184113,0.6125648617744446,-0.06803956627845764,0.09543365985155106,0.5686720013618469,-0.09100936353206635,0.06390702724456787,0.5329771637916565,-0.10749697685241699,0.03461065888404846,0.492962121963501,-0.12661844491958618
Right,0.717461109161377,0.7959414720535278,-0.0001237529213540256,0.6738477945327759,0.7351862192153931,-0.022664854303002357,0.6562010049819946,0.6565428972244263,-0.05176858976483345,0.6483029127120972,0.5997979640960693,-0.09195785224437714,0.6538845896720886,0.5562865734100342,-0.14553707838058472,0.7022748589515686,0.5866885185241699,-5.402582974056713e-05,0.6776392459869385,0.5419069528579712,-0.03736076503992081,0.652608335018158,0.5503031015396118,-0.07200703769922256,0.6340596675872803,0.5658888816833496,-0.08566229790449142,0.734910786151886,0.5819089412689209,-0.01832796260714531,0.7370068430900574,0.49423205852508545,-0.025263600051403046,0.7377212047576904,0.42957809567451477,-0.046251215040683746,0.739063024520874,0.3725902736186981,-0.059832748025655746,0.7665116190910339,0.5997347235679626,-0.04451506584882736,0.7850513458251953,0.5160728693008423,-0.0511624701321125,0.7969803214073181,0.45258527994155884,-0.07562461495399475,0.8037112951278687,0.39764243364334106,-0.09708869457244873,0.793545663356781,0.6348721981048584,-0.07506342232227325,0.8309376239776611,0.5760250687599182,-0.08612661063671112,0.8541247844696045,0.5344977378845215,-0.09583475440740585,0.8713509440422058,0.4927418828010559,-0.10326864570379257
Left,0.5439948439598083,0.8217123746871948,-5.6028267863439396e-05,0.591795027256012,0.7720047235488892,0.011215255595743656,0.621129035949707,0.7073360681533813,0.0004191845946479589,0.6537255048751831,0.6671150326728821,-0.022914277389645576,0.6898906230926514,0.6373676657676697,-0.058261655271053314,0.5800306797027588,0.6252152919769287,-0.001047896919772029,0.6204978227615356,0.5924839973449707,-0.042345233261585236,0.6529759764671326,0.6195679903030396,-0.07713618129491806,0.6715191006660461,0.653907060623169,-0.09637144953012466,0.5626340508460999,0.6174534559249878,-0.037585631012916565,0.5850914120674133,0.5309202671051025,-0.06882842630147934,0.6131707429885864,0.4661657214164734,-0.10254491120576859,0.6395465135574341,0.40731602907180786,-0.12909424304962158,0.5425181984901428,0.634443998336792,-0.07758000493049622,0.5402705073356628,0.5446834564208984,-0.11167924851179123,0.5489374995231628,0.4745429754257202,-0.14345328509807587,0.5596665740013123,0.4140486717224121,-0.1678934246301651,0.5241788029670715,0.6701687574386597,-0.11653155833482742,0.503543496131897,0.601940929889679,-0.1480293571949005,0.4953548312187195,0.5495177507400513,-0.1659289300441742,0.491335391998291,0.4969252645969391,-0.1829177737236023
Right,0.6901223063468933,0.7771279215812683,-0.0001327688805758953,0.6460286378860474,0.7114600539207458,-0.017738517373800278,0.6330024003982544,0.6184942722320557,-0.04350653290748596,0.6319584846496582,0.5541350841522217,-0.07962773740291595,0.6483913064002991,0.5111300945281982,-0.13204365968704224,0.6792983412742615,0.5539019107818604,-0.021284766495227814,0.6612754464149475,0.5072259902954102,-0.0506715290248394,0.6376407742500305,0.5303753614425659,-0.06570486724376678,0.6264174580574036,0.5574309825897217,-0.07096706330776215,0.708009660243988,0.5493720173835754,-0.04312023147940636,0.7115351557731628,0.4505062699317932,-0.05570225417613983,0.7084733247756958,0.3801012337207794,-0.07565617561340332,0.7124153971672058,0.3171044588088989,-0.09448525309562683,0.7357410788536072,0.5691069960594177,-0.07018528133630753,0.7548574209213257,0.47944581508636475,-0.08722171932458878,0.7637016177177429,0.40335458517074585,-0.12090134620666504,0.7737758159637451,0.33675795793533325,-0.15313532948493958,0.7573270201683044,0.6083870530128479,-0.10003584623336792,0.8028852939605713,0.5529282093048096,-0.12224823236465454,0.8307657837867737,0.5139912962913513,-0.14367376267910004,0.8567749261856079,0.4749765694141388,-0.1630658656358719
Left,0.2725203335285187,0.7084388732910156,3.1491824756813003e-06,0.31185606122016907,0.6614466905593872,-0.011360851116478443,0.3256712555885315,0.5921182632446289,-0.029836272820830345,0.3304521441459656,0.5366069674491882,-0.05610118806362152,0.34467625617980957,0.4869752526283264,-0.09144280850887299,0.2858405113220215,0.5138208270072937,-0.007989400066435337,0.30170726776123047,0.46021148562431335,-0.040754206478595734,0.3226671814918518,0.45072153210639954,-0.07082334905862808,0.33781611919403076,0.45444583892822266,-0.09292285144329071,0.2549099624156952,0.5063115358352661,-0.03207908943295479,0.24399925768375397,0.4143573045730591,-0.05567261576652527,0.24418137967586517,0.3451731503009796,-0.08242231607437134,0.24336504936218262,0.2838398814201355,-0.10785798728466034,0.22844798862934113,0.5235810875892639,-0.06206367164850235,0.19663815200328827,0.44137102365493774,-0.08975117653608322,0.1806654930114746,0.37375545501708984,-0.1230797991156578,0.16810312867164612,0.31043320894241333,-0.15305688977241516,0.20823341608047485,0.5620518326759338,-0.09106661379337311,0.16890648007392883,0.5114334225654602,-0.11920683830976486,0.14491680264472961,0.46917450428009033,-0.13982529938220978,0.12615042924880981,0.4222807288169861,-0.15929414331912994
Right,0.7106234431266785,0.7884587049484253,-0.00015952702960930765,0.6564862728118896,0.72812420129776,-0.02777760848402977,0.6246961355209351,0.6377316117286682,-0.05571431666612625,0.6215782165527344,0.5589656233787537,-0.0879974365234375,0.6524800062179565,0.5165467262268066,-0.1267060935497284,0.6664358973503113,0.5512185096740723,-0.0050023458898067474,0.6461484432220459,0.4901602864265442,-0.049760524183511734,0.6293575763702393,0.5049194693565369,-0.0846896544098854,0.6224930286407471,0.5315319895744324,-0.10278724879026413,0.70125812292099,0.5354985594749451,-0.02292265184223652,0.6946454644203186,0.4314960539340973,-0.03877566382288933,0.6894658207893372,0.3586934804916382,-0.0669236108660698,0.6881405115127563,0.29329216480255127,-0.08883257955312729,0.7388749718666077,0.5495304465293884,-0.0494951531291008,0.7485661506652832,0.4486718773841858,-0.06786278635263443,0.7569264769554138,0.3762483596801758,-0.10073528438806534,0.7632759809494019,0.31216496229171753,-0.12920421361923218,0.7746121883392334,0.5874106287956238,-0.07934781908988953,0.8069582581520081,0.5143567323684692,-0.09903300553560257,0.830987274646759,0.46278178691864014,-0.11662793159484863,0.8493573069572449,0.41062381863594055,-0.13239654898643494
