left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.6561658978462219,0.9104653000831604,-0.00012702758249361068,0.6032730340957642,0.8603567481040955,-0.03413543105125427,0.5801122784614563,0.7694594264030457,-0.06289760023355484,0.6185163259506226,0.7112904191017151,-0.09283649921417236,0.6666062474250793,0.6747308969497681,-0.1103711873292923,0.6173703074455261,0.6443603038787842,-0.023182084783911705,0.591630220413208,0.5479849576950073,-0.05335945636034012,0.5767789483070374,0.48963963985443115,-0.07139554619789124,0.5695096254348755,0.43614470958709717,-0.08323445171117783,0.6663219928741455,0.6461016535758972,-0.037782419472932816,0.6878712177276611,0.5337265729904175,-0.06385012716054916,0.6998564004898071,0.461240291595459,-0.08417268842458725,0.7183439135551453,0.40186282992362976,-0.10293783992528915,0.6985893249511719,0.6853893995285034,-0.05817197263240814,0.6944789290428162,0.6109377145767212,-0.1203320100903511,0.6620397567749023,0.6663939356803894,-0.14390261471271515,0.6555768251419067,0.7140135765075684,-0.14232219755649567,0.7213647365570068,0.7373771667480469,-0.08087535947561264,0.7024417519569397,0.6859427094459534,-0.13199883699417114,0.6760408878326416,0.7276090383529663,-0.14668653905391693,0.6682613492012024,0.7676302790641785,-0.14495185017585754
Left,0.3413096070289612,0.8622026443481445,-0.0001064657189999707,0.39105361700057983,0.8286386728286743,-0.021560432389378548,0.42266789078712463,0.7616307735443115,-0.05061635002493858,0.41235044598579407,0.7007147669792175,-0.08560613542795181,0.38504257798194885,0.6548859477043152,-0.11405923217535019,0.39808762073516846,0.6507428288459778,-0.009815561585128307,0.4204344153404236,0.5693009495735168,-0.0386456660926342,0.43470513820648193,0.5237016677856445,-0.05616120994091034,0.44510746002197266,0.4838070273399353,-0.06521608680486679,0.35878586769104004,0.6427080035209656,-0.030938556417822838,0.35760948061943054,0.5484678745269775,-0.06354732066392899,0.3567263185977936,0.48722273111343384,-0.08626171201467514,0.35560667514801025,0.4367164969444275,-0.10535088181495667,0.3235134482383728,0.6657031774520874,-0.057026177644729614,0.3528321385383606,0.641871452331543,-0.11436063051223755,0.372559517621994,0.7060085535049438,-0.13056758046150208,0.3752697706222534,0.7523974180221558,-0.13410581648349762,0.29525503516197205,0.7000115513801575,-0.08471919596195221,0.3303976356983185,0.6894577741622925,-0.11977480351924896,0.35204416513442993,0.73735111951828,-0.12069080770015717,0.3595283031463623,0.7785331010818481,-0.11711734533309937
Left,0.11942414939403534,0.6974341869354248,-5.8923942560795695e-05,0.1710444986820221,0.6504327058792114,-0.03738779574632645,0.19307470321655273,0.5737395286560059,-0.05228396877646446,0.16520407795906067,0.5049401521682739,-0.06488964706659317,0.13127148151397705,0.4676722288131714,-0.06958315521478653,0.20592868328094482,0.48950937390327454,0.0006690737791359425,0.2313966453075409,0.4124657213687897,-0.01668720692396164,0.24280308187007904,0.36312752962112427,-0.02267983742058277,0.24808642268180847,0.32225364446640015,-0.024229612201452255,0.16504952311515808,0.47616779804229736,0.0015455198008567095,0.1673918515443802,0.3813040852546692,-0.009145415388047695,0.16611157357692719,0.3219617009162903,-0.016187872737646103,0.1619100570678711,0.27486494183540344,-0.018074054270982742,0.12709109485149384,0.49941486120224,-0.006102337036281824,0.1246950551867485,0.43728333711624146,-0.04930553957819939,0.13529421389102936,0.49603399634361267,-0.07404492795467377,0.1388966143131256,0.5365527868270874,-0.07477336376905441,0.09331842511892319,0.5384829044342041,-0.015079710632562637,0.09853576868772507,0.49518653750419617,-0.06075628101825714,0.11130674928426743,0.5388007760047913,-0.08359044790267944,0.11780480295419693,0.5742064714431763,-0.08725731819868088
Right,0.7935344576835632,0.8458799123764038,-0.00014760083286091685,0.7376043200492859,0.8036144375801086,-0.05433102324604988,0.7043430209159851,0.7139496803283691,-0.09692692756652832,0.7540258765220642,0.6532112956047058,-0.13474279642105103,0.811177670955658,0.6044966578483582,-0.15876401960849762,0.7235279083251953,0.5657505989074707,-0.043455060571432114,0.6972740888595581,0.45981964468955994,-0.07970909029245377,0.6846898198127747,0.3935626149177551,-0.09633764624595642,0.6814028024673462,0.33535799384117126,-0.10578892379999161,0.7784953117370605,0.5577844977378845,-0.046568408608436584,0.7929432988166809,0.44136542081832886,-0.07326018810272217,0.8058147430419922,0.37385275959968567,-0.08515194803476334,0.8238688707351685,0.31928208470344543,-0.09220114350318909,0.8219966292381287,0.590421736240387,-0.05760360509157181,0.8232119083404541,0.5441852807998657,-0.11999176442623138,0.7979069352149963,0.6197741627693176,-0.14807535707950592,0.7886518239974976,0.6727674603462219,-0.14559756219387054,0.8599254488945007,0.6396294236183167,-0.07237372547388077,0.8509364724159241,0.6039962768554688,-0.11820848286151886,0.8285377621650696,0.6547547578811646,-0.13426750898361206,0.8155802488327026,0.695990800857544,-0.12970077991485596
Right,0.5873675346374512,0.9609028697013855,-6.140598998172209e-05,0.5288419723510742,0.9416613578796387,-0.06361665576696396,0.4974794387817383,0.8775449395179749,-0.13798581063747406,0.5469914078712463,0.8706537485122681,-0.20817996561527252,0.6019503474235535,0.8454075455665588,-0.2510298192501068,0.5271506309509277,0.6985259056091309,-0.1104729175567627,0.5046972036361694,0.5864773988723755,-0.1785133183002472,0.49298524856567383,0.5169730186462402,-0.21661333739757538,0.486319363117218,0.4465765357017517,-0.23713329434394836,0.5874545574188232,0.6982571482658386,-0.12441495060920715,0.6227096319198608,0.5777318477630615,-0.1891373246908188,0.6510167717933655,0.4993077516555786,-0.22172453999519348,0.6796069145202637,0.4272390902042389,-0.24160143733024597,0.6312732696533203,0.7417615652084351,-0.14377006888389587,0.6415759325027466,0.7206605076789856,-0.24134527146816254,0.6113913655281067,0.788051962852478,-0.2652469873428345,0.5920721292495728,0.8359941244125366,-0.2576889097690582,0.6651374697685242,0.8043789267539978,-0.16671918332576752,0.6591482162475586,0.7908074259757996,-0.23642100393772125,0.6289717555046082,0.8345251083374023,-0.25825944542884827,0.6042278409004211,0.8738232851028442,-0.2538885176181793
Left,0.21933485567569733,0.944532036781311,-6.149682303657755e-05,0.2680903971195221,0.9085924625396729,-0.026493970304727554,0.2982965111732483,0.8363497257232666,-0.04911872372031212,0.2839461863040924,0.7784664034843445,-0.07963050156831741,0.2536565959453583,0.7346933484077454,-0.10359787195920944,0.28080442547798157,0.724885880947113,-0.0055175721645355225,0.30551373958587646,0.6483007669448853,-0.03258592262864113,0.31979304552078247,0.5996768474578857,-0.04563172161579132,0.32905417680740356,0.5573846697807312,-0.05025441572070122,0.23807574808597565,0.7185796499252319,-0.0235526692122221,0.22635388374328613,0.6264324188232422,-0.0515797883272171,0.2199893295764923,0.5656683444976807,-0.06853930652141571,0.21352051198482513,0.5149215459823608,-0.08162085711956024,0.20128411054611206,0.745293915271759,-0.04900527372956276,0.21405178308486938,0.7039163112640381,-0.113957479596138,0.23954184353351593,0.7647855877876282,-0.14060263335704803,0.2514033913612366,0.8159541487693787,-0.14550064504146576,0.16896580159664154,0.7844698429107666,-0.07557451725006104,0.19335587322711945,0.7647309303283691,-0.12818552553653717,0.2190362513065338,0.8112637996673584,-0.14621584117412567,0.23593483865261078,0.8530591726303101,-0.15152086317539215
Right,0.5672183036804199,0.881531834602356,-0.00014921146794222295,0.5143092274665833,0.8333086371421814,-0.05151801183819771,0.49923941493034363,0.7547975778579712,-0.10115448385477066,0.5404021739959717,0.7116276025772095,-0.1452358514070511,0.5869644284248352,0.6706390976905823,-0.17808404564857483,0.5296239852905273,0.5876451730728149,-0.08177243918180466,0.5098645091056824,0.48240503668785095,-0.122544065117836,0.494439959526062,0.4141203761100769,-0.14930866658687592,0.483196884393692,0.35286131501197815,-0.1710662692785263,0.5844802260398865,0.5946571230888367,-0.09235238283872604,0.6256223917007446,0.48391202092170715,-0.1292215883731842,0.6513847708702087,0.4165753424167633,-0.15133704245090485,0.6784549355506897,0.36232975125312805,-0.17325296998023987,0.6180105209350586,0.6430312991142273,-0.10532933473587036,0.6265134215354919,0.5893658399581909,-0.1688704639673233,0.5932348966598511,0.6450640559196472,-0.1894371211528778,0.5809360146522522,0.6877393126487732,-0.1911599040031433,0.6404340267181396,0.7053596377372742,-0.12234236299991608,0.6305402517318726,0.6718443632125854,-0.17676685750484467,0.6008837819099426,0.7159758806228638,-0.1954735517501831,0.5853121280670166,0.7555617690086365,-0.19521456956863403
Left,0.22811487317085266,0.9403814673423767,-6.813072832301259e-05,0.28313112258911133,0.9076259136199951,-0.034290581941604614,0.32234635949134827,0.8323236107826233,-0.06318692862987518,0.3050793707370758,0.7650879621505737,-0.09559215605258942,0.2650955617427826,0.7130155563354492,-0.12059527635574341,0.302184134721756,0.711628258228302,-0.016799984499812126,0.33070504665374756,0.6236046552658081,-0.04783520847558975,0.3456532955169678,0.5714749097824097,-0.062240537256002426,0.35571181774139404,0.5241858959197998,-0.06564928591251373,0.2539043426513672,0.702422022819519,-0.0318903923034668,0.2448924034833908,0.5992211103439331,-0.062306445091962814,0.2365872859954834,0.5302550196647644,-0.07922284305095673,0.22790402173995972,0.4737758934497833,-0.09288432449102402,0.2142833024263382,0.7277742028236389,-0.053328026086091995,0.2321997433900833,0.6932088136672974,-0.12324513494968414,0.25671660900115967,0.7622336745262146,-0.14657355844974518,0.2646235227584839,0.8169949054718018,-0.1488916277885437,0.17973864078521729,0.7654687762260437,-0.07806984335184097,0.20625479519367218,0.7476873993873596,-0.13053810596466064,0.2297256737947464,0.8005664348602295,-0.14617791771888733,0.2423625886440277,0.8451757431030273,-0.14761286973953247
Right,0.6772522330284119,0.777151346206665,-0.00010280487913405523,0.6224024295806885,0.7349168062210083,-0.06200315058231354,0.6078647971153259,0.6347397565841675,-0.12087709456682205,0.6723647117614746,0.5932998061180115,-0.1683429479598999,0.7266839146614075,0.5385879874229431,-0.19460198283195496,0.6414627432823181,0.46573835611343384,-0.11664870381355286,0.6161489486694336,0.342430055141449,-0.1783888339996338,0.6002407073974609,0.26344603300094604,-0.21417786180973053,0.5932614803314209,0.19500163197517395,-0.23901212215423584,0.7040789127349854,0.47110244631767273,-0.12676256895065308,0.7404026389122009,0.3407619893550873,-0.18568550050258636,0.7680056095123291,0.2588953971862793,-0.21496520936489105,0.800087034702301,0.1943003535270691,-0.2382672280073166,0.7438730597496033,0.5228856801986694,-0.1393216997385025,0.7622714638710022,0.4618934392929077,-0.22003372013568878,0.7277222871780396,0.5260701775550842,-0.24432037770748138,0.7097555994987488,0.5777695178985596,-0.24374599754810333,0.7699886560440063,0.5944324135780334,-0.15591128170490265,0.7655462026596069,0.5569223165512085,-0.22275692224502563,0.7326149344444275,0.6015006303787231,-0.24243083596229553,0.7107717394828796,0.6446623802185059,-0.23755867779254913
Left,0.2645736038684845,0.8491335511207581,-0.00011826944682979956,0.32808199524879456,0.8170041441917419,-0.05334234610199928,0.3666214048862457,0.7284997701644897,-0.08732116967439651,0.33818379044532776,0.6478139758110046,-0.11779384315013885,0.292270302772522,0.5843634009361267,-0.13636909425258636,0.3498004972934723,0.5877158045768738,-0.04243230074644089,0.3848358988761902,0.48290008306503296,-0.08498983085155487,0.4053216576576233,0.41632628440856934,-0.10342010855674744,0.4195106625556946,0.35981476306915283,-0.11072973906993866,0.2925628423690796,0.578517496585846,-0.05218019708991051,0.2835173010826111,0.4483676552772522,-0.09668990969657898,0.27621543407440186,0.3582625985145569,-0.12442624568939209,0.26756277680397034,0.28729116916656494,-0.14849409461021423,0.2461034059524536,0.6085530519485474,-0.06746917963027954,0.25819915533065796,0.5677803754806519,-0.150636225938797,0.2838291823863983,0.6527949571609497,-0.16087563335895538,0.291210412979126,0.7144996523857117,-0.15263116359710693,0.2065533846616745,0.6528196930885315,-0.08745153993368149,0.22904327511787415,0.6213969588279724,-0.14823715388774872,0.2523528039455414,0.685530424118042,-0.15649166703224182,0.2623203694820404,0.7365682125091553,-0.15035098791122437
