left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.6720799207687378,0.6433079242706299,-7.385684148175642e-05,0.5993978381156921,0.6747269034385681,0.07112636417150497,0.5361655354499817,0.7009736895561218,0.0651300922036171,0.49355214834213257,0.7308582067489624,0.035423580557107925,0.4679737091064453,0.7674806118011475,0.0014997576363384724,0.4916757643222809,0.6478689312934875,-0.0027539099100977182,0.43201717734336853,0.6488487124443054,-0.030677467584609985,0.40921762585639954,0.6941174864768982,-0.04556989669799805,0.41044843196868896,0.7353375554084778,-0.049641575664281845,0.5104062557220459,0.6458383798599243,-0.0505390502512455,0.48216062784194946,0.746565580368042,-0.05053621530532837,0.488565057516098,0.797917902469635,-0.03550625964999199,0.49624207615852356,0.8073709011077881,-0.03223427012562752,0.5402690768241882,0.6630682945251465,-0.0954829528927803,0.5218384265899658,0.7781805396080017,-0.08649955689907074,0.5462128520011902,0.7830148339271545,-0.07381509244441986,0.5540115237236023,0.7501035928726196,-0.0717003270983696,0.5710735321044922,0.6922345757484436,-0.13479764759540558,0.5624675154685974,0.7920088768005371,-0.11057224869728088,0.5823608636856079,0.7836560606956482,-0.09051927179098129,0.5882203578948975,0.7471626996994019,-0.08343076705932617
Right,0.806378185749054,0.6846003532409668,-2.249695171485655e-05,0.7253222465515137,0.7225573658943176,0.03700365498661995,0.6662906408309937,0.7275094389915466,0.01764390803873539,0.6269108057022095,0.7330695390701294,-0.02160654589533806,0.6043163537979126,0.7365665435791016,-0.06884375959634781,0.6317905187606812,0.6419052481651306,-0.053639862686395645,0.5828460454940796,0.617984414100647,-0.11553576588630676,0.5640383362770081,0.6545395255088806,-0.14706742763519287,0.567091166973114,0.6964463591575623,-0.1562885046005249,0.660734236240387,0.6189634203910828,-0.09524241834878922,0.6382666826248169,0.6828851103782654,-0.14644557237625122,0.6421021223068237,0.7302190661430359,-0.14839036762714386,0.6524496674537659,0.741777241230011,-0.14191149175167084,0.7027485370635986,0.6197323799133301,-0.1359153389930725,0.6812024116516113,0.7024884819984436,-0.178279846906662,0.6849001049995422,0.7373250126838684,-0.16889312863349915,0.690510630607605,0.7369794845581055,-0.15347743034362793,0.7463112473487854,0.6353975534439087,-0.1725260466337204,0.7253127098083496,0.7060810327529907,-0.19974757730960846,0.7189707159996033,0.7344518303871155,-0.20238356292247772,0.7157025337219238,0.7379775047302246,-0.19790302217006683
Left,0.332955002784729,0.6386213898658752,-5.0506390834925696e-05,0.36537760496139526,0.6770929098129272,-0.008337614126503468,0.3988218605518341,0.6892120242118835,-0.02290182188153267,0.4205884039402008,0.6936124563217163,-0.04103294759988785,0.43446654081344604,0.6935746669769287,-0.06045030802488327,0.4276745021343231,0.6244986057281494,-0.0210297591984272,0.4570814371109009,0.6085150241851807,-0.05130824074149132,0.4771406948566437,0.6162449717521667,-0.07063528150320053,0.49045923352241516,0.6332533955574036,-0.08203845471143723,0.4154719114303589,0.6031157970428467,-0.03228320926427841,0.4478317201137543,0.5892558097839355,-0.06659916043281555,0.4690813720226288,0.6019853353500366,-0.0863410234451294,0.4838657081127167,0.6249095797538757,-0.09636170417070389,0.3967077136039734,0.5917892456054688,-0.045446619391441345,0.4140265882015228,0.6325635313987732,-0.08290216326713562,0.41189607977867126,0.6730406284332275,-0.09403388947248459,0.4064739942550659,0.7040143013000488,-0.09496260434389114,0.37609174847602844,0.5899574160575867,-0.059920474886894226,0.38734889030456543,0.6332544088363647,-0.08524483442306519,0.3842777907848358,0.663341224193573,-0.08995085954666138,0.37830156087875366,0.6856686472892761,-0.08692819625139236
Left,0.18390968441963196,0.4025305211544037,-4.442544741323218e-05,0.2202037274837494,0.4375695586204529,-0.01680954359471798,0.27098149061203003,0.44227439165115356,-0.036006584763526917,0.2939881682395935,0.4120982885360718,-0.05421188846230507,0.2855154275894165,0.3788520097732544,-0.07342232018709183,0.2821028530597687,0.4170224964618683,-0.06089789792895317,0.3145848512649536,0.3757774531841278,-0.09144436568021774,0.3296492099761963,0.3715210258960724,-0.09875641763210297,0.3329816460609436,0.3826122283935547,-0.09711339324712753,0.26771533489227295,0.39579054713249207,-0.06245410069823265,0.29449307918548584,0.37416163086891174,-0.09173144400119781,0.29362285137176514,0.3869227468967438,-0.08891806751489639,0.28334590792655945,0.4043388366699219,-0.08518937975168228,0.2479715347290039,0.3802067041397095,-0.06373896449804306,0.2703227698802948,0.3827382028102875,-0.08624936640262604,0.2632918059825897,0.3995662033557892,-0.07416299730539322,0.24947284162044525,0.4122825264930725,-0.06363464146852493,0.22671560943126678,0.3705125153064728,-0.06717205047607422,0.2441088706254959,0.3853548765182495,-0.07442519068717957,0.2410416305065155,0.40072086453437805,-0.06605083495378494,0.23288226127624512,0.4097750782966614,-0.05988902971148491
Right,0.7201382517814636,0.49425411224365234,-3.423132875468582e-05,0.656701922416687,0.548216700553894,0.03859229013323784,0.6025010347366333,0.5666972994804382,0.03468868136405945,0.5680424571037292,0.577904462814331,0.008287124335765839,0.5462662577629089,0.5951036214828491,-0.03233402594923973,0.5434123277664185,0.5055475831031799,0.0064419847913086414,0.4799084961414337,0.5072171092033386,-0.034671541303396225,0.45821112394332886,0.5448006391525269,-0.06864164769649506,0.4674508273601532,0.5790611505508423,-0.08648866415023804,0.5565901398658752,0.47931820154190063,-0.0262884683907032,0.517946720123291,0.5424395799636841,-0.05515545606613159,0.5251446962356567,0.5983462929725647,-0.06256281584501266,0.5483835935592651,0.626498281955719,-0.06177129969000816,0.5845460295677185,0.4712212383747101,-0.05758056044578552,0.5673857927322388,0.5553635358810425,-0.08296774327754974,0.5889220237731934,0.5962861776351929,-0.08770239353179932,0.6075571179389954,0.6069149971008301,-0.08817724138498306,0.6173374056816101,0.47360676527023315,-0.08502980321645737,0.6109128594398499,0.5539208650588989,-0.09270636737346649,0.6231001615524292,0.5845043063163757,-0.09023966640233994,0.632988691329956,0.5879371166229248,-0.08546146005392075
Left,0.31163495779037476,0.6360703706741333,-0.00013991001469548792,0.3780791461467743,0.6992166042327881,0.07547146081924438,0.4340870976448059,0.7205593585968018,0.07693152874708176,0.4718615412712097,0.7462894916534424,0.05335277318954468,0.5014556646347046,0.7650144696235657,0.026189373806118965,0.4984833598136902,0.6733821630477905,0.035330332815647125,0.5554201602935791,0.6853655576705933,0.014102841727435589,0.5719218254089355,0.7301214933395386,0.006187752354890108,0.5677134990692139,0.7686457633972168,-0.0003738480736501515,0.48575183749198914,0.6558778882026672,-0.0215778648853302,0.4958650767803192,0.7583181262016296,-0.032389361411333084,0.4635811746120453,0.7879502177238464,-0.03127695620059967,0.44274961948394775,0.7840904593467712,-0.034487318247556686,0.46254855394363403,0.6551872491836548,-0.07550551742315292,0.46243229508399963,0.7657001614570618,-0.07712022960186005,0.4282180666923523,0.7641764283180237,-0.05515949800610542,0.4092201292514801,0.7394387722015381,-0.049471814185380936,0.4338153600692749,0.6611903309822083,-0.12566649913787842,0.42907214164733887,0.7496345043182373,-0.10620497912168503,0.40445664525032043,0.7449570298194885,-0.0864398330450058,0.39169740676879883,0.7167184352874756,-0.0805635079741478
Right,0.782371997833252,0.6402833461761475,-5.139906716067344e-05,0.7275683879852295,0.6737321019172668,0.04457636922597885,0.6812154650688171,0.685067355632782,0.033261798322200775,0.6521477699279785,0.704037070274353,0.00215464411303401,0.6358551979064941,0.7228144407272339,-0.03567490354180336,0.6416863799095154,0.6183587908744812,-0.0010049187112599611,0.5933089852333069,0.6249188780784607,-0.03198404610157013,0.5785812735557556,0.6598339676856995,-0.05593125522136688,0.5847978591918945,0.6892485618591309,-0.06684038788080215,0.6559292078018188,0.6017425060272217,-0.03658333048224449,0.6405957341194153,0.6782165169715881,-0.05302024632692337,0.6621873378753662,0.7006772756576538,-0.04163576662540436,0.6739894151687622,0.6877055764198303,-0.03139982372522354,0.6797387599945068,0.6037511825561523,-0.07342562824487686,0.6674249768257141,0.6821839809417725,-0.08061607927083969,0.6893141865730286,0.692778468132019,-0.06328503787517548,0.6969841718673706,0.6743577122688293,-0.05444765090942383,0.705563485622406,0.6138882637023926,-0.10739380866289139,0.6957322955131531,0.6829273700714111,-0.09734790772199631,0.7099677920341492,0.6916975975036621,-0.0829392522573471,0.71601402759552,0.674390971660614,-0.07730811834335327
Left,0.16403818130493164,0.4861949682235718,-0.00013263497385196388,0.24581626057624817,0.5436626076698303,0.034667517989873886,0.3145867884159088,0.5582996010780334,0.017408184707164764,0.3585840165615082,0.5602585077285767,-0.0168540570884943,0.3834822475910187,0.5357199311256409,-0.05258987471461296,0.3615624010562897,0.44225043058395386,-0.004184070508927107,0.42206722497940063,0.43090569972991943,-0.05849740654230118,0.4478076994419098,0.46706733107566833,-0.08906135708093643,0.4517873525619507,0.5133751034736633,-0.10604830086231232,0.33831509947776794,0.4058002531528473,-0.0510278195142746,0.3610883951187134,0.4935813546180725,-0.10323337465524673,0.32040202617645264,0.5275796055793762,-0.099807009100914,0.30055007338523865,0.5107173323631287,-0.09231067448854446,0.304844468832016,0.3955480456352234,-0.10325531661510468,0.3295809328556061,0.4833349883556366,-0.14876481890678406,0.2939298152923584,0.5113022327423096,-0.13114798069000244,0.27734142541885376,0.4945826232433319,-0.11744087934494019,0.2694207429885864,0.4028857350349426,-0.15295696258544922,0.2907699644565582,0.4753938913345337,-0.174110546708107,0.2675921320915222,0.5006473064422607,-0.16122077405452728,0.25130611658096313,0.48439010977745056,-0.15308767557144165
Right,0.6943020224571228,0.5718655586242676,-0.00011581923899939284,0.6296036243438721,0.6040084362030029,0.05850806087255478,0.5701088905334473,0.621191143989563,0.05245088413357735,0.5284976959228516,0.6316146850585938,0.02084232121706009,0.5057996511459351,0.6308789849281311,-0.02169237844645977,0.5113762021064758,0.5662314295768738,0.017550403252243996,0.4474429190158844,0.5191481113433838,-0.007780065760016441,0.42253464460372925,0.5407121777534485,-0.028994014486670494,0.41602495312690735,0.5784286260604858,-0.04256255179643631,0.5259130001068115,0.5521320700645447,-0.035899169743061066,0.49784883856773376,0.5276573300361633,-0.06074441596865654,0.5260193347930908,0.5507504343986511,-0.06652066856622696,0.5424845218658447,0.5600667595863342,-0.0637439414858818,0.5509852766990662,0.5459845066070557,-0.087282195687294,0.5249567627906799,0.5259695649147034,-0.09584279358386993,0.5551308989524841,0.5500605702400208,-0.08055514097213745,0.5688506364822388,0.5593616962432861,-0.07337544858455658,0.5814705491065979,0.544564962387085,-0.1379629522562027,0.5618529319763184,0.5334377884864807,-0.13487489521503448,0.5813813209533691,0.5542485117912292,-0.12328057736158371,0.5910850167274475,0.5633816123008728,-0.11852902919054031
Left,0.22548767924308777,0.7353225350379944,-0.00012562985648401082,0.29163071513175964,0.7781411409378052,0.04961521923542023,0.3503466844558716,0.7856165170669556,0.04370512440800667,0.3896280825138092,0.7854730486869812,0.01818940043449402,0.40956252813339233,0.7675049304962158,-0.007807139772921801,0.39805087447166443,0.6894130706787109,0.019328836351633072,0.4537263512611389,0.6916319131851196,-0.008579837158322334,0.4748461842536926,0.7215114831924438,-0.024966157972812653,0.4764626622200012,0.7531936168670654,-0.03508613631129265,0.385208398103714,0.6659975647926331,-0.029556792229413986,0.40938836336135864,0.7615867853164673,-0.052794743329286575,0.37420743703842163,0.7806512117385864,-0.04521458223462105,0.3536730706691742,0.758651614189148,-0.04071592167019844,0.363050252199173,0.6651437282562256,-0.08057426661252975,0.3881549537181854,0.7606884241104126,-0.09896308183670044,0.353687584400177,0.7716938853263855,-0.07793305069208145,0.334464967250824,0.7498407959938049,-0.06890670955181122,0.337080717086792,0.6798433065414429,-0.12923571467399597,0.35682570934295654,0.7545799016952515,-0.12636397778987885,0.33174508810043335,0.7650641202926636,-0.10911552608013153,0.3124849796295166,0.7434232234954834,-0.10308893024921417
