left_or_right,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIPPINKY_TIP.x,PINKY_TIPPINKY_TIP.y,PINKY_TIPPINKY_TIP.z
Right,0.7070454955101013,0.8441002368927002,-4.748558785649948e-05,0.6474927067756653,0.8083872199058533,-0.0523395761847496,0.6007905006408691,0.7395808100700378,-0.10269006341695786,0.6163375377655029,0.6869440078735352,-0.14780791103839874,0.6582351922988892,0.6476030349731445,-0.18164539337158203,0.63209468126297,0.6139522790908813,-0.056666936725378036,0.6235902309417725,0.5016747713088989,-0.105721116065979,0.6211380362510681,0.4342150092124939,-0.13623875379562378,0.6228711009025574,0.37437766790390015,-0.15163370966911316,0.6817302703857422,0.6199212074279785,-0.06599694490432739,0.6652098298072815,0.5937469005584717,-0.1572614312171936,0.6566112041473389,0.6775034070014954,-0.17918892204761505,0.6584218740463257,0.7126140594482422,-0.1703479290008545,0.7253327369689941,0.6389620900154114,-0.08324440568685532,0.7111201882362366,0.6194992661476135,-0.1627262532711029,0.6972360610961914,0.6959760189056396,-0.17280647158622742,0.6961542367935181,0.7267414331436157,-0.16110409796237946,0.766956090927124,0.6676740050315857,-0.1069878339767456,0.7559340596199036,0.6468871831893921,-0.15810994803905487,0.7373948693275452,0.7015706896781921,-0.17300917208194733,0.7315153479576111,0.7266034483909607,-0.17136076092720032
Left,0.26668328046798706,0.8989802002906799,-0.0001357242144877091,0.32465359568595886,0.8666269183158875,-0.026871513575315475,0.37766125798225403,0.8047089576721191,-0.06154653802514076,0.39182716608047485,0.7413358688354492,-0.10173460841178894,0.3581145703792572,0.7090255618095398,-0.13483911752700806,0.3356076180934906,0.6920377016067505,-0.01318846270442009,0.34383344650268555,0.602871298789978,-0.0502336286008358,0.3517118990421295,0.5448480248451233,-0.07989121228456497,0.3569650650024414,0.4911438226699829,-0.09737272560596466,0.29598546028137207,0.691703736782074,-0.028987647965550423,0.3307008147239685,0.6749342083930969,-0.1012149229645729,0.33264869451522827,0.7449136972427368,-0.11837834864854813,0.3209684491157532,0.7810802459716797,-0.11050555855035782,0.25992706418037415,0.7047060132026672,-0.05377451702952385,0.29782021045684814,0.705689549446106,-0.11920229345560074,0.30054908990859985,0.7702614665031433,-0.12347549200057983,0.2889074981212616,0.7993200421333313,-0.11280900239944458,0.22387102246284485,0.7266559600830078,-0.08288686722517014,0.2578766942024231,0.7105491161346436,-0.1133582815527916,0.2699773609638214,0.757339358329773,-0.11302630603313446,0.2637196481227875,0.7853307723999023,-0.10640463978052139
Right,0.713238000869751,0.8731401562690735,-7.110004662536085e-05,0.6644167304039001,0.8474936485290527,-0.04793613776564598,0.6248899698257446,0.7976035475730896,-0.10338674485683441,0.6363102793693542,0.7504823207855225,-0.1550299972295761,0.6719174981117249,0.7126984000205994,-0.19945289194583893,0.6424038410186768,0.6773272752761841,-0.06574732065200806,0.637367844581604,0.5825164914131165,-0.12547923624515533,0.6395803689956665,0.5229650735855103,-0.16232983767986298,0.6461554765701294,0.4648169279098511,-0.18074065446853638,0.6855284571647644,0.6725686192512512,-0.07556997239589691,0.6785442233085632,0.661268413066864,-0.1593254655599594,0.6715641021728516,0.7338707447052002,-0.16643889248371124,0.6697639226913452,0.7447065114974976,-0.14640973508358002,0.7254441380500793,0.6857231259346008,-0.09370174258947372,0.7228344678878784,0.6774325370788574,-0.16429093480110168,0.7110379338264465,0.742527186870575,-0.16365031898021698,0.7082900404930115,0.7497835755348206,-0.14849069714546204,0.7609659433364868,0.7083193063735962,-0.11855950951576233,0.7594338655471802,0.7056856155395508,-0.15809470415115356,0.7436625361442566,0.7535499930381775,-0.16677334904670715,0.7374463081359863,0.7606374621391296,-0.16419854760169983
Left,0.28568801283836365,0.8754111528396606,-0.00011862639075843617,0.3406808078289032,0.8333755731582642,-0.013896830379962921,0.38653433322906494,0.7754877805709839,-0.04195864871144295,0.3926604688167572,0.7185263633728027,-0.07804832607507706,0.36061224341392517,0.6859042644500732,-0.10714589804410934,0.35130664706230164,0.6636592745780945,0.007856296375393867,0.35737958550453186,0.5749564170837402,-0.015047796070575714,0.3622530400753021,0.5233579277992249,-0.030639560893177986,0.363998681306839,0.47685861587524414,-0.03944499418139458,0.31868186593055725,0.6647318601608276,-0.015831630676984787,0.35446247458457947,0.6378804445266724,-0.07396520674228668,0.35913193225860596,0.699747622013092,-0.0902143344283104,0.34826233983039856,0.7393216490745544,-0.08684034645557404,0.2884056270122528,0.6776459217071533,-0.047022320330142975,0.3240848779678345,0.655101478099823,-0.0992346927523613,0.3319106996059418,0.7133501172065735,-0.10456026345491409,0.3229885995388031,0.7515912652015686,-0.09657229483127594,0.25847768783569336,0.7002089023590088,-0.0806240513920784,0.287332683801651,0.6718652248382568,-0.11005162447690964,0.30267685651779175,0.7084497213363647,-0.11412394046783447,0.2996310591697693,0.7406004667282104,-0.11264440417289734
Right,0.8179484009742737,0.6928683519363403,-5.272398630040698e-05,0.7759440541267395,0.6730437278747559,-0.06331286579370499,0.7473905682563782,0.6166588664054871,-0.11538447439670563,0.7854824662208557,0.5796669721603394,-0.15535931289196014,0.824036180973053,0.5362337827682495,-0.17198972404003143,0.7489147782325745,0.48935621976852417,-0.08117099106311798,0.7451703548431396,0.3979722857475281,-0.13745926320552826,0.7478725910186768,0.3463694453239441,-0.16294164955615997,0.7542521953582764,0.29887115955352783,-0.17601445317268372,0.7882118225097656,0.48450767993927,-0.0805094987154007,0.8058939576148987,0.48485267162323,-0.17028312385082245,0.8036432266235352,0.5536752939224243,-0.1919206827878952,0.7906980514526367,0.5786203145980835,-0.18566542863845825,0.8229762315750122,0.49918562173843384,-0.08631306886672974,0.8391432166099548,0.5113971829414368,-0.16319073736667633,0.8290121555328369,0.5707929134368896,-0.17030851542949677,0.8161672353744507,0.5862318277359009,-0.15652237832546234,0.8492333292961121,0.5296197533607483,-0.10131463408470154,0.8607838749885559,0.5442026257514954,-0.14933902025222778,0.8470523357391357,0.5845812559127808,-0.16817614436149597,0.8307756185531616,0.5941426157951355,-0.16605119407176971
Left,0.18801377713680267,0.7045437693595886,-0.00010060607746709138,0.23568277060985565,0.6827555894851685,-0.024417566135525703,0.27356475591659546,0.6347061991691589,-0.05488322302699089,0.2684336304664612,0.5783795118331909,-0.08561976253986359,0.2440323531627655,0.5400155782699585,-0.1128033921122551,0.2575433850288391,0.5477284789085388,-0.01758207194507122,0.27016034722328186,0.4698346257209778,-0.0418488010764122,0.27675190567970276,0.42437684535980225,-0.061977870762348175,0.2791968286037445,0.3842426538467407,-0.07866612076759338,0.22030127048492432,0.5412623882293701,-0.029433615505695343,0.2406434565782547,0.5111261010169983,-0.08720322698354721,0.24123844504356384,0.5701119899749756,-0.10379889607429504,0.23524971306324005,0.6023437976837158,-0.10094692558050156,0.18535301089286804,0.5470455288887024,-0.0456027053296566,0.2090412676334381,0.5381109118461609,-0.093894824385643,0.2121577262878418,0.5968092083930969,-0.09769392013549805,0.20647835731506348,0.6228219270706177,-0.09038537740707397,0.15090100467205048,0.5599666237831116,-0.06491586565971375,0.17550082504749298,0.54889976978302,-0.09070417284965515,0.18372638523578644,0.5932926535606384,-0.08969969302415848,0.1779901534318924,0.6147439479827881,-0.08610731363296509
Right,0.7457276582717896,0.8674005270004272,-6.734838825650513e-05,0.7019655108451843,0.8600651621818542,-0.04646240174770355,0.6649530529975891,0.8249582052230835,-0.0949605405330658,0.6702585816383362,0.7888213396072388,-0.1385262906551361,0.6966856122016907,0.754305899143219,-0.1738675832748413,0.6642862558364868,0.704735279083252,-0.06602591276168823,0.6566166281700134,0.6125075817108154,-0.11642346531152725,0.6569047570228577,0.5601130723953247,-0.1469630002975464,0.6610339879989624,0.5139641761779785,-0.1642930656671524,0.7030782103538513,0.6970598101615906,-0.07337450981140137,0.6983625888824463,0.67918461561203,-0.1536267250776291,0.6940248608589172,0.7517528533935547,-0.16525307297706604,0.6922498941421509,0.7763196229934692,-0.1534862071275711,0.7409350275993347,0.7056092023849487,-0.08760199695825577,0.7375891208648682,0.6930784583091736,-0.15727491676807404,0.7315887212753296,0.7581847906112671,-0.15662698447704315,0.7309902906417847,0.7782413363456726,-0.1440378874540329,0.777123212814331,0.7219859957695007,-0.10731182247400284,0.7770013809204102,0.706577479839325,-0.15123692154884338,0.767147958278656,0.7542181611061096,-0.15648773312568665,0.7634530067443848,0.7721841335296631,-0.15115812420845032
Left,0.3271549642086029,0.8795549869537354,-5.2374674851307645e-05,0.380104660987854,0.8663632273674011,-0.013321734964847565,0.42264288663864136,0.8189548850059509,-0.04345843940973282,0.44121554493904114,0.7704917788505554,-0.07813481986522675,0.44083598256111145,0.7244259715080261,-0.10543983429670334,0.40035563707351685,0.7141820192337036,-0.04241431504487991,0.42729058861732483,0.7168778777122498,-0.08315249532461166,0.4191986322402954,0.7705583572387695,-0.08346279710531235,0.40707293152809143,0.7905028462409973,-0.07437802106142044,0.3696579933166504,0.7072469592094421,-0.059762902557849884,0.40012285113334656,0.7239748239517212,-0.12001556903123856,0.39205077290534973,0.7843700647354126,-0.12479571253061295,0.37918397784233093,0.7934096455574036,-0.11581411212682724,0.3383551239967346,0.7168564796447754,-0.08149264752864838,0.3692154586315155,0.7359544038772583,-0.13013169169425964,0.3674956262111664,0.7919729948043823,-0.11970476806163788,0.3566572070121765,0.8007258772850037,-0.10589371621608734,0.30838441848754883,0.7386900782585144,-0.10472175478935242,0.33634504675865173,0.7513206601142883,-0.13318388164043427,0.3397877514362335,0.7937080264091492,-0.13124506175518036,0.3315730094909668,0.8075060248374939,-0.12639720737934113
Right,0.5231220126152039,0.9391985535621643,-4.1351362597197294e-05,0.46716201305389404,0.9005216956138611,-0.024090515449643135,0.4310302436351776,0.849757730960846,-0.07198099792003632,0.41868117451667786,0.8168390393257141,-0.13010862469673157,0.4358682930469513,0.7986319661140442,-0.19421565532684326,0.4649125635623932,0.709273636341095,-0.034392356872558594,0.4497668147087097,0.6289964914321899,-0.08919957280158997,0.44026070833206177,0.5757114291191101,-0.11980943381786346,0.4332726001739502,0.5227997899055481,-0.1367853432893753,0.5123708844184875,0.705730676651001,-0.05732050910592079,0.4607946574687958,0.7169560790061951,-0.13368822634220123,0.4566182494163513,0.7974564433097839,-0.13986694812774658,0.4719741940498352,0.8267809748649597,-0.11679994314908981,0.5522855520248413,0.7263821363449097,-0.08979678153991699,0.5011793971061707,0.744293749332428,-0.16052235662937164,0.4949311316013336,0.8114073872566223,-0.15488897264003754,0.5068572759628296,0.8359659910202026,-0.12963378429412842,0.5886420011520386,0.7612730264663696,-0.1260208636522293,0.5493242144584656,0.7664330005645752,-0.16717329621315002,0.5305826663970947,0.8108025789260864,-0.16701224446296692,0.5331740975379944,0.829471230506897,-0.1536502093076706
Left,0.21979795396327972,0.6657676696777344,-9.355176734970883e-05,0.2646273374557495,0.6367507576942444,-0.03374045342206955,0.2950934171676636,0.5859014391899109,-0.06411988288164139,0.2887706458568573,0.5367273092269897,-0.09291228652000427,0.26475122570991516,0.5070906281471252,-0.11920761317014694,0.2761649191379547,0.5004879236221313,-0.01942683756351471,0.28321754932403564,0.43103304505348206,-0.0433097779750824,0.2850615084171295,0.38815414905548096,-0.06456883996725082,0.2841622829437256,0.3510357737541199,-0.08218587934970856,0.24246567487716675,0.5041378736495972,-0.028506526723504066,0.2507884204387665,0.46161073446273804,-0.08593226969242096,0.2562321126461029,0.5158807039260864,-0.10831239819526672,0.2553006410598755,0.5514053106307983,-0.11121027916669846,0.21023568511009216,0.5186038017272949,-0.04352518543601036,0.2195441722869873,0.48606640100479126,-0.09578915685415268,0.22963863611221313,0.5436142683029175,-0.10530862957239151,0.22896157205104828,0.5761697292327881,-0.10023194551467896,0.17716729640960693,0.5406922698020935,-0.06174767017364502,0.18703213334083557,0.5074843168258667,-0.09787282347679138,0.1989181935787201,0.5464810729026794,-0.1029401645064354,0.19838231801986694,0.5712986588478088,-0.10128114372491837
Right,0.7967268228530884,0.8531465530395508,-6.606696842936799e-05,0.6991584897041321,0.819760799407959,-0.053610458970069885,0.6365484595298767,0.7307589650154114,-0.10269296914339066,0.6382278800010681,0.633120596408844,-0.14941208064556122,0.6730600595474243,0.5668119192123413,-0.18262991309165955,0.6431571245193481,0.5746763944625854,-0.04831494763493538,0.6182603240013123,0.4196712374687195,-0.11957189440727234,0.6159521341323853,0.32779455184936523,-0.16451016068458557,0.6246565580368042,0.245213121175766,-0.18678174912929535,0.7124436497688293,0.5789405107498169,-0.06406694650650024,0.6957687735557556,0.49779391288757324,-0.1833047717809677,0.6868380308151245,0.6106654405593872,-0.2105797380208969,0.6781163811683655,0.6434270739555359,-0.19092179834842682,0.7767577171325684,0.6024683117866516,-0.08995350450277328,0.765403687953949,0.5381557941436768,-0.19346150755882263,0.7439594864845276,0.6426228880882263,-0.20254284143447876,0.7323942184448242,0.6632715463638306,-0.17883245646953583,0.8347974419593811,0.6369630694389343,-0.123301662504673,0.8275715112686157,0.5871742367744446,-0.18359892070293427,0.8015469908714294,0.6638926267623901,-0.1910918802022934,0.7864624261856079,0.6796874403953552,-0.17919109761714935
Left,0.16855350136756897,0.6888846158981323,-7.62686540838331e-05,0.21553286910057068,0.6603752374649048,-0.02036113478243351,0.24003203213214874,0.610110878944397,-0.04006719961762428,0.22789426147937775,0.5579492449760437,-0.06106842681765556,0.2059093862771988,0.5304491519927979,-0.07851257175207138,0.24336428940296173,0.5234659314155579,-0.015491101890802383,0.25340884923934937,0.45211905241012573,-0.03522598370909691,0.254822701215744,0.4102438688278198,-0.04879722744226456,0.2530730366706848,0.3741443455219269,-0.05782485380768776,0.2076789289712906,0.5155447125434875,-0.0228603295981884,0.20475654304027557,0.4929918050765991,-0.06436730176210403,0.20574523508548737,0.5497474074363708,-0.08402926474809647,0.20956720411777496,0.5743172764778137,-0.08992660790681839,0.1737542450428009,0.5228943824768066,-0.032413359731435776,0.1706569641828537,0.5097576379776001,-0.06277086585760117,0.17611554265022278,0.5656089782714844,-0.06769544631242752,0.17969346046447754,0.5834421515464783,-0.06522698700428009,0.14148534834384918,0.5395281314849854,-0.043772462755441666,0.1396738737821579,0.5232242345809937,-0.06019804999232292,0.14717265963554382,0.5616557598114014,-0.06480804085731506,0.15011753141880035,0.5736715793609619,-0.06532537937164307
